Front,Back
فِي,"Translations:
EN: in / at
FR: dans
UR: میں

Definition:
(EN) Expressing the situation of something that is or appears to be enclosed or surrounded by something else.

Example: الكِتَابُ فِي الحَقِيبَةِ.

Translation: The book is in the bag.

Root: — (function word; no productive lexical root)

Synonyms: بِـ, دَاخِلَ"
مِنْ,"Translations:
EN: from
FR: de
UR: سے

Definition:
(EN) Indicating the point in space at which a journey, motion, or action starts.

Example: أَنَا مِنَ المَغْرِبِ.

Translation: I am from Morocco.

Root: — (function word; no productive lexical root)

Synonyms: عَنْ, بَدْءًا مِنْ"
عَلَى,"Translations:
EN: on / upon
FR: sur
UR: پر

Definition:
(EN) Physically in contact with and supported by (a surface).

Example: القَلَمُ عَلَى الطَّاوِلَةِ.

Translation: The pen is on the table.

Root: — (function word; no productive lexical root)

Synonyms: فَوْقَ, لَدَى"
أَنَّ,"Translations:
EN: that
FR: que
UR: کہ

Definition:
(EN) Conjunction used to introduce a subordinate clause expressing a statement or belief.

Example: أَظُنُّ أَنَّهُ جَائِعٌ.

Translation: I think that he is hungry.

Root: — (function word; no productive lexical root)

Synonyms: بِأَنَّ, كَوْن"
إِلَى,"Translations:
EN: to / towards
FR: à / vers
UR: تک / کی طرف

Definition:
(EN) Expressing motion in the direction of (a particular location).

Example: ذَهَبْتُ إِلَى المَدْرَسَةِ.

Translation: I went to the school.

Root: — (function word; no productive lexical root)

Synonyms: نَحْوَ, قِبَلَ"
هَذَا,"Translations:
EN: this
FR: ceci / celui-ci
UR: یہ

Definition:
(EN) Demonstrative pronoun used to identify a specific person or thing close at hand.

Example: هَذَا كِتَابٌ جَمِيلٌ.

Translation: This is a beautiful book.

Root: — (function word; no productive lexical root)

Synonyms: هَذِهِ, ذَلِكَ"
كَانَ,"Translations:
EN: was / to be
FR: être / était
UR: تھا / ہونا

Definition:
(EN) Verb used to indicate the past tense of 'to be' or an ongoing state.

Example: كَانَ الوَلَدُ نَائِمًا.

Translation: The boy was sleeping.

Root: — (function word; no productive lexical root)

Synonyms: وُجِدَ, أَصْبَحَ"
لَمْ,"Translations:
EN: did not (past negative)
FR: ne... pas (passé)
UR: نہیں (ماضی)

Definition:
(EN) Negative particle used with the jussive mood to negate an action in the past.

Example: لَمْ يَذْهَبْ إِلَى العَمَلِ.

Translation: He did not go to work.

Root: — (function word; no productive lexical root)

Synonyms: مَا, لَنْ"
مَعَ,"Translations:
EN: with
FR: avec
UR: ساتھ

Definition:
(EN) Preposition indicating accompaniment or association.

Example: مَشَيْتُ مَعَ صَدِيقِي.

Translation: I walked with my friend.

Root: — (function word; no productive lexical root)

Synonyms: صُحْبَةَ, بِرُفْقَةِ"
الَّذِي,"Translations:
EN: who / which / that
FR: qui / lequel
UR: جو / جس نے

Definition:
(EN) Relative pronoun (masculine singular) used to introduce a defining clause.

Example: الرَّجُلُ الَّذِي رَأَيْتُهُ.

Translation: The man whom I saw.

Root: — (function word; no productive lexical root)

Synonyms: الَّتِي, مَنْ"
