rank,front,en,fr,ur,definition_en,example_ar,example_en,front_in_example,english_gloss_example_support,flags,status
1,لَا سِيَّمَا,especially / particularly,surtout / notamment,خاص طور پر,Compound phrase used to emphasize a specific member or aspect of a group.,أُحِبُّ الفَوَاكِهَ، لَا سِيَّمَا التُّفَّاحَ.,"I love fruits, especially apples.",True,True,,verified
2,عَمَّا قَرِيبٍ,soon / shortly,bientôt / sous peu,جلد ہی,Temporal phrase indicating that an action will occur in the near future.,سَنَلْتَقِي عَمَّا قَرِيبٍ.,We will meet soon.,True,True,,verified
3,لَيْسَ فَقَطْ,not only,pas seulement,نہ صرف,Correlative phrase often followed by 'bal' (but rather) to indicate multiple aspects.,لَيْسَ فَقَطْ هَذَا.,Not only this.,True,True,,verified
4,بِغَضِّ النَّظَرِ,regardless of / irrespective of,indépendamment de / sans tenir compte de,قطع نظر,Prepositional phrase used to dismiss a factor as irrelevant to the main point.,بِغَضِّ النَّظَرِ عَنِ الثَّمَنِ.,Regardless of the price.,True,True,,verified
5,عَلَى أَيِّ حَالٍ,anyway / in any case,de toute façon / en tout cas,بہر حال,Phrase used to dismiss previous details and move to a summary or a new point.,عَلَى أَيِّ حَالٍ، سَنَذْهَبُ.,"In any case, we will go.",True,True,,verified
6,بِالنِّسْبَةِ لِـ,for / regarding / relative to,pour / en ce qui concerne / par rapport à,کے بارے میں / کے لحاظ سے,Prepositional phrase used to express a viewpoint or a relationship to something else.,بِالنِّسْبَةِ لِي، هَذَا جَيِّدٌ.,"For me (In my view), this is good.",True,False,english_gloss_not_visible_in_example_translation,explicit_review_required
7,مَنْ ذَا,who is it that / who,qui est-ce qui / qui,کون ہے وہ جو,Emphatic interrogative pronoun used to ask about a person's identity or actions.,مَنْ ذَا الَّذِي يَشْفَعُ عِنْدَهُ؟,Who is it that can intercede with Him?,True,True,,verified
8,عَلَى أَنَّ,provided that / although,à condition que / bien que,اس شرط پر کہ / باوجود یہ کہ,Conjunction used to set a condition or to introduce a contrasting fact.,سَأُسَاعِدُكَ، عَلَى أَنَّ تَعْدِلَ.,"I will help you, provided that you be just.",True,True,,verified
9,لَا بَأْسَ,no problem / it is fine / okay,pas de problème / c'est bien,کوئی بات نہیں / ٹھیک ہے,"Phrase used to express agreement, reassurance, or that something is acceptable.",لَا بَأْسَ، سَأَفْعَلُ ذَلِكَ.,"No problem, I will do that.",True,True,,verified
10,أَمَّا بَعْدُ,furthermore / now then (formal transition),par ailleurs / et maintenant,حمد و ثنا کے بعد,Formal transition phrase used in speeches and letters after the introduction to move to the main subject.,السَّلَامُ عَلَيْكُمْ، أَمَّا بَعْدُ...,Peace be upon you; now then...,True,True,,verified
