rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
751,REPAIR,یہ خراب ہے۔,This is bad.,jeːh xərˈaːb hɛ,yayh khohohhrab hay,Normalize یہ, خراب with Urdu rhotic/schwa, and ہے.,/jeː xəɾaːb ɦɛː/,yay khuh-raab hai
752,REPAIR,کیا یہ خراب ہے؟,Is this bad?,kjˈaː jeːh xərˈaːb hɛ,kya yayh khohohhrab hay,Normalize interrogative کیا, یہ, خراب, and ہے.,/kjaː jeː xəɾaːb ɦɛː/,kyaa yay khuh-raab hai
753,REPAIR,وہ خراب ہے۔,That is bad.,woː xərˈaːb hɛ,woh khohohhrab hay,Normalize وہ, خراب, and ہے.,/ʋoː xəɾaːb ɦɛː/,woh khuh-raab hai
754,REPAIR,یہ خراب نہیں ہے۔,This is not bad.,jeːh xərˈaːb nahˈiːn hɛ,yayh khohohhrab nahayayn hay,Normalize یہ, خراب, nasal نہیں, and ہے.,/jeː xəɾaːb nəɦĩː ɦɛː/,yay khuh-raab nuh-heen hai
755,REPAIR,وہ خراب نہیں ہے۔,That is not bad.,woː xərˈaːb nahˈiːn hɛ,woh khohohhrab nahayayn hay,Normalize وہ, خراب, nasal نہیں, and ہے.,/ʋoː xəɾaːb nəɦĩː ɦɛː/,woh khuh-raab nuh-heen hai
756,REPAIR,یہ تیار ہے۔,This is ready.,jeːh tˌaiˈaːr hɛ,yayh taayayar hay,Standard Urdu تیار is tayyār with geminated /jː/ and dental /t̪/.,/jeː t̪əjːaːɾ ɦɛː/,yay taiy-yaar hai
757,REPAIR,کیا یہ تیار ہے؟,Is this ready?,kjˈaː jeːh tˌaiˈaːr hɛ,kya yayh taayayar hay,Normalize interrogative کیا, یہ, تیار /t̪əjːaːɾ/, and ہے.,/kjaː jeː t̪əjːaːɾ ɦɛː/,kyaa yay taiy-yaar hai
758,REPAIR,وہ تیار ہے۔,That is ready.,woː tˌaiˈaːr hɛ,woh taayayar hay,Normalize وہ, تیار, and ہے.,/ʋoː t̪əjːaːɾ ɦɛː/,woh taiy-yaar hai
759,REPAIR,یہ تیار نہیں ہے۔,This is not ready.,jeːh tˌaiˈaːr nahˈiːn hɛ,yayh taayayar nahayayn hay,Normalize یہ, تیار, nasal نہیں, and ہے.,/jeː t̪əjːaːɾ nəɦĩː ɦɛː/,yay taiy-yaar nuh-heen hai
760,REPAIR,وہ تیار نہیں ہے۔,That is not ready.,woː tˌaiˈaːr nahˈiːn hɛ,woh taayayar nahayayn hay,Normalize وہ, تیار, nasal نہیں, and ہے.,/ʋoː t̪əjːaːɾ nəɦĩː ɦɛː/,woh taiy-yaar nuh-heen hai
761,REPAIR,یہ کافی ہے۔,This is enough.,jeːh kˈaːfi hɛ,yayh kafayay hay,Normalize یہ, کافی final long /iː/, and ہے.,/jeː kaːfiː ɦɛː/,yay kaa-fee hai
762,REPAIR,کیا یہ کافی ہے؟,Is this enough?,kjˈaː jeːh kˈaːfi hɛ,kya yayh kafayay hay,Normalize interrogative کیا, یہ, کافی, and ہے.,/kjaː jeː kaːfiː ɦɛː/,kyaa yay kaa-fee hai
763,REPAIR,وہ کافی ہے۔,That is enough.,woː kˈaːfi hɛ,woh kafayay hay,Normalize وہ, کافی, and ہے.,/ʋoː kaːfiː ɦɛː/,woh kaa-fee hai
764,REPAIR,یہ کافی نہیں ہے۔,This is not enough.,jeːh kˈaːfi nahˈiːn hɛ,yayh kafayay nahayayn hay,Normalize یہ, کافی, nasal نہیں, and ہے.,/jeː kaːfiː nəɦĩː ɦɛː/,yay kaa-fee nuh-heen hai
765,REPAIR,وہ کافی نہیں ہے۔,That is not enough.,woː kˈaːfi nahˈiːn hɛ,woh kafayay nahayayn hay,Normalize وہ, کافی, nasal نہیں, and ہے.,/ʋoː kaːfiː nəɦĩː ɦɛː/,woh kaa-fee nuh-heen hai
766,REPAIR,یہ قیمتی ہے۔,This is expensive.,jeːh qˈiːmti hɛ,yayh qayaymtayay hay,Use dental /t̪/ and final long /iː/ in قیمتی; normalize یہ/ہے.,/jeː qiːmət̪iː ɦɛː/,yay qee-muh-tee hai
767,REPAIR,کیا یہ قیمتی ہے؟,Is this expensive?,kjˈaː jeːh qˈiːmti hɛ,kya yayh qayaymtayay hay,Normalize interrogative کیا, یہ, قیمتی, and ہے.,/kjaː jeː qiːmət̪iː ɦɛː/,kyaa yay qee-muh-tee hai
768,REPAIR,وہ قیمتی ہے۔,That is expensive.,woː qˈiːmti hɛ,woh qayaymtayay hay,Normalize وہ, قیمتی, and ہے.,/ʋoː qiːmət̪iː ɦɛː/,woh qee-muh-tee hai
769,REPAIR,یہ قیمتی نہیں ہے۔,This is not expensive.,jeːh qˈiːmti nahˈiːn hɛ,yayh qayaymtayay nahayayn hay,Normalize یہ, قیمتی, nasal نہیں, and ہے.,/jeː qiːmət̪iː nəɦĩː ɦɛː/,yay qee-muh-tee nuh-heen hai
