Front,Back
عَلَى نِطَاقٍ وَاسِعٍ,"Translations:
EN: on a large scale / widespread
FR: à grande échelle / sur une large échelle
UR: بڑے پیمانے پر

Definition:
(EN) Phrase describing something that occurs over a significant area or involves many people.

Example: اِنْتَشَرَ المَرَضُ عَلَى نِطَاقٍ وَاسِعٍ.

Translation: The disease spread on a large scale.

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: بِشَكْلٍ كَبِيرٍ, عُمُومِيٌّ"
بِغَرَضِ التَّطْوِيرِ,"Translations:
EN: for the purpose of development / for improvement
FR: dans un but de développement / pour s'améliorer
UR: ترقی کی غرض سے

Definition:
(EN) Phrase used when an action is taken to advance or upgrade a system or skill.

Example: نَعْمَلُ بِغَرَضِ التَّطْوِيرِ.

Translation: We work for the purpose of development.

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: لِلتَّحْسِينِ, لِلنُّمُوِّ"
مِنْ حَيْثُ التَّكْلِفَةِ,"Translations:
EN: in terms of cost / cost-wise
FR: en termes de coût / au niveau du prix
UR: لاگت کے لحاظ سے

Definition:
(EN) Phrase narrowing the discussion to the financial aspect of a project or item.

Example: هَذَا مُمْتَازٌ مِنْ حَيْثُ التَّكْلِفَةِ.

Translation: This is excellent in terms of cost.

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: مَادِّيًّا, اِقْتِصَادِيًّا"
بِغَرَضِ الاِسْتِفَادَةِ,"Translations:
EN: for the purpose of benefiting / to take advantage
FR: dans le but d'en profiter / pour en bénéficier
UR: فائدہ اٹھانے کی غرض سے

Definition:
(EN) Phrase used when an action is taken to gain a profit, knowledge, or advantage from something.

Example: اِقْرَأْ بِغَرَضِ الاِسْتِفَادَةِ.

Translation: Read for the purpose of benefiting.

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: لِلانْتِفَاعِ, لِلْفَائِدَةِ"
عَلَى نِطَاقٍ ضَيِّقٍ,"Translations:
EN: on a small scale / limited
FR: à petite échelle
UR: چھوٹے پیمانے پر / محدود سطح پر

Definition:
(EN) Phrase describing something that occurs over a small area or involves few people.

Example: اِخْتَبَرْنَا الفِكْرَةَ عَلَى نِطَاقٍ ضَيِّقٍ.

Translation: We tested the idea on a small scale.

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: بِشَكْلٍ مَحْدُودٍ, جُزْئِيًّا"
مِنْ نَاحِيَةٍ اِقْتِصَادِيَّةٍ,"Translations:
EN: economically / from an economic point of view
FR: économiquement / d'un point de vue économique
UR: معاشی لحاظ سے

Definition:
(EN) Phrase narrowing the discussion to the financial and resource management aspect of a matter.

Example: هَذَا جَيِّدٌ مِنْ نَاحِيَةٍ اِقْتِصَادِيَّةٍ.

Translation: This is good from an economic point of view.

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: اِقْتِصَادِيًّا, مَالِيًّا"
بِغَرَضِ التَّوْثِيقِ,"Translations:
EN: for the purpose of documentation / to record
FR: à des fins de documentation / pour documenter
UR: دستاویز سازی کی غرض سے / ریکارڈ کے لیے

Definition:
(EN) Phrase used when an action is taken to create a formal record or evidence of an event.

Example: صَوَّرْنَا الحَدَثَ بِغَرَضِ التَّوْثِيقِ.

Translation: We filmed the event for the purpose of documentation.

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: لِلتَّسْجِيلِ, لِلإِثْبَاتِ"
عَلَى نِطَاقٍ عَالَمِيٍّ,"Translations:
EN: on a global scale / worldwide
FR: à l'échelle mondiale / dans le monde entier
UR: عالمی سطح پر

Definition:
(EN) Phrase describing a phenomenon, trend, or organization that operates across the entire world.

Example: الشَّرِكَةُ تَعْمَلُ عَلَى نِطَاقٍ عَالَمِيٍّ.

Translation: The company operates on a global scale.

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: دُوَلِيًّا, فِي كُلِّ أَنْحَاءِ العَالَمِ"
مِنْ نَاحِيَةٍ اِجْتِمَاعِيَّةٍ,"Translations:
EN: socially / from a social perspective
FR: socialement / d'un point de vue social
UR: سماجی لحاظ سے

Definition:
(EN) Phrase narrowing the discussion to the impact on society, people, and community relationships.

Example: المَوْضُوعُ هَامٌّ مِنْ نَاحِيَةٍ اِجْتِمَاعِيَّةٍ.

Translation: The subject is important from a social perspective.

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: اِجْتِمَاعِيًّا, شَعْبِيًّا"
بِغَرَضِ الاِسْتِكْشَافِ,"Translations:
EN: for the purpose of exploration / to explore
FR: à des fins d'exploration / pour explorer
UR: دریافت کی غرض سے / سیر و سیاحت کے لیے

Definition:
(EN) Phrase used when an action is taken to investigate or discover something unknown or a new place.

Example: سَافَرْنَا بِغَرَضِ الاِسْتِكْشَافِ.

Translation: We traveled for the purpose of exploration.

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: لِلبَحْثِ, لِلتَّعَرُّفِ"
