rank,target,english,level,ipa_candidate,learner_hint_candidate,source_sha256
1,Sommes-nous prêts ?,Are we ready?,A,sˈɔmnu pʁˈɛ ?,sohmnohoh pray ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
2,Es-tu chez toi ?,Are you home?,A,ɛty ʃe twˈa ?,ayty shay twa ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
3,Es-tu prêt ?,Are you ready?,A,ɛty pʁˈɛ ?,ayty pray ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
4,Vous êtes là ?,Are you there?,A,vuz ɛt lˈa ?,vohohz ayt la ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
5,Puis-je venir ?,Can I come?,A,pyˈiʒ vənˈiʁ ?,pyayayzh vohohhnayayr ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
6,Nous voilà !,Here we are!,A,nu vwalˈa !,nohoh vwala !,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
7,Appelle-moi demain.,Call me tomorrow.,A,apˈɛlmwˌa dəmˈɛ̃.,apaylmwa dohohhmayayn.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
8,Appelle-moi s'il te plaît.,"Call me, please.",A,apˈɛlmwˌa sil tə- plˈɛ.,apaylmwa sayayl tohohh- play.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
9,Venez m'aider.,Come help me.,A,vənˈe mɛdˈe.,vohohhnay mayday.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
10,"Aide-moi, s'il te plaît.","Help me, please.",A,"ˈɛdmwˈa, sil tə- plˈɛ.","aydmwa, sayayl tohohh- play.",6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
11,On y est.,Here we are.,A,ɔ̃n i ˈɛ.,ohnn ayay ay.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
12,C'est parti !,Here we go.,A,sɛ paʁtˈi !,say partayay !,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
13,Je t'en prie.,You're welcome.,A,ʒə- tɑ̃ pʁˈi.,zhohohh- tan prayay.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
14,Je peux venir.,I can come.,A,ʒə- pˈø vənˈiʁ.,zhohohh- peu vohohhnayayr.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
15,Je peux attendre.,I can wait.,A,ʒə- pˈøz atˈɑ̃dʁ.,zhohohh- peuz atandr.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
16,Je pourrais aider.,I could help.,A,ʒə- puʁˈɛz ɛdˈe.,zhohohh- pohohrayz ayday.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
17,Je comprends réellement.,I do understand.,A,ʒə- kɔ̃pʁˈɑ̃ ʁeɛlmˈɑ̃.,zhohohh- kohnpran rayaylman.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
18,Je mange ici.,I eat here.,A,ʒə- mˈɑ̃ʒ isˈi.,zhohohh- manzh ayaysayay.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
19,Je me sens prêt.,I feel ready.,A,ʒə- mə- sˈɑ̃ pʁˈɛ.,zhohohh- mohohh- san pray.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
20,J'ai du temps.,I have time.,A,ʒe dy- tˈɑ̃.,zhay dy- tan.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
21,Tu me plais.,I like you.,A,ty mə- plˈɛ.,ty mohohh- play.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
22,Il me faut du temps.,I need time.,A,il mə- fo dy- tˈɑ̃.,ayayl mohohh- foh dy- tan.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
23,J'ai besoin de toi.,I need you.,A,ʒe bəzwˈɛ̃ də- twˈa.,zhay bohohhzwayayn dohohh- twa.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
24,Je comprends pourquoi.,I understand why.,A,ʒə- kɔ̃pʁˈɑ̃ puʁkwˈa.,zhohohh- kohnpran pohohrkwa.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
25,Je te comprends.,I understand you.,A,ʒə- tə- kɔ̃pʁˈɑ̃.,zhohohh- tohohh- kohnpran.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
26,Je veux du temps.,I want time.,A,ʒə- vˈø dy- tˈɑ̃.,zhohohh- veu dy- tan.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
27,J'ai envie de toi.,I want you.,A,ʒe ɑ̃vˈi də- twˈa.,zhay anvayay dohohh- twa.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
28,Je travaille ici.,I work here.,A,ʒə- tʁavˈaj isˈi.,zhohohh- travay ayaysayay.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
29,"Venez ici, je vous prie.",Please come here.,A,"vənˈez isˈi, ʒə- vu pʁˈi.","vohohhnayz ayaysayay, zhohohh- vohoh prayay.",6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
30,Pardonne-moi s'il te plaît.,Please forgive me.,A,paʁdˈɔnmwˌa sil tə- plˈɛ.,pardohnmwa sayayl tohohh- play.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
31,Je vous prie de m'aider.,Please help me.,A,ʒə- vu pʁˈi də- mɛdˈe.,zhohohh- vohoh prayay dohohh- mayday.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
32,Je te prie de dire oui.,Please say yes.,A,ʒə- tə- pʁˈi də- dˈiʁ wˈi.,zhohohh- tohohh- prayay dohohh- dayayr wayay.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
33,"Dis-moi, s'il te plaît.",Please tell me.,A,"dˈimwˈa, sil tə- plˈɛ.","dayaymwa, sayayl tohohh- play.",6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
34,"Attendez ici, s'il vous plaît.",Please wait here.,A,"atɑ̃dˈez isˈi, sil vu plˈɛ.","atandayz ayaysayay, sayayl vohoh play.",6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
35,Tu y es !,There you are.,A,ty i ˈɛ !,ty ayay ay !,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
36,Nous y sommes.,We are here.,A,nuz i sˈɔm.,nohohz ayay sohm.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
37,Nous pouvons payer.,We can pay.,A,nu puvˈɔ̃ pɛjˈe.,nohoh pohohvohn payyay.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
38,Nous pouvons attendre.,We can wait.,A,nu puvˈɔ̃z atˈɑ̃dʁ.,nohoh pohohvohnz atandr.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
39,Nous pourrions attendre.,We could wait.,A,nu puʁjˈɔ̃z atˈɑ̃dʁ.,nohoh pohohryohnz atandr.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
40,Nous partons demain.,We're leaving tomorrow.,A,nu paʁtˈɔ̃ dəmˈɛ̃.,nohoh partohn dohohhmayayn.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
41,Nous te connaissons.,We know you.,A,nu tə- kɔnɛsˈɔ̃.,nohoh tohohh- kohnaysohn.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
42,Il nous faut de l'aide.,We need help.,A,il nu fo də- lˈɛd.,ayayl nohoh foh dohohh- layd.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
43,Il nous faut du temps.,We need time.,A,il nu fo dy- tˈɑ̃.,ayayl nohoh foh dy- tan.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
44,On a besoin de toi.,We need you.,A,ɔ̃n a bəzwˈɛ̃ də- twˈa.,ohnn a bohohhzwayayn dohohh- twa.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
45,Nous comprenons pourquoi.,We understand why.,A,nu kɔ̃pʁənˈɔ̃ puʁkwˈa.,nohoh kohnprohohhnohn pohohrkwa.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
46,Tu peux te joindre à nous.,You can join us.,A,ty pˈø tə- ʒwˈɛ̃dʁ a nˈu.,ty peu tohohh- zhwayayndr a nohoh.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
47,Vous pouvez partir.,You can go.,A,vu puvˈe paʁtˈiʁ.,vohoh pohohvay partayayr.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
48,Tu peux aider.,You can help.,A,ty pˈøz ɛdˈe.,ty peuz ayday.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
49,Tu as le temps.,You have time.,A,ty a lə- tˈɑ̃.,ty a lohohh- tan.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
50,Tu sais comment.,You know how.,A,ty sˈɛ kɔmˈɑ̃.,ty say kohman.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
51,Puis-je vous aider ?,Can I help you?,A,pyˈiʒ vuz ɛdˈe ?,pyayayzh vohohz ayday ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
52,Est-ce que nous pouvons venir demain ?,Can we come tomorrow?,A,ɛs kə nu puvˈɔ̃ vənˈiʁ dəmˈɛ̃ ?,ays kohohh nohoh pohohvohn vohohhnayayr dohohhmayayn ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
53,Est-ce que tu peux venir ici ?,Can you come here?,A,ɛs kə ty pˈø vənˈiʁ isˈi ?,ays kohohh ty peu vohohhnayayr ayaysayay ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
54,Pouvez-vous venir demain ?,Can you come tomorrow?,A,puvˈevu vənˈiʁ dəmˈɛ̃ ?,pohohvayvohoh vohohhnayayr dohohhmayayn ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
55,Pourrais-tu m'aider ?,Could you help me?,A,puʁˈɛty mɛdˈe ?,pohohrayty mayday ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
56,Pourrais-tu me prêter main forte ?,Could you lend me a hand?,B,puʁˈɛty mə- pʁɛtˈe mˈɛ̃ fˈɔʁt ?,pohohrayty mohohh- praytay mayayn fohrt ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
57,Avais-tu besoin de moi ?,Did you need me?,A,avˈɛty bəzwˈɛ̃ də- mwˈa ?,avayty bohohhzwayayn dohohh- mwa ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
58,Avez-vous dit oui ?,Did you say yes?,A,avˈevu dˈi wˈi ?,avayvohoh dayay wayay ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
59,M'avez-vous compris ?,Did you understand me?,A,mavˈevu kɔ̃pʁˈi ?,mavayvohoh kohnprayay ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
60,Est-ce que je te connais ?,Do I know you?,A,ɛs kə ʒə- tə- kɔnˈɛ ?,ays kohohh zhohohh- tohohh- kohnay ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
61,Avons-nous le temps ?,Do we have time?,A,avˈɔ̃nu lə- tˈɑ̃ ?,avohnnohoh lohohh- tan ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
62,Vous connaissons-nous ?,Do we know you?,A,vu kɔnɛsˈɔ̃nˈu ?,vohoh kohnaysohnnohoh ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
63,Est-ce que tu as le temps ?,Do you have time?,A,ɛs kə ty a lə- tˈɑ̃ ?,ays kohohh ty a lohohh- tan ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
64,Me connaissez-vous ?,Do you know me?,A,mə- kɔnɛsˈevˈu ?,mohohh- kohnaysayvohoh ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
65,Sais-tu pourquoi ?,Do you know why?,A,sˈɛty puʁkwˈa ?,sayty pohohrkwa ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
66,Est-ce que tu m'aimes ?,Do you love me?,A,ɛs kə ty mˈɛm ?,ays kohohh ty maym ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
67,Aimes-tu l'école ?,Do you like school?,A,ˈɛmty lekˈɔl ?,aymty laykohl ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
68,As-tu besoin d'aide ?,Do you need help?,A,atˈy bəzwˈɛ̃ dˈɛd ?,aty bohohhzwayayn dayd ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
69,Est-ce que tu as besoin de moi ?,Do you need me?,A,ɛs kə ty a bəzwˈɛ̃ də- mwˈa ?,ays kohohh ty a bohohhzwayayn dohohh- mwa ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
70,Vous me comprenez ?,Do you understand me?,A,vu mə- kɔ̃pʁənˈe ?,vohoh mohohh- kohnprohohhnay ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
71,Tu veux de l’aide ?,Do you want help?,A,ty vˈø də- lˈɛd ?,ty veu dohohh- layd ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
72,Tu travailles ici ?,Do you work here?,A,ty tʁavˈajz isˈi ?,ty travayz ayaysayay ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
73,Comment vas-tu aujourd'hui ?,How are you today?,A,kɔmˌɑ̃ vˈaty oʒuʁdyˈi ?,kohman vaty ohzhohohrdyayay ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
74,De quelle manière puis-je aider ?,How can I help?,A,də- kɛl manjˈɛʁ pyˈiʒ ɛdˈe ?,dohohh- kayl manyayr pyayayzh ayday ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
75,Comment puis-je payer ?,How can I pay?,A,kɔmˌɑ̃ pyˈiʒ pɛjˈe ?,kohman pyayayzh payyay ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
76,Comment pouvons-nous le dire ?,How can we say it?,B,kɔmˌɑ̃ puvˈɔ̃nu lə- dˈiʁ ?,kohman pohohvohnnohoh lohohh- dayayr ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
77,Comment pourrais-tu savoir ?,How could you know?,A,kɔmˌɑ̃ puʁˈɛty savwˈaʁ ?,kohman pohohrayty savwar ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
78,Comment ai-je fait ?,How did I do?,A,kɔmˌɑ̃ ɛʒ fˈɛ ?,kohman ayzh fay ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
79,Comment avez-vous fait ?,How did you do?,A,kɔmˌɑ̃ avˈevu fˈɛ ?,kohman avayvohoh fay ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
80,Comment le savais-tu ?,How did you know?,A,kɔmˌɑ̃ lə- savˈɛtˈy ?,kohman lohohh- savayty ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
81,Comment savez-vous ?,How do you know?,A,kɔmˌɑ̃ savˈevˈu ?,kohman savayvohoh ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
82,Comment le saurais-je ?,How would I know?,A,kɔmˌɑ̃ lə- soʁˈɛʒ ?,kohman lohohh- sohrayzh ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
