rank,front,meaning,kaikki_entry,kaikki_semantic_agreement,kaikki_overlap_terms,omw_entry,omw_semantic_agreement,omw_overlap_terms,wordfreq_attested,calima_analysis,status
1,في,in; at,True,True,in,True,False,,True,True,verified
2,أن,that; to (subordinator: أَنْ / أَنَّ),True,True,that,True,False,,True,True,verified
3,من,from; who; whom,True,True,from|who,False,False,,True,True,verified
4,على,on; upon; over,True,True,over,True,False,,True,True,verified
5,لا,no; not,True,True,no|not,True,True,no|not,True,True,verified_strong
6,إلى,to; toward,True,True,toward,False,False,,True,True,verified
7,هذا,this (masculine singular),True,False,,False,False,,True,True,explicit_review_required
8,كان,was; were; be (past form of كان),True,False,,True,False,,True,True,explicit_review_required
9,إن,if (إِنْ); indeed; certainly (إِنَّ),True,True,if|inde,True,False,,True,True,verified
10,ما,what; that which,True,True,what,False,False,,True,True,verified
11,له,to him; for him; he has,True,False,,False,False,,True,True,explicit_review_required
12,أنا,I,True,False,,True,False,,True,True,explicit_review_required
13,عن,about; from; away from,True,True,about|away,False,False,,True,True,verified
14,ذلك,that (masculine singular),True,False,,False,False,,True,True,explicit_review_required
15,مع,with; together with,True,True,together,True,True,together,True,True,verified_strong
16,به,with him; by him; with it; by it,False,False,,False,False,,True,True,explicit_review_required
17,يكون,is; is being; will be (يكون),False,False,,False,False,,True,True,explicit_review_required
18,لم,did not (past negation with the jussive),True,True,not,True,False,,True,True,verified
19,أنت,you (singular; masculine or feminine when unvocalized),True,True,you,False,False,,True,True,verified
20,هل,yes/no question particle; is/are/do/does/did...?,True,True,question,False,False,,True,True,verified
21,التي,who; which; that (feminine singular relative pronoun),True,False,,False,False,,True,True,explicit_review_required
22,ليس,"is not; are not; was not (ليس, negative copular verb)",True,True,not,True,True,not,True,True,verified_strong
23,لكن,but; however (لَكِنْ / لَكِنَّ),True,True,but|however,False,False,,True,True,verified
24,كل,all; every; each; eat! (كُلّ / كُلْ),True,True,all|each|every,True,True,all|each|every,True,True,verified_strong
25,هذه,this (feminine singular),True,False,,False,False,,True,True,explicit_review_required
26,يا,O...!; vocative particle,True,True,vocative,False,False,,True,True,verified
27,الذي,who; which; that (masculine singular relative pronoun),True,False,,False,False,,True,True,explicit_review_required
28,هو,he; it (masculine),True,True,he|it,False,False,,True,True,verified
29,لقد,indeed; certainly; already (لَقَدْ),True,False,,False,False,,True,True,explicit_review_required
30,شيء,thing; something,True,True,thing,True,True,thing,True,True,verified_strong
31,ماذا,what?,True,True,what,False,False,,True,True,verified
32,حسنا,well; okay; fine (حسنًا),True,True,fine|okay|well,False,False,,True,True,verified
33,يريد,want; desire; intend,False,False,,False,False,,True,True,explicit_review_required
34,هنا,here,True,True,here,True,False,,True,True,verified
35,قال,said; told,True,False,,True,False,,True,True,explicit_review_required
36,يمكن,can; is possible; may be possible,False,False,,False,False,,True,True,explicit_review_required
37,بعد,after; later; afterwards,True,True,after,True,False,,True,True,verified
38,أي,which; any; whichever,True,True,any|whichever,False,False,,True,True,verified
39,يعرف,knows; recognizes; defines/introduces (depending on vocalization),False,False,,False,False,,True,True,explicit_review_required
40,هناك,there; over there,True,True,there,False,False,,True,True,verified
41,لدى,with; at; in the possession of,True,True,at|with,False,False,,True,True,verified
42,الآن,now,True,True,now,True,True,now,True,True,verified_strong
43,أو,or,True,False,,False,False,,True,True,explicit_review_required
44,إذا,if; when,True,True,if|when,False,False,,True,True,verified
45,نعم,yes; indeed,True,True,yes,True,False,,True,True,verified
46,رئيس,president; head; chief,True,True,chief|president,True,True,chief|head|president,True,True,verified_strong
47,عام,year; general; public (depending on use),True,True,general|public|year,True,True,general|public|year,True,True,verified_strong
48,هي,she; it (feminine),True,True,it|she,False,False,,True,True,verified
49,يوم,day,True,True,day,True,True,day,True,True,verified_strong
50,سيد,Mr.; gentleman; master,True,True,master,True,True,gentleman,True,True,verified_strong
51,بين,between; among; clarified/explained (بَيْن / بَيَّن),True,True,between|explain,True,False,,True,True,verified
52,قد,already; indeed; may; might (قَدْ),True,True,may|might,False,False,,True,True,verified
53,بعض,some; part of,True,True,part|some,False,False,,True,True,verified
54,فقط,only; just,True,True,only,False,False,,True,True,verified
55,لن,will not,True,True,not,False,False,,True,True,verified
56,حتى,until; up to; even,True,True,even|until|up,False,False,,True,True,verified
57,أمر,matter; affair; order/command; ordered/commanded,True,True,affair|command|matter|order,True,True,affair|command|matter|order,True,True,verified_strong
58,عمل,work; action; worked; functioned,True,True,action|work,True,True,action|function|work,True,True,verified_strong
59,يجب,must; should; is necessary,False,False,,False,False,,True,True,explicit_review_required
60,أحد,one; someone; anyone,True,True,anyone,True,True,one,True,True,verified_strong
61,وقت,time,True,True,time,True,True,time,True,True,verified_strong
62,أجل,for the sake of; because of; yes/indeed in أَجَلْ,True,True,inde|yes,True,True,sake,True,True,verified_strong
63,قبل,accepted; received; approved,True,True,accept,True,True,accept|approv|receiv,True,True,verified_strong
64,خلال,during; throughout; through,True,True,during,True,False,,True,True,verified
65,نفس,self; same; soul; breath (depending on vocalization),True,True,breath|same|self|soul,True,True,breath|same|self|soul,True,True,verified_strong
66,يفعل,does; performs,False,False,,False,False,,True,True,explicit_review_required
67,يعتقد,believes; thinks,False,False,,False,False,,True,True,explicit_review_required
68,يستطيع,can; is able to,False,False,,False,False,,True,True,explicit_review_required
69,كما,as; just as; as well as,True,True,as,False,False,,True,True,verified
70,رجل,man; leg/foot (depending on vocalization),True,True,foot|leg|man,True,True,foot|leg|man,True,True,verified_strong
71,عندما,when,True,True,when,True,False,,True,True,verified
72,كيف,how?,True,True,how,True,False,,True,True,verified
73,نحن,we,True,True,we,False,False,,True,True,verified
74,أول,first; foremost,True,True,first,True,True,first,True,True,verified_strong
75,جيد,good; well,True,True,good,True,False,,True,True,verified
76,يقول,says; tells,False,False,,False,False,,True,True,explicit_review_required
77,يرى,sees; considers,False,False,,False,False,,True,True,explicit_review_required
78,غير,other than; not; except; changed (غَيْر / غَيَّر),True,True,except|not|other|than,True,True,chang,True,True,verified_strong
79,واحد,one; single,True,True,single,True,True,single,True,True,verified_strong
80,جديد,new,True,True,new,True,True,new,True,True,verified_strong
81,أكثر,more; most,True,True,more|most,False,False,,True,True,verified
82,مثل,like; similar to; example; proverb,True,True,example|like|proverb|similar,True,True,example|like|similar,True,True,verified_strong
83,جدا,very; very much,True,True,very,False,False,,True,True,verified
84,آخر,other; another (آخَر); last; final (آخِر),True,True,another|last|other,True,True,final|last|other,True,True,verified_strong
85,سوف,will; shall (future marker),True,True,will,True,False,,True,True,verified
86,كبير,big; large; great,True,True,big|great|large,True,True,big|large,True,True,verified_strong
87,فريق,team; group,True,True,group|team,True,True,team,True,True,verified_strong
88,كثير,many; much; a lot,True,True,many|much,True,True,many,True,True,verified_strong
89,أيضا,also; too,True,True,also,False,False,,True,True,verified
90,تلك,that (feminine singular),True,False,,False,False,,True,True,explicit_review_required
