rank,front,meaning,kaikki_entry,kaikki_semantic_agreement,kaikki_overlap_terms,omw_entry,omw_semantic_agreement,omw_overlap_terms,wordfreq_attested,calima_exact,status
1001,منتدى,assembly room; gathering place,True,True,assembly|gather|place,False,False,,True,True,verified
1002,و,and,True,True,and,False,False,,True,True,verified
1003,ل,for; to,True,True,for|to,True,False,,True,True,verified
1004,ب,with; by,True,True,with,False,False,,True,True,verified
1005,ثاني,second; next,False,False,,False,False,,True,True,explicit_review_required
1006,خبر,news; report,True,True,news|report,True,True,news|report,True,True,verified_strong
1007,أمكن,be possible; make possible for,True,True,possible,False,False,,True,True,verified
1008,عض,biting,True,True,biting,True,False,,True,True,verified
1009,مطار,airport; airfield,True,True,airfield|airport,True,True,airfield|airport,True,True,verified_strong
1010,أمريكي,American,True,True,american,True,True,american,True,True,verified_strong
1011,سعودي,Saudi,True,True,saudi,True,True,saudi,True,True,verified_strong
1012,مجاني,free; gratis,True,True,free|grati,False,False,,True,True,verified
1013,أبيض,white,True,True,white,True,True,white,True,True,verified_strong
1014,فيلم,film; movie,True,True,film|movie,True,True,film|movie,True,True,verified_strong
1015,مصري,Egyptian,True,True,egyptian,False,False,,True,True,verified
1016,ولاية,state; province,True,True,province|state,True,True,province|state,True,True,verified_strong
1017,أيض,metabolism,True,True,metabolism,False,False,,True,True,verified
1018,شبكي,net-like; network,False,False,,False,False,,True,True,explicit_review_required
1019,متحد,united,True,True,unit,True,True,unit,True,True,verified_strong
1020,دولار,dollar,True,True,dollar,True,True,dollar,True,True,verified_strong
1021,تصميم,determination; perseverance,True,True,determin|perseverance,True,False,,True,True,verified
1022,حلقة,ring; circle; link,True,True,circle|link|ring,True,True,circle|ring,True,True,verified_strong
1023,آن,time; moment,True,True,time,True,True,moment|time,True,True,verified_strong
1024,قناة,canal; channel,True,True,canal|channel,True,True,canal|channel,True,True,verified_strong
1025,دكتور,doctor,True,True,doctor,False,False,,True,True,verified
1026,ليزر,laser,True,True,laser,False,False,,True,True,verified
1027,إلكتروني,electronic,True,True,electronic,False,False,,True,True,verified
1028,ثالث,third,True,True,third,False,False,,True,True,verified
1029,سلام,peace,True,True,peace,True,True,peace,True,True,verified_strong
1030,معلومة,piece of data; known fact; item of information,True,True,fact|inform|item,True,True,data|inform|item,True,True,verified_strong
1031,ضعف,double; multiple,True,True,double|multiple,True,True,double,True,True,verified_strong
1032,فيديو,video,True,True,video,False,False,,True,True,verified
1033,مملكة,kingdom,True,True,kingdom,True,True,kingdom,True,True,verified_strong
1034,محتوى,content,True,True,content,True,True,content,True,True,verified_strong
1035,مالي,financial; monetary,True,True,financial|monetary,True,True,financial,True,True,verified_strong
1036,ثلاث,three,True,True,three,True,True,three,True,True,verified_strong
1037,خارجي,outer; foreign; outside,True,True,foreign|outer,True,True,foreign,True,True,verified_strong
1038,جد,seriousness; earnestness,True,True,earnestnes|seriousnes,True,False,,True,True,verified
1039,مسلسل,serial; sequence,True,False,,False,False,,True,True,explicit_review_required
1040,تصحيح,correction,True,True,correction,True,True,correction,True,True,verified_strong
1041,مدون,record; entry; document,False,False,,True,False,,True,True,explicit_review_required
1042,وجب,be necessary; be incumbent,True,True,incumbent|necessary,True,True,necessary,True,True,verified_strong
1043,فلسطيني,Palestinian,True,True,palestinian,True,True,palestinian,True,True,verified_strong
1044,كمبيوتر,computer,True,True,computer,True,True,computer,True,True,verified_strong
1045,مكتبة,library; bookstore,True,True,bookstore|library,True,True,library,True,True,verified_strong
1046,ثانوي,secondary,True,True,secondary,False,False,,True,True,verified
1047,أمة,nation; people,True,True,nation|people,True,True,nation|people,True,True,verified_strong
1048,علمي,scientific; scholarly; academic,True,True,academic|scholarly|scientific,True,True,scientific,True,True,verified_strong
1049,إسرائيلي,Israeli,True,True,israeli,True,False,,True,True,verified
1050,سلم,hand over; surrender; greet,True,True,greet|hand|over|surrender,True,True,greet|hand|over|surrender,True,True,verified_strong
1051,م,(A.D.); M; 13th; meter,True,False,,True,True,meter,True,True,verified
1052,تحميل,burdening; loading; shipment,True,False,,False,False,,True,True,explicit_review_required
1053,أهم,more; most important,True,True,important|more|most,True,False,,True,True,verified
1054,عسكري,military; army,True,True,military,True,True,army|military,True,True,verified_strong
1055,صلى,pray; worship,True,True,pray,True,True,pray|worship,True,True,verified_strong
1056,تربية,education; pedagogy; breeding,True,True,educ,True,True,breed,True,True,verified_strong
1057,محلي,local,True,True,local,True,False,,True,True,verified
1058,ال,the,True,True,the,True,False,,True,True,verified
1059,لبناني,Lebanese,True,True,lebanese,True,True,lebanese,True,True,verified_strong
1060,صيانة,maintenance; preservation,True,True,maintenance,True,True,maintenance,True,True,verified_strong
1061,سوري,Syrian,True,True,syrian,True,True,syrian,True,True,verified_strong
1062,رسول,messenger (Muhammad),True,True,messenger|muhammad,True,False,,True,True,verified
1063,متوسط,middle; central; average,True,True,average|central|middle,True,False,,True,True,verified
1064,أجنبي,foreign,True,True,foreign,True,True,foreign,True,True,verified_strong
1065,إداري,administrative; management; departmental; officer,True,True,administrative,True,True,administrative|manage,True,True,verified_strong
1066,أغنية,song; melody,True,True,melody|song,True,True,song,True,True,verified_strong
1067,ملفة,dossier; letter file,True,True,dossier|file,False,False,,True,True,verified
1068,طب,medicine; medical treatment,True,True,medicine|treat,False,False,,True,True,verified
1069,كاتب,clerk,True,True,clerk,True,True,clerk,True,True,verified_strong
1070,مخالف,divergent; violating,True,False,,True,False,,True,True,explicit_review_required
1071,فرنسي,French,True,True,french,True,True,french,True,True,verified_strong
1072,قرني,centenary,False,False,,False,False,,True,True,explicit_review_required
1073,عراقي,Iraqi,True,True,iraqi,True,True,iraqi,True,True,verified_strong
1074,طبي,medical,True,True,medical,True,True,medical,True,True,verified_strong
1075,تقني,technical,True,True,technical,False,False,,True,True,verified
1076,فن,art; specialty; variety,True,True,art,True,True,art,True,True,verified_strong
1077,ملتقى,meeting place; juncture,True,True,place,True,False,,True,True,verified
1078,شبكة,network; system,True,True,network|system,True,True,network,True,True,verified_strong
1079,ضرر,damage; injury; harm,True,True,damage|harm|injury,True,True,damage|harm|injury,True,True,verified_strong
1080,تجاري,commercial; business,True,True,commercial,True,True,commercial,True,True,verified_strong
1081,بنت,daughter; girl,True,True,daughter|girl,True,True,girl,True,True,verified_strong
1082,شب,youth,True,False,,True,False,,True,True,explicit_review_required
1083,زال,cease; stop being; stop doing,True,True,cease|doing,True,False,,True,True,verified
1084,أوربي,European,True,True,european,True,True,european,True,True,verified_strong
