rank,level,target,english,attribution
1,A,هل أنت جاهز؟,Are you ready?,CC-BY 2.0 (France) Attribution: tatoeba.org #376424 (saeb) & #376423 (saeb)
14,A,أحبك.,I like you.,CC-BY 2.0 (France) Attribution: tatoeba.org #410751 (CK) & #371445 (saeb)
27,A,تعال إلي,Come to me.,CC-BY 2.0 (France) Attribution: tatoeba.org #2245214 (CK) & #5548321 (WaelAlwasel)
40,A,فعلت هذا.,I did this.,CC-BY 2.0 (France) Attribution: tatoeba.org #2245681 (CK) & #8247749 (Ahmed_Waleed) Editorially corrected after complete row-by-row linguistic audit.
53,A,أحب ضوء الشموع.,I like candlelight.,CC-BY 2.0 (France) Attribution: tatoeba.org #1425 (CK) & #372175 (saeb)
67,A,افتقدتك.,I missed you.,CC-BY 2.0 (France) Attribution: tatoeba.org #407574 (Scott) & #6991506 (OsoHombre) Editorially corrected after complete row-by-row linguistic audit.
80,A,سامحني من فضلك.,Please forgive me.,CC-BY 2.0 (France) Attribution: tatoeba.org #38820 (CK) & #370640 (saeb)
93,A,نحن معلمون.,We are teachers.,CC-BY 2.0 (France) Attribution: tatoeba.org #263111 (CK) & #1409216 (alanood)
106,A,ماذا فعلتَ؟,What did you do?,CC-BY 2.0 (France) Attribution: tatoeba.org #1495903 (CK) & #2690099 (damascene)
119,A,أنا أُحب عملك.,I like your work.,CC-BY 2.0 (France) Attribution: tatoeba.org #1807324 (Eldad) & #1883106 (Asma)
132,A,هل أحسنت التصرف اليوم؟,Did you behave today?,CC-BY 2.0 (France) Attribution: tatoeba.org #242840 (CK) & #5115161 (damascene)
145,A,أتحب الموسيقى؟,Do you like music?,CC-BY 2.0 (France) Attribution: tatoeba.org #386729 (Mouseneb) & #393963 (saeb)
158,A,أتريد شيئًا؟,Do you want anything?,CC-BY 2.0 (France) Attribution: tatoeba.org #16449 (CK) & #393984 (saeb) Editorially corrected after complete row-by-row linguistic audit.
171,A,تعال إذا أمكنك.,Come if you can.,CC-BY 2.0 (France) Attribution: tatoeba.org #450074 (CK) & #450153 (saeb)
184,A,أُقَدِّر مساعدتك.,I appreciate your help.,CC-BY 2.0 (France) Attribution: tatoeba.org #54512 (CK) & #371300 (saeb)
198,A,يجب أن أذهب.,I have to go.,CC-BY 2.0 (France) Attribution: tatoeba.org #1887384 (CK) & #2170242 (Asma)
211,A,أظن أنني أفهم.,I think I understand.,CC-BY 2.0 (France) Attribution: tatoeba.org #320004 (CK) & #6679741 (marhabaan) Editorially corrected after complete row-by-row linguistic audit.
224,A,ليس هناك أي مشاكل.,There are no problems.,CC-BY 2.0 (France) Attribution: tatoeba.org #433783 (CK) & #616615 (saeb)
237,A,عليك أن ترحل.,You have to go.,CC-BY 2.0 (France) Attribution: tatoeba.org #16159 (xtofu80) & #393950 (saeb)
250,A,يا لسوء حظي.,How unlucky I am!,CC-BY 2.0 (France) Attribution: tatoeba.org #36100 (CM) & #398444 (saeb)
251,B,أهلاً ، هل تعمل هنا؟,Hi! Do you work here?,CC-BY 2.0 (France) Attribution: tatoeba.org #54608 (Zifre) & #384030 (saeb)
273,B,ماذا تريد الآن؟,What do you want now?,CC-BY 2.0 (France) Attribution: tatoeba.org #16275 (CK) & #372232 (saeb)
295,B,لماذا لا نذهب إلى البيت؟,Why don't we go home?,CC-BY 2.0 (France) Attribution: tatoeba.org #1540 (CK) & #6679763 (marhabaan)
316,B,لا نحتاج مساعدتك.,We don't need your help.,CC-BY 2.0 (France) Attribution: tatoeba.org #1893865 (CK) & #2603067 (Samer)
338,B,لا أستطيع الانتظار إلى الغد.,I can't wait till tomorrow.,CC-BY 2.0 (France) Attribution: tatoeba.org #5817045 (OsoHombre) & #5817200 (OsoHombre)
360,B,إنه تمامًا ما نحتاج إليه.,It's just what we need.,CC-BY 2.0 (France) Attribution: tatoeba.org #5041407 (CK) & #5041464 (Crataegus) Editorially corrected after complete row-by-row linguistic audit.
382,B,لقد وصلت إلى وجهتك.,You have reached your destination.,CC-BY 2.0 (France) Attribution: tatoeba.org #4442243 (Hybrid) & #4443519 (Safa_Alfulaij)
404,B,هل تمانع إذا ذهبت؟,Do you mind if I go?,CC-BY 2.0 (France) Attribution: tatoeba.org #3334019 (CK) & #6670055 (marhabaan)
425,B,ماذا فعلت هذا الصباح؟,What did you do this morning?,CC-BY 2.0 (France) Attribution: tatoeba.org #371902 (saeb) & #371901 (saeb)
447,B,أين تقترح أن نذهب؟,Where would you suggest we go?,CC-BY 2.0 (France) Attribution: tatoeba.org #3127942 (CK) & #7976280 (OsoHombre)
469,B,أذهب إلى المدرسة بالحافلة.,I go to school by bus.,CC-BY 2.0 (France) Attribution: tatoeba.org #321680 (CK) & #411556 (saeb) Editorially corrected after complete row-by-row linguistic audit.
491,B,من فضلك اتصل بي قبل أن تأتي.,Please phone me before you come.,CC-BY 2.0 (France) Attribution: tatoeba.org #279329 (CK) & #498590 (saeb)
512,B,لم يكن عليّ فعل شيء.,I didn't have to do anything.,CC-BY 2.0 (France) Attribution: tatoeba.org #4938478 (CK) & #4939828 (Safa_Alfulaij)
534,B,ما كان يجب عليّ أن أخبرك بأي شيء.,I shouldn't have told you anything.,CC-BY 2.0 (France) Attribution: tatoeba.org #646984 (CK) & #3659835 (Alaakhalid) Editorially corrected after complete row-by-row linguistic audit.
556,B,هل تعلم من اشترى لوحتك؟,Do you know who bought your painting?,CC-BY 2.0 (France) Attribution: tatoeba.org #3150822 (CK) & #5118580 (damascene)
578,B,أنا أعرف ما الذي تحاول فعله.,I know what you're trying to do.,CC-BY 2.0 (France) Attribution: tatoeba.org #1904807 (CK) & #1905881 (Asma) Editorially corrected after complete row-by-row linguistic audit.
600,B,أشكرك على مساعدتك مقدمًا.,Thank you in advance for your help.,CC-BY 2.0 (France) Attribution: tatoeba.org #54482 (kebukebu) & #666346 (Samer)
621,B,لا أعلم إن كان لدي ما يكفي من الوقت.,I don't know if I have enough time.,CC-BY 2.0 (France) Attribution: tatoeba.org #1292 (Ramses) & #383026 (saeb) Editorially corrected after complete row-by-row linguistic audit.
643,B,أعتقد أنك شخص لطيف حقاً,I think you are a really nice person.,CC-BY 2.0 (France) Attribution: tatoeba.org #433386 (CK) & #433389 (motaamel)
665,B,يمكنك الذهاب إلى المحطة بالحافلة.,You can go to the station by bus.,CC-BY 2.0 (France) Attribution: tatoeba.org #26087 (CK) & #507379 (saeb)
666,C,هل أنت متأكد من أنك لست بحاجة إلى فعل ذلك؟,Are you sure you don't need to do that?,CC-BY 2.0 (France) Attribution: tatoeba.org #9622785 (CK) & #9622803 (issadouba) Editorially corrected after complete row-by-row linguistic audit.
682,C,كم مرة تنسى أن تقوم بواجباتك المنزلية؟,How often do you forget to do your homework?,CC-BY 2.0 (France) Attribution: tatoeba.org #6238500 (CK) & #7981665 (OsoHombre) Editorially corrected after complete row-by-row linguistic audit.
697,C,لماذا أخبرتهم بأنه كان خطئي؟,Why did you tell them it was my fault?,CC-BY 2.0 (France) Attribution: tatoeba.org #5831912 (CK) & #5832106 (Safa_Alfulaij)
713,C,لدي أربعة أضعاف ما عندك من الأقراص المدمجة.,I have four times as many CDs as you do.,CC-BY 2.0 (France) Attribution: tatoeba.org #252842 (CK) & #2655359 (Samer) Editorially corrected after complete row-by-row linguistic audit.
729,C,هذه هي القرية التي قضيت فيها طفولتي.,This is the village where I spent my childhood.,CC-BY 2.0 (France) Attribution: tatoeba.org #56220 (CK) & #2604972 (Samer) Editorially corrected after complete row-by-row linguistic audit.
745,C,أين هي الوثائق التي كانت على طاولتي؟,Where are the documents that were on my desk?,CC-BY 2.0 (France) Attribution: tatoeba.org #9621334 (CK) & #9622857 (issadouba)
760,C,كان القيام بذلك شيئا سخيفا على ما أعتقد.,I think it was a stupid thing to do.,CC-BY 2.0 (France) Attribution: tatoeba.org #5838639 (OsoHombre) & #5838640 (OsoHombre)
776,C,لم تعرف كيف تتصرف تجاه المشكلة.,She didn't know what to do with the problem.,CC-BY 2.0 (France) Attribution: tatoeba.org #311429 (CK) & #832742 (Samer)
792,C,على حد علمي، هو طالب ممتاز.,"As far as I know, he's an excellent student.",CC-BY 2.0 (France) Attribution: tatoeba.org #561568 (Nm) & #5155925 (damascene)
808,C,لا أريد الجلوس في الظلام بمفردي.,I don't want to sit alone in the dark.,CC-BY 2.0 (France) Attribution: tatoeba.org #9945422 (ddnktr) & #12489571 (OsoHombre)
823,C,أردت الذهاب إلى مكان لم يسبق لي الذهاب إليه.,I wanted to go somewhere I'd never been before.,CC-BY 2.0 (France) Attribution: tatoeba.org #2031955 (CK) & #2606034 (Samer)
839,C,يهمّني أن نتبع القوانين.,It's important to me that we follow the rules.,CC-BY 2.0 (France) Attribution: tatoeba.org #3540418 (CK) & #3543222 (Safa_Alfulaij)
855,C,"اليوم مُشمس جداً, لذلك الجميع يرتدي نظارات الشمس.","Today it's very sunny, so everyone is wearing sunglasses.",CC-BY 2.0 (France) Attribution: tatoeba.org #1941288 (_undertoad) & #1941982 (Asma)
871,C,هل تريدني حقًا أن أذهب إلى هناك الآن؟,Do you really want me to go there right now?,CC-BY 2.0 (France) Attribution: tatoeba.org #1898407 (CK) & #1898651 (Asma) Editorially corrected after complete row-by-row linguistic audit.
886,C,هل تريد أن تذهب إلى حديقة الحيوان بعد ظهر هذا اليوم؟,Do you want to go to the zoo this afternoon?,CC-BY 2.0 (France) Attribution: tatoeba.org #69413 (CK) & #1409151 (alanood) Editorially corrected after complete row-by-row linguistic audit.
902,C,فكّر كيف ستشعر إن حدث ذلك لك.,Think about how you'd feel if that happened to you.,CC-BY 2.0 (France) Attribution: tatoeba.org #4904971 (CK) & #4944732 (Safa_Alfulaij) Editorially corrected after complete row-by-row linguistic audit.
918,C,إن حصل هذا لأي سبب، فماذا ستفعل؟,"If this happens for some reason, what will you do?",CC-BY 2.0 (France) Attribution: tatoeba.org #1438048 (CK) & #2602826 (Samer) Editorially corrected after complete row-by-row linguistic audit.
934,C,لا يهم ما تفعله، يجب عليك أن تبذل قصارى جهدك.,"No matter what you do, you have to do your best.",CC-BY 2.0 (France) Attribution: tatoeba.org #1891666 (CK) & #1892559 (Asma) Editorially corrected after complete row-by-row linguistic audit.
949,C,لو أخبرتك بالحقيقة، لتفاجأت.,"If I were to tell you the truth, you would be surprised.",CC-BY 2.0 (France) Attribution: tatoeba.org #25327 (CK) & #1928300 (Asma) Editorially corrected after complete row-by-row linguistic audit.
965,C,يجب عليك أن تُخطط للقدوم معنا المرة المقبلة التي نذهب فيها للتخييم.,You should plan to come with us the next time we go camping.,CC-BY 2.0 (France) Attribution: tatoeba.org #1927457 (CK) & #1928202 (Asma)
966,D,لا أدري ماذا كان يمكنني أن أفعل لولا مجيئك لمساعدتي.,I don't know what I would've done if you hadn't come to help me.,CC-BY 2.0 (France) Attribution: tatoeba.org #3618743 (CK) & #5118524 (damascene)
968,D,لمّا كنتُ طفلًا كنت أقضي الساعات أقرأ لوحدي في غرفتي.,"When I was a child, I would spend hours reading alone in my room.",CC-BY 2.0 (France) Attribution: tatoeba.org #2464 (Zifre) & #608283 (Samer)
970,D,نظرت إلى نفسي في المرآة ولم أحب ما رأيت.,I looked at myself in the mirror and I didn't like what I saw.,CC-BY 2.0 (France) Attribution: tatoeba.org #1920011 (zahurdias) & #1920210 (Asma) Editorially corrected after complete row-by-row linguistic audit.
971,D,من الأفضل ألا تدوّن كلمات المرور في مكان قد يراها فيه الآخرون.,It's recommended that you don't write your passwords down where others might see them.,CC-BY 2.0 (France) Attribution: tatoeba.org #4198257 (CK) & #4459122 (Safa_Alfulaij) Editorially corrected after complete row-by-row linguistic audit.
973,D,كان أبي دائمًا يقول إنك لا تداعب إلا الأشخاص الذين تحبهم.,My father used to always say that you only tease the ones you love.,CC-BY 2.0 (France) Attribution: tatoeba.org #8567513 (CK) & #8677260 (Ahmed_Waleed) Editorially corrected after complete row-by-row linguistic audit.
975,D,عندما استيقظت هذا الصباح لم أرد النهوض من السرير.,"When I woke up this morning, I didn't want to get out of bed.",CC-BY 2.0 (France) Attribution: tatoeba.org #5831974 (CK) & #5832094 (Safa_Alfulaij) Editorially corrected after complete row-by-row linguistic audit.
977,D,بتوقيعي للعقد، ألزمت نفسي بالعمل هناك لخمس سنوات أخرى.,"By signing the contract, I committed myself to working there for another five years.",CC-BY 2.0 (France) Attribution: tatoeba.org #237915 (CK) & #5131523 (damascene)
979,D,لا يبدو على علم بسوء التفاهم الذي بيني وبين أبي.,He seems not to be aware of the misunderstanding between my father and me.,CC-BY 2.0 (France) Attribution: tatoeba.org #318880 (Scott) & #7970677 (meriem2036) Editorially corrected after complete row-by-row linguistic audit.
980,D,أحب كيف يصبح الهواء في الخارج منعشًا وعليلًا بعد نزول المطر.,I love how fresh and pleasant the air becomes outside after the rain falls.,CC-BY 2.0 (France) Attribution: tatoeba.org #3020393 (Delian) & #5115319 (damascene) Editorially corrected after complete row-by-row linguistic audit.
982,D,ما إنْ تبدأ التدخين، فإنه يصعب عليك ترك تلك العادة السيئة.,"Once you start smoking, it is difficult to get rid of that bad habit.",CC-BY 2.0 (France) Attribution: tatoeba.org #66237 (CM) & #670144 (Samer)
984,D,لفترة، كنت مدمنًا على شرب المشروبات الغازية وكنت أشربها كل يوم.,"For a while, I was addicted to soft drinks and drank them every day.",CC-BY 2.0 (France) Attribution: tatoeba.org #1994691 (CK) & #1995013 (Asma) Editorially corrected after complete row-by-row linguistic audit.
