rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
351,REPAIR,Comment puis-je vous rembourser ?,How can I repay you?,kɔmˌɑ̃ pyˈiʒ vu ʁɑ̃buʁsˈe ?,kohman pyayayzh vohoh ranbohohrsay ?,Machine misses /ɥ/ in puis-je; remove artificial stresses and mark rembourser's nasal vowel.,/kɔmɑ̃ pɥiʒ vu ʁɑ̃buʁse/,koh-mahn pweezh voo rahn-boor-say (nasal vowels)
352,REPAIR,Comment pouvons-nous faire cela ?,How can we do that?,kɔmˌɑ̃ puvˈɔ̃nu fˈɛʁ səlˈa ?,kohman pohohvohnnohoh fayr sohohhla ?,Pouvons-nous is /puvɔ̃ nu/ without an extra consonant; remove artificial stresses.,/kɔmɑ̃ puvɔ̃ nu fɛʁ səla/,koh-mahn poo-vohn noo fehr suh-lah (nasal vowels)
353,REPAIR,Comment pouvons-nous vous aider ?,How can we help you?,kɔmˌɑ̃ puvˈɔ̃nu vuz ɛdˈe ?,kohman pohohvohnnohoh vohohz ayday ?,Keep mandatory /z/ from object clitic vous before aider, but aider is /ede/. Remove artificial stresses.,/kɔmɑ̃ puvɔ̃ nu vu zede/,koh-mahn poo-vohn noo voo zay-day (nasal vowels)
354,REPAIR,Comment pouvons-nous te remercier ?,How can we thank you?,kɔmˌɑ̃ puvˈɔ̃nu tə- ʁəmɛʁsjˈe ?,kohman pohohvohnnohoh tohohh- rohohhmayrsyay ?,Remove machine hyphen/artificial stresses; remercier retains /j/ glide.,/kɔmɑ̃ puvɔ̃ nu tə ʁəmɛʁsje/,koh-mahn poo-vohn noo tuh ruh-mehr-syay (nasal vowels)
355,REPAIR,Comment pouvez-vous manger cela ?,How can you eat that?,kɔmˌɑ̃ puvˈevu mɑ̃ʒˈe səlˈa ?,kohman pohohvayvohoh manzhay sohohhla ?,Pouvez-vous is /puve vu/ without /z/ liaison; remove artificial stresses and mark manger nasal.,/kɔmɑ̃ puve vu mɑ̃ʒe səla/,koh-mahn poo-vay voo mahn-zhay suh-lah (nasal vowels)
356,REPAIR,Comment pouvez-vous savoir cela ?,How can you know that?,kɔmˌɑ̃ puvˈevu savwˈaʁ səlˈa ?,kohman pohohvayvohoh savwar sohohhla ?,Pouvez-vous is /puve vu/ without /z/ liaison; remove artificial stresses.,/kɔmɑ̃ puve vu savwaʁ səla/,koh-mahn poo-vay voo sah-vwar suh-lah (comment nasal)
357,REPAIR,Comment peux-tu ne pas le savoir ?,How can you not know?,kɔmˌɑ̃ pˈøty nə- pa lə- savwˈaʁ ?,kohman peuty nohohh- pa lohohh- savwar ?,Peux-tu is /pø ty/; remove machine hyphens/artificial stresses.,/kɔmɑ̃ pø ty nə pa lə savwaʁ/,koh-mahn peu tü nuh pah luh sah-vwar (comment nasal)
358,REPAIR,Comment peux-tu dire ça ?,How can you say that?,kɔmˌɑ̃ pˈøty dˈiʁ sˈa ?,kohman peuty dayayr sa ?,Peux-tu is /pø ty/; remove artificial stresses and cue ça with open /a/.,/kɔmɑ̃ pø ty diʁ sa/,koh-mahn peu tü deer sah (comment nasal)
359,REPAIR,Comment pourrais-je vous oublier ?,How could I forget you?,kɔmˌɑ̃ puʁˈɛʒ vuz ubliˈe ?,kohman pohohrayzh vohohz ohohblayayay ?,Keep mandatory /z/ from object clitic vous before oublier; oublier is /ublije/. Remove artificial stresses.,/kɔmɑ̃ puʁɛʒ vu zublije/,koh-mahn poo-rehzh voo zoo-blee-yay (comment nasal)
360,REPAIR,Comment aurais-je pu savoir ?,How could I have known?,kɔmˌɑ̃ oʁˈɛʒ pˈy savwˈaʁ ?,kohman ohrayzh py savwar ?,Remove artificial stresses; aurais-je is /oʁɛʒ/ and pu contains French /y/.,/kɔmɑ̃ oʁɛʒ py savwaʁ/,koh-mahn oh-rehzh pü sah-vwar (comment nasal)
361,REPAIR,Comment pourrions-nous faire ça ?,How could we do that?,kɔmˌɑ̃ puʁjˈɔ̃nu fˈɛʁ sˈa ?,kohman pohohryohnnohoh fayr sa ?,Pourrions-nous is /puʁjɔ̃ nu/ without an extra consonant; remove stresses.,/kɔmɑ̃ puʁjɔ̃ nu fɛʁ sa/,koh-mahn poor-yohn noo fehr sah (nasal vowels)
362,REPAIR,Comment avez-vous pu faire ça ?,How could you do that?,kɔmˌɑ̃ avˈevu pˈy fˈɛʁ sˈa ?,kohman avayvohoh py fayr sa ?,Avez-vous is /ave vu/ without /z/ liaison; remove artificial stresses and distinguish /y/ in pu.,/kɔmɑ̃ ave vu py fɛʁ sa/,koh-mahn ah-vay voo pü fehr sah (comment nasal)
363,REPAIR,Comment pourrais-tu m'aider ?,How could you help me?,kɔmˌɑ̃ puʁˈɛty mɛdˈe ?,kohman pohohrayty mayday ?,Pourrais-tu is /puʁɛ ty/ and m'aider is /mede/, not /mɛde/. Remove stresses.,/kɔmɑ̃ puʁɛ ty mede/,koh-mahn poo-reh tü may-day (comment nasal)
364,REPAIR,Comment pouvez-vous le savoir ?,How can you know it?,kɔmˌɑ̃ puvˈevu lə- savwˈaʁ ?,kohman pohohvayvohoh lohohh- savwar ?,Pouvez-vous is /puve vu/ without /z/ liaison; remove machine hyphen/artificial stresses.,/kɔmɑ̃ puve vu lə savwaʁ/,koh-mahn poo-vay voo luh sah-vwar (comment nasal)
365,REPAIR,Comment pouvais-tu l'ignorer ?,How could you ignore it?,kɔmˌɑ̃ puvˈɛty linjoʁˈe ?,kohman pohohvayty layaynyohray ?,Pouvais-tu is /puvɛ ty/; l'ignorer contains palatal nasal /ɲ/: /liɲɔʁe/. Remove stresses.,/kɔmɑ̃ puvɛ ty liɲɔʁe/,koh-mahn poo-veh tü lee-nyawr-ay (comment nasal)
366,REPAIR,Comment pourrais-tu dire cela ?,How could you say that?,kɔmˌɑ̃ puʁˈɛty dˈiʁ səlˈa ?,kohman pohohrayty dayayr sohohhla ?,Pourrais-tu is /puʁɛ ty/; remove artificial stresses.,/kɔmɑ̃ puʁɛ ty diʁ səla/,koh-mahn poo-reh tü deer suh-lah (comment nasal)
367,REPAIR,Comment pourrais-tu penser ça ?,How could you think that?,kɔmˌɑ̃ puʁˈɛty pɑ̃sˈe sˈa ?,kohman pohohrayty pansay sa ?,Pourrais-tu is /puʁɛ ty/; remove stresses and mark penser's nasal vowel.,/kɔmɑ̃ puʁɛ ty pɑ̃se sa/,koh-mahn poo-reh tü pahn-say sah (nasal vowels)
368,REPAIR,Comment suis-je parvenu ici ?,How did I get here?,kɔmˌɑ̃ syˈiʒ paʁvənˈy isˈi ?,kohman syayayzh parvohohhny ayaysayay ?,Machine misses /ɥ/ in suis-je; remove artificial stresses and distinguish /y/ in parvenu.,/kɔmɑ̃ sɥiʒ paʁvəny isi/,koh-mahn sweezh par-vuh-nü ee-see (comment nasal)
369,REPAIR,Comment est-il venu ici ?,How did he come here?,kɔmˌɑ̃ ɛtil vənˈy isˈi ?,kohman aytayayl vohohhny ayaysayay ?,Est-il correctly uses linking /t/; remove artificial stresses and distinguish /y/ in venu.,/kɔmɑ̃ ɛ til vəny isi/,koh-mahn eh teel vuh-nü ee-see (comment nasal)
370,REPAIR,Comment avons-nous fait cela ?,How did we do that?,kɔmˌɑ̃ avˈɔ̃nu fˈɛ səlˈa ?,kohman avohnnohoh fay sohohhla ?,Avons-nous is /avɔ̃ nu/ without /z/ liaison; remove artificial stresses.,/kɔmɑ̃ avɔ̃ nu fɛ səla/,koh-mahn ah-vohn noo feh suh-lah (nasal vowels)
