rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
251,REPAIR,amour,love; affection; romantic love,amˈuʁ,amohohr,Remove inappropriate lexical stress; learner hint is corrupted.,/amuʁ/,ah-moor
252,REPAIR,ouvrir,to open; to begin/start; to open up; to access,uvʁˈiʁ,ohohvrayayr,Remove inappropriate lexical stress; learner hint is corrupted.,/uvʁiʁ/,oo-vreer
253,REPAIR,sang,blood,sˈɑ̃,san,Remove inappropriate lexical stress; vowel is nasal /ɑ̃/ and final g is silent.,/sɑ̃/,sahn (nasal)
254,REPAIR,utiliser,"to use, to utilize",ytilizˈe,ytayaylayayzay,Remove inappropriate lexical stress; learner hint is corrupted and should distinguish French /y/.,/ytilize/,ü-tee-lee-zay
255,REPAIR,gros,big; large; thick; fat; coarse; major/important (context-dependent),ɡʁˈo,groh,Remove inappropriate lexical stress; final written s is silent.,/ɡʁo/,groh
256,REPAIR,cas,case,kˈa,ka,Remove inappropriate lexical stress; final written s is silent and /a/ is open.,/ka/,kah
257,REPAIR,rencontrer,to meet; to come across,ʁɑ̃kɔ̃tʁˈe,rankohntray,Remove inappropriate lexical stress; both nasal vowels need explicit learner cues.,/ʁɑ̃kɔ̃tʁe/,rahn-kohn-tray (nasal vowels)
258,REPAIR,porter,wear; carry,pɔʁtˈe,pohrtay,Remove inappropriate lexical stress; normalize learner segmentation.,/pɔʁte/,pawr-tay
259,REPAIR,demain,tomorrow,dəmˈɛ̃,dohohhmayayn,Remove inappropriate lexical stress; learner hint is corrupted and final vowel is nasal /ɛ̃/.,/dəmɛ̃/,duh-mehn (nasal)
260,REPAIR,suivre,to follow; to take / attend (a course); to understand / follow,syˈivʁ,syayayvr,Machine misses the French /ɥ/ glide: suivre is /sɥivʁ/, not /syivʁ/.,/sɥivʁ/,sweevr
261,REPAIR,fou,"bishop; madman; mad, crazy",fˈu,fohoh,Remove inappropriate lexical stress; learner hint is corrupted.,/fu/,foo
262,REPAIR,porte,"door; carries; wears (verb form of porter, context-dependent)",pˈɔʁt,pohrt,Remove inappropriate lexical stress; IPA otherwise correct.,/pɔʁt/,pawrt
263,REPAIR,genre,kind; genre; genus,ʒˈɑ̃ʁ,zhanr,Remove inappropriate lexical stress; vowel is nasal /ɑ̃/.,/ʒɑ̃ʁ/,zhahn-r (nasal)
264,REPAIR,seulement,only,sølmˈɑ̃,seulman,Machine uses /ø/ but seul- in seulement is /sœl/; remove lexical stress and cue final nasal vowel.,/sœlmɑ̃/,suhl-mahn (final nasal)
265,REPAIR,bébé,baby,bebˈe,baybay,Remove inappropriate lexical stress; IPA otherwise correct.,/bebe/,bay-bay
266,REPAIR,gagner,to win; to earn; to gain; to obtain,ɡanjˈe,ganyay,Machine represents French gn as /nj/ rather than the palatal nasal /ɲ/; remove lexical stress.,/ɡaɲe/,gah-nyay
267,REPAIR,sous,under; below; beneath,sˈu,sohoh,Remove inappropriate lexical stress; final written s is silent.,/su/,soo
268,REPAIR,mauvais,"bad; wrong, incorrect",movˈɛ,mohvay,Remove inappropriate lexical stress; final vowel is /ɛ/, not /e/.,/movɛ/,moh-veh
