rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
701,REPAIR,یہ آسان ہے۔,This is easy.,jeːh aːsˈaːn hɛ,yayh asan hay,Final ہ in یہ is not pronounced; normalize آسان and ہے.,/jeː aːsaːn ɦɛː/,yay aa-saan hai
702,REPAIR,کیا یہ آسان ہے؟,Is this easy?,kjˈaː jeːh aːsˈaːn hɛ,kya yayh asan hay,Normalize interrogative کیا, یہ, آسان, and ہے.,/kjaː jeː aːsaːn ɦɛː/,kyaa yay aa-saan hai
703,REPAIR,وہ آسان ہے۔,That is easy.,woː aːsˈaːn hɛ,woh asan hay,Normalize وہ /ʋoː/, آسان, and ہے.,/ʋoː aːsaːn ɦɛː/,woh aa-saan hai
704,REPAIR,یہ آسان نہیں ہے۔,This is not easy.,jeːh aːsˈaːn nahˈiːn hɛ,yayh asan nahayayn hay,Normalize یہ, آسان, nasal نہیں, and ہے.,/jeː aːsaːn nəɦĩː ɦɛː/,yay aa-saan nuh-heen hai
705,REPAIR,وہ آسان نہیں ہے۔,That is not easy.,woː aːsˈaːn nahˈiːn hɛ,woh asan nahayayn hay,Normalize وہ, آسان, nasal نہیں, and ہے.,/ʋoː aːsaːn nəɦĩː ɦɛː/,woh aa-saan nuh-heen hai
706,REPAIR,یہ مشکل ہے۔,This is difficult.,jeːh mˈʊʃkˌɪl hɛ,yayh mohohshkayayl hay,Normalize یہ, مشکل /mʊʃkɪl/, and ہے.,/jeː mʊʃkɪl ɦɛː/,yay mush-kil hai
707,REPAIR,کیا یہ مشکل ہے؟,Is this difficult?,kjˈaː jeːh mˈʊʃkˌɪl hɛ,kya yayh mohohshkayayl hay,Normalize interrogative کیا, یہ, مشکل, and ہے.,/kjaː jeː mʊʃkɪl ɦɛː/,kyaa yay mush-kil hai
708,REPAIR,وہ مشکل ہے۔,That is difficult.,woː mˈʊʃkˌɪl hɛ,woh mohohshkayayl hay,Normalize وہ, مشکل, and ہے.,/ʋoː mʊʃkɪl ɦɛː/,woh mush-kil hai
709,REPAIR,یہ مشکل نہیں ہے۔,This is not difficult.,jeːh mˈʊʃkˌɪl nahˈiːn hɛ,yayh mohohshkayayl nahayayn hay,Normalize یہ, مشکل, nasal نہیں, and ہے.,/jeː mʊʃkɪl nəɦĩː ɦɛː/,yay mush-kil nuh-heen hai
710,REPAIR,وہ مشکل نہیں ہے۔,That is not difficult.,woː mˈʊʃkˌɪl nahˈiːn hɛ,woh mohohshkayayl nahayayn hay,Normalize وہ, مشکل, nasal نہیں, and ہے.,/ʋoː mʊʃkɪl nəɦĩː ɦɛː/,woh mush-kil nuh-heen hai
711,REPAIR,یہ ضروری ہے۔,This is necessary.,jeːh zarˈuːri hɛ,yayh zarohohrayay hay,Normalize یہ and ضروری with Urdu rhotic/final long /iː/.,/jeː zəɾuːɾiː ɦɛː/,yay zu-roo-ree hai
712,REPAIR,کیا یہ ضروری ہے؟,Is this necessary?,kjˈaː jeːh zarˈuːri hɛ,kya yayh zarohohrayay hay,Normalize interrogative کیا, یہ, ضروری, and ہے.,/kjaː jeː zəɾuːɾiː ɦɛː/,kyaa yay zu-roo-ree hai
713,REPAIR,وہ ضروری ہے۔,That is necessary.,woː zarˈuːri hɛ,woh zarohohrayay hay,Normalize وہ, ضروری, and ہے.,/ʋoː zəɾuːɾiː ɦɛː/,woh zu-roo-ree hai
714,REPAIR,یہ ضروری نہیں ہے۔,This is not necessary.,jeːh zarˈuːri nahˈiːn hɛ,yayh zarohohrayay nahayayn hay,Normalize یہ, ضروری, nasal نہیں, and ہے.,/jeː zəɾuːɾiː nəɦĩː ɦɛː/,yay zu-roo-ree nuh-heen hai
715,REPAIR,وہ ضروری نہیں ہے۔,That is not necessary.,woː zarˈuːri nahˈiːn hɛ,woh zarohohrayay nahayayn hay,Normalize وہ, ضروری, nasal نہیں, and ہے.,/ʋoː zəɾuːɾiː nəɦĩː ɦɛː/,woh zu-roo-ree nuh-heen hai
716,REPAIR,یہ ممکن ہے۔,This is possible.,jeːh mˈʊmkˌɪn hɛ,yayh mohohmkayayn hay,Normalize یہ, ممکن, and ہے.,/jeː mʊmkɪn ɦɛː/,yay mum-kin hai
