rank,front,meaning,status,wordfreq_zipf,kaikki_entry,kaikki_semantic_support,kaikki_overlap_terms,readurdu_entry,readurdu_semantic_support,calima_exact_analyses,flags,readurdu_semantic_agreement,kaikki_semantic_agreement_recheck,word2word_entry,word2word_translations,word2word_semantic_agreement,word2word_overlap_terms,semantic_source_count,combined_status
1002,کرنے,inflection of करना (karnā): | also: infinitive indirect of کَرْنا (karnā — to do),explicit_review_required,6.330,False,False,,True,True,,,True,False,True,To; try; trying; help; TO,False,,1,explicit_review_required
1003,تہا,"Was, (irreg. past tense masc. sing. of the verb honā, 'to be'; — fem. sing. thī: see Gram.)",explicit_review_required,0.000,False,False,,True,True,,,True,False,False,,False,,1,explicit_review_required
1005,رہے,remained (plural),explicit_review_required,6.310,False,False,,True,True,,,True,False,True,RE; talking; waiting; saying; looking,False,,1,explicit_review_required
1006,کریں,do (polite/plural of کرنا),explicit_review_required,6.080,False,False,,True,True,,,True,False,True,Find; Try; Don; Wait; follow,False,,1,explicit_review_required
1007,کرتے,do (plural of کرنا),explicit_review_required,6.200,False,False,,True,True,,,True,False,True,hate; Let; try; start; feel,False,,1,explicit_review_required
1008,ہونے,"inflection of होना (honā, “to be”):",explicit_review_required,6.240,False,False,,True,True,,,True,False,True,happen; being; stopped; join; catching,False,,1,explicit_review_required
1010,والے,the ones who/that (plural suffix),explicit_review_required,6.270,False,False,,True,True,,,True,False,True,supposed; fear; living; comes; winner-take-all,False,,1,explicit_review_required
1011,جا,"the inflected base, in Braj, of the rel. pron. jo, and = the Hindī jis; — e.g. jā-su, From whom, from which;…",explicit_review_required,5.970,False,False,,True,True,,,True,False,True,going; GOING; taking; being; may,False,,1,explicit_review_required
1012,تہی,"adj. Empty, void, vacant, vain: — tihī-dast, adj. Empty-handed; poor: — tihī-dastī, s.f. Poverty, penury: —…",explicit_review_required,3.600,False,False,,True,True,,,True,False,False,,False,,1,explicit_review_required
1013,گئی,went (feminine of جانا),explicit_review_required,6.120,False,False,,True,True,,,True,False,True,fell; paid; late; gone; broke,False,,1,explicit_review_required
1014,رہا,remained; continuous marker (of رہنا),explicit_review_required,6.160,False,False,,True,True,,,True,False,True,leaving; getting; trying; saying; coming,False,,1,explicit_review_required
1015,رہی,remained (feminine),explicit_review_required,6.020,False,False,,True,True,,,True,False,True,getting; aren; giving; moving; With,False,,1,explicit_review_required
1016,جاتا,"(fem. of jāta, jāt, q.v.), s.f. Female offspring, a daughter",explicit_review_required,6.050,False,False,,True,True,,,True,False,True,gets; goes; finds; known; called,False,,1,explicit_review_required
1017,ہوتی,"happens, is (feminine)",explicit_review_required,5.930,False,False,,True,True,,,True,False,True,bump; October; conversation; having; political,False,,1,explicit_review_required
1021,ہوئی,"happened, became (feminine of ہونا)",explicit_review_required,6.050,False,False,,True,True,,,True,False,True,meet; Nice; MEET; growing; NICE,False,,1,explicit_review_required
1022,والی,the one who/that (feminine suffix),explicit_review_required,5.910,False,False,,True,True,,,True,False,True,brewing; handkerchief; bold; Am; War,False,,1,explicit_review_required
1024,دے,inflection of देना (denā):,explicit_review_required,6.040,False,False,,True,True,,,True,False,True,Give; give; giving; letting; e-mail,False,,1,explicit_review_required
1026,جاتی,"s.f. See jāt, s.f",explicit_review_required,5.780,False,False,,True,True,,,True,False,True,supposed; makes; boil; tingle; CHUCKLING,False,,1,explicit_review_required
1030,جانے,"(2nd. or 3rd. pers. sing. aor. of jānnā), adv. & conj. One would suppose…",explicit_review_required,5.810,False,False,,True,True,,,True,False,True,go; Let; Way; knowing; letting,False,,1,explicit_review_required
1031,پی,the English letter P; drank (feminine of پینا),explicit_review_required,6.080,False,False,,True,True,,,True,False,True,PC; GPS; Doctor; spent; IP,False,,1,explicit_review_required
1033,ہوتے,"happen, are (plural)",explicit_review_required,5.810,False,False,,True,True,,,True,False,True,gloat; such; wish; narratives; assholes,False,,1,explicit_review_required
1035,ایم,the English letter M (in acronyms),explicit_review_required,5.750,False,False,,True,True,,,True,False,True,EM; MMA; em; upset; TAKE,False,,1,explicit_review_required
1037,مجہے,"(dialec.) मुझै mujhai (see mujh), pron. Me; to me",explicit_review_required,0.000,False,False,,True,True,,,True,False,False,,False,,1,explicit_review_required
1039,کہیل,"(prob. akin to khilnā, q.v.), s.f. Parched grain or rice (inflated or puffed out so as to appear like froth;…",explicit_review_required,0.000,False,False,,True,True,,,True,False,False,,False,,1,explicit_review_required
1040,کرے,may do (subjunctive of کرنا),explicit_review_required,5.870,False,False,,True,True,,,True,False,True,wouldn; Will; change; brought; someone,False,,1,explicit_review_required
1042,گہر,"s.m. House, dwelling, mansion, habitation, abode, home; — a room (in a house), an apartment; — a den; nest;…",explicit_review_required,3.310,False,False,,True,True,,,True,False,False,,False,,1,explicit_review_required
1043,جاتے,inflection of जाना (jānā):,explicit_review_required,5.710,False,False,,True,True,,,True,False,True,Move; baptized; birds; slide; bottom,False,,1,explicit_review_required
1044,سکتی,"can, is able (feminine)",explicit_review_required,5.460,False,False,,True,True,,,True,False,True,remove; blade; pierce; handle; holds,False,,1,explicit_review_required
1046,دیں,give (polite/plural of دینا),explicit_review_required,5.720,False,False,,True,True,,,True,False,True,Turn; flying; bases; lose; train,False,,1,explicit_review_required
1047,سکے,plural direct of سِکَّہ (sikka — coin; medal) | also: oblique singular of سِکَّہ (sikka — coin; medal),explicit_review_required,5.320,False,False,,True,True,,,True,False,True,telescope; balcony; vantage; shatter; causing,False,,1,explicit_review_required
1048,ٹی,the English letter T (in acronyms),explicit_review_required,5.790,False,False,,True,True,,,True,False,True,IT; S; TV; ABOUT; BLAKE,False,,1,explicit_review_required
