"Front","Back"
"کا","Translations:
EN: of / 's
AR: لِـ
FR: de

Definition:
(EN) Possessive particle used to link two nouns, indicating belonging or relationship.

Example: یہ احمد کا گھر ہے۔

Translation: This is Ahmad's house.

Root Word: Sanskrit 'kṛta'

Synonyms: کے, کی"
"کے","Translations:
EN: of (masculine plural/oblique)
AR: لِـ / الـ
FR: de

Definition:
(EN) Possessive particle used when the following noun is masculine plural or in an oblique case.

Example: یہ اس کے گھر ہیں۔

Translation: These are his houses.

Root Word: Sanskrit 'kṛta'

Synonyms: کا, کی"
"کی","Translations:
EN: of (feminine)
AR: لِـ / الـ
FR: de

Definition:
(EN) Possessive particle used when the following noun is feminine.

Example: یہ احمد کی کتاب ہے۔

Translation: This is Ahmad's book.

Root Word: Sanskrit 'kṛta'

Synonyms: کا, کے"
"ہے","Translations:
EN: is
AR: يَكُونُ / هُوَ
FR: est

Definition:
(EN) Third-person singular present form of 'to be'.

Example: وہ ایک طالب علم ہے۔

Translation: He is a student.

Root Word: Indo-Aryan origin.

Synonyms: ہیں, ہو"
"میں","Translations:
EN: in
AR: فِي
FR: dans

Definition:
(EN) Indicating location or inclusion within space, time, or a group.

Example: وہ کمرے میں ہے۔

Translation: He is in the room.

Root Word: Sanskrit 'madhye'.

Synonyms: اندر, بیچ"
"کو","Translations:
EN: to / for / (object marker)
AR: إِلَى / لِـ
FR: à / pour

Definition:
(EN) Postposition used to mark the indirect object or sometimes the definite direct object.

Example: اس کو پانی دو۔

Translation: Give him water.

Root Word: Indo-Aryan origin.

Synonyms: تئیں, واسطے"
"اور","Translations:
EN: and
AR: وَ
FR: et

Definition:
(EN) Conjunction used to connect words, phrases, or clauses.

Example: میں اور تم۔

Translation: I and you.

Root Word: Persian 'wa'

Synonyms: و, نیز"
"سے","Translations:
EN: from / with / by
AR: مِنْ / بِـ
FR: de / avec

Definition:
(EN) Postposition indicating origin, means, or comparison.

Example: میں لاہور سے ہوں۔

Translation: I am from Lahore.

Root Word: Indo-Aryan origin.

Synonyms: تئیں, ذریعے"
"ہیں","Translations:
EN: are
AR: يَكُونُونَ / هُمْ
FR: sont

Definition:
(EN) Third-person plural present form of 'to be'.

Example: وہ طالب علم ہیں۔

Translation: They are students.

Root Word: Indo-Aryan origin.

Synonyms: ہے, ہو"
"پر","Translations:
EN: on / at / but
AR: عَلَى / لَكِنْ
FR: sur / mais

Definition:
(EN) Postposition indicating location (on/at) or a conjunction meaning 'but'.

Example: کتاب میز پر ہے۔

Translation: The book is on the table.

Root Word: Persian 'bar' / Indo-Aryan 'par'.

Synonyms: اوپر, لیکن"
