source_rank,front,reasons
331,فِي المَدَى المَنْظُورِ القَرِيبِ لِلْغَايَةِ جِدًّا,synthetic_escalation_artifact
426,فِي المَدَى المَنْظُورِ القَرِيبِ المَحْسُوسِ لِلْجَمِيعِ,synthetic_escalation_artifact
440,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ تَمَامًا,synthetic_escalation_artifact
455,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ فَوْرًا,synthetic_escalation_artifact
469,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ حَتْمًا,synthetic_escalation_artifact
496,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ قَطْعًا,synthetic_escalation_artifact
511,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ قَرِيبًا جِدًّا,synthetic_escalation_artifact
525,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ حَالاً,synthetic_escalation_artifact
553,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ حَالاً جِدًّا,synthetic_escalation_artifact
555,عَلَى وَشْكِ التَّلاشِي الكُلِّيِّ,synthetic_escalation_artifact
568,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ فَوْرًا جِدًّا,synthetic_escalation_artifact
581,بِدُونِ سَابِقِ تَعَهُّدٍ سِيَاسِيٍّ مُطْلَقٍ,synthetic_escalation_artifact
583,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ فَوْرًا جِدًّا تَمَامًا,synthetic_escalation_artifact
598,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ فَوْرًا جِدًّا كُلِّيًّا,synthetic_escalation_artifact
610,بِدُونِ سَابِقِ تَعَهُّدٍ سِيَاسِيٍّ مُؤَكَّدٍ,synthetic_escalation_artifact
612,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ فَوْرًا جِدًّا نِهَائِيًّا,synthetic_escalation_artifact
627,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ فَوْرًا جِدًّا حَالاً تَمَامًا,synthetic_escalation_artifact
628,بِغَضِّ النَّظَرِ عَنِ الاِعْتِبَارَاتِ النَّفْسِيَّةِ العَابِرَةِ لِلأَسَفِ المُرِّ الشَّدِيدِ,synthetic_escalation_artifact
632,عَلَى مَدَى الأَجْيَالِ المُنْبَعِثَةِ مِنْ بَيْنِ الرُّكَامِ بَعْدَ الصَّبْرِ الجَمِيلِ جِدًّا تَمَامًا,synthetic_escalation_artifact
642,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ fawran jiddan haalan mutlaqan,latin_in_front|synthetic_escalation_artifact|normalized_duplicate_of_source_rank_372
647,عَلَى مَدَى الأَجْيَالِ المُنْبَعِثَةِ مِنْ بَيْنِ الرُّكَامِ بَعْدَ الصَّبْرِ الجَمِيلِ جِدًّا تَمَامًا نِهَائِيًّا,synthetic_escalation_artifact
657,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ fawran jiddan haalan tamaman mutlaqan,latin_in_front|synthetic_escalation_artifact|normalized_duplicate_of_source_rank_372
658,بِغَضِّ النَّظَرِ عَنِ الاِعْتِبَارَاتِ النَّفْسِيَّةِ العَابِرَةِ لِلأَسَفِ المُرِّ القَاتِلِ,synthetic_escalation_artifact
662,عَلَى مَدَى الأَجْيَالِ المُنْبَعِثَةِ مِنْ بَيْنِ الرُّكَامِ بَعْدَ الصَّبْرِ الجَمِيلِ جِدًّا تَمَامًا نِهَائِيًّا مُطْلَقًا,synthetic_escalation_artifact
665,بِمَا لَا يَدَعُ مَجَالاً لِلتَّبَاينِ المَنْطِقِيِّ,synthetic_escalation_artifact
671,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ fawran jiddan haalan tamaman mutlaqan nihaiyyan,latin_in_front|synthetic_escalation_artifact|normalized_duplicate_of_source_rank_372
672,بِغَضِّ النَّظَرِ عَنِ الاِعْتِبَارَاتِ النَّفْسِيَّةِ العَابِرَةِ لِلأَسَفِ المُرِّ القَاتِلِ الشَّدِيدِ,synthetic_escalation_artifact
