rank,front,normalized_front,en,fr,ur,definition_en,example_ar,example_en,root,related,front_token_count,front_calima_coverage,front_unanalyzed_tokens,example_token_count,example_calima_coverage,example_unanalyzed_tokens,flags,status
251,مِنْ نَاحِيَةٍ تَنْظِيرِيَّةٍ,من ناحية تنظيرية,theoretically / from a theoretical perspective,théoriquement / d'un point de vue théorique,نظریاتی لحاظ سے,"Phrase narrowing the discussion to the concepts and rules of a matter, rather than its practical application.",هَذَا صَحِيحٌ مِنْ نَاحِيَةٍ تَنْظِيرِيَّةٍ.,This is correct from a theoretical perspective.,— (multiword expression; no single lexical root),"نَظَرِيًّا, اِفْتِرَاضِيًّا",3,0.667,تنظيرية,5,0.800,تنظيرية,low_calima_front_coverage,explicit_review_required
288,مِنْ قُبَيْلِ الصُّدْفَةِ المَحْضَةِ,من قبيل الصدفة المحضة,by pure coincidence / purely accidental,par pure coïncidence / par pur hasard,محض اتفاقاً / بالکل اتفاقیہ,Emphatic version of 'min qubayl al-misadafa'. Asserts that an event had absolutely no prior planning or connection.,اِلْتَقَيْنَا مِنْ قُبَيْلِ الصُّدْفَةِ المَحْضَةِ.,We met by pure coincidence.,— (multiword expression; no single lexical root),"صُدْفَةً تَمَامًا, بِلَا تَرْتِيبٍ",4,0.750,المحضة,5,0.800,المحضة,low_calima_front_coverage,explicit_review_required
289,عَلَى نِطَاقٍ تَنْظِيرِيٍّ مَحْضٍ,على نطاق تنظيري محض,on a purely theoretical scale,sur un plan purement théorique,خالص نظریاتی سطح پر,Phrase emphasizing that the discussion is entirely academic and has no immediate practical application or testing.,نَدْرُسُ القَاعِدَةَ عَلَى نِطَاقٍ تَنْظِيرِيٍّ مَحْضٍ.,We study the rule on a purely theoretical scale.,— (multiword expression; no single lexical root),"فَلْسَفِيًّا, اِفْتِرَاضِيًّا",4,0.750,تنظيري,6,0.833,تنظيري,low_calima_front_coverage,explicit_review_required
327,عَلَى نِطَاقٍ تَوْعَوِيٍّ,على نطاق توعوي,on an awareness-raising scale / for public awareness,à l'échelle de la sensibilisation,آگاہی کی سطح پر,"Phrase describing actions or campaigns designed to inform the public about a specific issue (e.g., health, environment).",الحَمْلَةُ تَعْمَلُ عَلَى نِطَاقٍ تَوْعَوِيٍّ.,The campaign works on an awareness-raising scale.,— (multiword expression; no single lexical root),"لِلإِعْلامِ, لِلتَّثْقِيفِ",3,0.667,توعوي,5,0.800,توعوي,low_calima_front_coverage,explicit_review_required
339,مِنْ قُبَيْلِ المُصَادَفَةِ البَحْتَةِ,من قبيل المصادفة البحتة,by purely random coincidence / purely by chance,par pur hasard / par coïncidence pure et simple,محض اتفاقاً / بالکل اتفاقیہ,"Emphatic version of 'min qubayl al-misadafa'. Asserts that there was absolutely no prior plan, intent, or hidden connection.",رَأَيْتُهُ مِنْ قُبَيْلِ المُصَادَفَةِ البَحْتَةِ.,I saw him purely by chance.,— (multiword expression; no single lexical root),"صُدْفَةً تَمَامًا, بِلَا قَصْدٍ أَبَدًا",4,0.750,البحتة,5,0.800,البحتة,low_calima_front_coverage,explicit_review_required
424,مِنْ نَاحِيَةٍ اِجْتِمَاعِيَّةٍ أَنْتْرُوبُولُوجِيَّةٍ,من ناحية اجتماعية أنتروبولوجية,from a socio-anthropological perspective,d'un point de vue socio-anthropologique,سماجی اور بشریاتی (انسانی ارتقاء کے) لحاظ سے,"Academic phrase narrowing the discussion to the study of human societies, cultures, and their development.",هَذِهِ العَادَةُ هَامَّةٌ مِنْ نَاحِيَةٍ اِجْتِمَاعِيَّةٍ أَنْتْرُوبُولُوجِيَّةٍ.,This custom is important from a socio-anthropological perspective.,— (multiword expression; no single lexical root),"عِلْمِيًّا, لِدِرَاسَةِ الشُّعُوبِ",4,0.750,أنتروبولوجية,7,0.857,أنتروبولوجية,low_calima_front_coverage,explicit_review_required
451,مِنْ نَاحِيَةٍ اِفْتِصَادِيَّةٍ كُلِّيَّةٍ,من ناحية افتصادية كلية,from a macroeconomic perspective,d'un point de vue macroéconomique,میکرو اکنامک (بڑے پیمانے کے معاشی) لحاظ سے,"Phrase narrowing the discussion to large-scale economic factors like national income, inflation, and growth.",البَلَدُ بِخَيْرٍ مِنْ نَاحِيَةٍ اِفْتِصَادِيَّةٍ كُلِّيَّةٍ.,The country is fine from a macroeconomic perspective.,— (multiword expression; no single lexical root),"لِلاِقْتِصَادِ الكَبِيرِ, نَظْرَةٌ شَامِلَةٌ",4,0.750,افتصادية,6,0.833,افتصادية,low_calima_front_coverage,explicit_review_required
487,عَلَى نِطَاقٍ تَوْعَوِيٍّ اِجْتِمَاعِيٍّ,على نطاق توعوي اجتماعي,on a social awareness scale,à une échelle de sensibilisation sociale,سماجی آگاہی (بیداری) کی سطح پر,"Phrase describing efforts to educate a whole society about a specific problem like health, drugs, or rights.",الحَمْلَةُ تَعْمَلُ عَلَى نِطَاقٍ تَوْعَوِيٍّ اِجْتِمَاعِيٍّ.,The campaign works on a social awareness scale.,— (multiword expression; no single lexical root),"لِتَنْبِيهِ النَّاسِ, تَعْلِيمٌ جَمَاعِيٌّ",4,0.750,توعوي,6,0.833,توعوي,low_calima_front_coverage,explicit_review_required
522,بِغَرَضِ الاِسْتِمَالَةِ,بغرض الاستمالة,for the purpose of winning over / for attraction,à des fins de séduction / pour attirer,مائل کرنے (جیتنے) کی غرض سے,"Phrase used when an action is taken to convince someone to join a side, to like a product, or to gain their favor through kindness or persuasion.",تَكَلَّمَ بِلُطْفٍ بِغَرَضِ الاِسْتِمَالَةِ.,He spoke kindly for the purpose of winning over.,— (multiword expression; no single lexical root),"لِلاِقْنِاعِ, لِجَذْبِ النَّاسِ",2,0.500,الاستمالة,4,0.750,الاستمالة,low_calima_front_coverage,explicit_review_required
536,بِغَرَضِ الاِسْتِمَالَةِ الفِكْرِيَّةِ,بغرض الاستمالة الفكرية,for the purpose of intellectual winning over / conversion,à des fins de séduction intellectuelle / de conversion,فکری طور پر مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone to accept a new philosophy, religion, or political theory through reason.",كَتَبَ الكِتَابَ بِغَرَضِ الاِسْتِمَالَةِ الفِكْرِيَّةِ.,He wrote the book for the purpose of intellectual winning over.,— (multiword expression; no single lexical root),"لِلاِقْنِاعِ الثَّقَافِيِّ, لِتَغْيِيرِ الرَّأْيِ",3,0.667,الاستمالة,5,0.800,الاستمالة,low_calima_front_coverage,explicit_review_required
