"Front","Back"
"être","Translations:
EN: to be
AR: كَانَ
UR: ہونا

Definition:
(EN) To exist or live; to take place.

Example: Je suis très heureux de vous voir.

Translation: I am very happy to see you.

Root Word: Latin 'esse' / 'stare'

Synonyms: exister, subsister"
"de","Translations:
EN: of / from
AR: مِنْ / لِـ
UR: کا / سے

Definition:
(EN) Indicating possession, origin, or association.

Example: C'est le livre de Marie.

Translation: It is Marie's book.

Root Word: Latin 'de'

Synonyms: depuis, venant de"
"un","Translations:
EN: a / an / one
AR: وَاحِد / (indefinite)
UR: ایک

Definition:
(EN) The indefinite article (masculine singular) or the number one.

Example: J'ai un ami à Paris.

Translation: I have a friend in Paris.

Root Word: Latin 'unus'

Synonyms: unique, seul"
"et","Translations:
EN: and
AR: وَ
UR: اور

Definition:
(EN) Conjunction used to connect words, clauses, or sentences.

Example: Toi et moi.

Translation: You and I.

Root Word: Latin 'et'

Synonyms: ainsi que, plus"
"à","Translations:
EN: to / at / in
AR: إِلَى / فِي
UR: کو / میں / تک

Definition:
(EN) Preposition expressing direction, location, or time.

Example: Je vais à Lyon.

Translation: I am going to Lyon.

Root Word: Latin 'ad'

Synonyms: vers, chez"
"il","Translations:
EN: he / it
AR: هُوَ
UR: وہ

Definition:
(EN) Third-person singular masculine subject pronoun.

Example: Il mange une pomme.

Translation: He is eating an apple.

Root Word: Latin 'ille'

Synonyms: lui (disjunctive), ce"
"avoir","Translations:
EN: to have
AR: لَدَيْهِ / عِنْدَهُ
UR: پاس ہونا

Definition:
(EN) To possess, own, or hold.

Example: J'ai une voiture.

Translation: I have a car.

Root Word: Latin 'habere'

Synonyms: posséder, détenir"
"ne","Translations:
EN: not (part of negation)
AR: لَا / لَمْ
UR: نہ / نہیں

Definition:
(EN) First part of the French negation (usually followed by pas, plus, etc.).

Example: Je ne sais pas.

Translation: I do not know.

Root Word: Latin 'non'

Synonyms: aucunement, nullement"
"je","Translations:
EN: I
AR: أَنَا
UR: میں

Definition:
(EN) First-person singular subject pronoun.

Example: Je parle français.

Translation: I speak French.

Root Word: Latin 'ego'

Synonyms: moi (emphatic)"
"son","Translations:
EN: his / her / its / sound
AR: صَوْت / (possessive)
UR: آواز / اس کا

Definition:
(EN) Possessive adjective (masculine singular) or a noun meaning 'sound'.

Example: Son livre est ici.

Translation: His/Her book is here.

Root Word: Latin 'suum' (possessive) / 'sonus' (sound)

Synonyms: bruit, tonalité"
"que","Translations:
EN: that / what / than
AR: أَنَّ / مَاذَا
UR: کہ / کیا

Definition:
(EN) Relative pronoun or conjunction used to introduce clauses.

Example: Je pense que oui.

Translation: I think so (that yes).

Root Word: Latin 'quid' / 'quod'

Synonyms: lequel, dont"
"se","Translations:
EN: oneself / himself / herself
AR: نَفْسُهُ / (reflexive)
UR: اپنے آپ کو

Definition:
(EN) Reflexive pronoun used with pronominal verbs.

Example: Il se lave.

Translation: He is washing himself.

Root Word: Latin 'se'

Synonyms: soi, lui-même"
"qui","Translations:
EN: who / which / that
AR: مَنْ / الَّذِي
UR: جو / کون

Definition:
(EN) Relative pronoun (subject) or interrogative pronoun.

Example: L'homme qui court.

Translation: The man who is running.

Root Word: Latin 'qui'

Synonyms: lequel, quiconque"
"ce","Translations:
EN: this / that / it
AR: هَذَا / ذَلِكَ
UR: یہ / وہ

Definition:
(EN) Demonstrative adjective or pronoun.

Example: Ce livre est intéressant.

Translation: This book is interesting.

Root Word: Latin 'ecce' + 'hoc'

Synonyms: celui, ceci"
"dans","Translations:
EN: in / into
AR: فِي
UR: میں

Definition:
(EN) Preposition indicating position within space or time.

Example: Dans la boîte.

Translation: In the box.

Root Word: Latin 'de' + 'intus'

Synonyms: dedans, à l'intérieur de"
"en","Translations:
EN: in / of it / some
AR: فِي / مِنْهُ
UR: میں / اس کا

Definition:
(EN) Multi-functional preposition or pronoun often referring to a place or quantity.

Example: J'en veux.

Translation: I want some (of it).

Root Word: Latin 'in' / 'inde'

Synonyms: y, dedans"
"par","Translations:
EN: by / through
AR: بِوَاسِطَة / عَنْ طَرِيق
UR: کے ذریعے

Definition:
(EN) Preposition indicating the agent of an action or the means by which something is done.

Example: C'est fait par lui.

Translation: It is done by him.

Root Word: Latin 'per'

Synonyms: via, au moyen de"
"sur","Translations:
EN: on / upon / about
AR: عَلَى / فَوْقَ
UR: پر / اوپر

Definition:
(EN) Preposition indicating position above or contact with a surface.

Example: Le livre est sur la table.

Translation: The book is on the table.

Root Word: Latin 'super'

Synonyms: au-dessus de, concernant"
"pour","Translations:
EN: for / in order to
AR: لِأَجْل / لِـ
UR: کے لیے

Definition:
(EN) Preposition indicating purpose, destination, or recipient.

Example: C'est pour toi.

Translation: It is for you.

Root Word: Latin 'pro'

Synonyms: afin de, à destination de"
"plus","Translations:
EN: more / no more
AR: أَكْثَر / لَمْ يَعُد
UR: زیادہ / مزید نہیں

Definition:
(EN) Adverb used to express a greater quantity or the end of an action (with 'ne').

Example: Je veux plus de café.

Translation: I want more coffee.

Root Word: Latin 'plus'

Synonyms: davantage, encore"
"pas","Translations:
EN: not / step
AR: لَا / خُطْوَة
UR: نہیں / قدم

Definition:
(EN) Adverb used for negation (with 'ne') or a noun meaning a footstep.

Example: Je ne marche pas.

Translation: I am not walking.

Root Word: Latin 'passus'

Synonyms: non (negation), foulée (step)"
"avec","Translations:
EN: with
AR: مَعَ
UR: ساتھ

Definition:
(EN) Preposition indicating accompaniment, tool, or manner.

Example: Je viens avec toi.

Translation: I am coming with you.

Root Word: Latin 'apud' + 'hoc'

Synonyms: en compagnie de, au moyen de"
"tout","Translations:
EN: all / everything / every
AR: كُلّ / جَمِيع
UR: سب / تمام

Definition:
(EN) Adjective or pronoun referring to the whole of something.

Example: Tout le monde est là.

Translation: Everyone (all the world) is here.

Root Word: Latin 'totus'

Synonyms: l'ensemble, chaque"
"faire","Translations:
EN: to do / to make
AR: فَعَلَ / صَنَعَ
UR: کرنا

Definition:
(EN) Verb expressing an action, creation, or manufacture.

Example: Je fais mes devoirs.

Translation: I am doing my homework.

Root Word: Latin 'facere'

Synonyms: agir, fabriquer"
"me","Translations:
EN: me / myself
AR: نِي (object) / أَنَا
UR: مجھے / اپنے آپ کو

Definition:
(EN) First-person singular object pronoun (direct or indirect).

Example: Il me regarde.

Translation: He is looking at me.

Root Word: Latin 'me'

Synonyms: moi (disjunctive)"
"dire","Translations:
EN: to say / to tell
AR: قَالَ
UR: کہنا

Definition:
(EN) Verb used to express something in words.

Example: Dis-moi la vérité.

Translation: Tell me the truth.

Root Word: Latin 'dicere'

Synonyms: exprimer, raconter"
"pouvoir","Translations:
EN: to be able to / can / power
AR: اِسْتَطَاعَ / قُوَّة
UR: سکنا / طاقت

Definition:
(EN) Verb indicating ability or permission, or a noun meaning power.

Example: Je peux t'aider.

Translation: I can help you.

Root Word: Latin 'posse'

Synonyms: être capable de, puissance"
"on","Translations:
EN: one / we / they / people
AR: نَحْنُ / المَرْء
UR: ہم / لوگ

Definition:
(EN) Indefinite personal pronoun often used informally to mean 'we'.

Example: On y va?

Translation: Shall we go?

Root Word: Latin 'homo'

Synonyms: nous, les gens"
"mais","Translations:
EN: but
AR: لَكِنْ
UR: لیکن / مگر

Definition:
(EN) Conjunction used to introduce a contrasting statement.

Example: Je veux venir, mais je ne peux pas.

Translation: I want to come, but I cannot.

Root Word: Latin 'magis'

Synonyms: cependant, pourtant"
"nous","Translations:
EN: we / us
AR: نَحْنُ / نَا (object)
UR: ہم / ہمیں

Definition:
(EN) First-person plural subject or object pronoun.

Example: Nous sommes ici.

Translation: We are here.

Root Word: Latin 'nos'

Synonyms: (none)"
"y","Translations:
EN: there / to it / in it
AR: هُنَاكَ / فِيهِ
UR: وہاں / اس میں

Definition:
(EN) Adverbial pronoun referring to a place or an object of the preposition 'à'.

Example: J'y vais.

Translation: I am going there.

Root Word: Latin 'ibi'

Synonyms: là"
"elle","Translations:
EN: she / it (feminine)
AR: هِيَ
UR: وہ (مؤنث)

Definition:
(EN) Third-person singular feminine subject pronoun.

Example: Elle est très gentille.

Translation: She is very kind.

Root Word: Latin 'illa'

Synonyms: (none)"
