rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
201,REPAIR,يعود,returns; goes back,jʕˈuːd,y‘ohohd,Machine candidate omits the lexical short vowel and hint is unusable,/jaʕuːd/,yaʿūd
202,REPAIR,رأى,saw,rˈa.ʔaː,ra.ʔa,Normalize broad IPA and preserve hamza plus final vowel length,/raʔaː/,raʾā
203,REPAIR,حقيقة,truth; fact; reality,ħˈaqiːqˌa,haqayayqa,Machine hint is unusable; normalize standard MSA form,/ħaqiːqa/,ḥaqīqa
204,REPAIR,الله,Allah; God,ʔˈallaːh,ʔallah,Normalize broad citation IPA and preserve vowel length in the learner form,/ʔallaːh/,ʾAllāh
205,REPAIR,سعيد,happy; pleased,sˈaʕiːd,sa‘ayayd,Machine hint is unusable; normalize ʿayn and long vowel,/saʕiːd/,saʿīd
206,REPAIR,يظن,thinks; supposes,jðn,ydhn,Machine candidate omits lexical vowels and gemination and fails to mark emphatic ẓ,/jaðˤunn/,yaẓunn
207,REPAIR,فترة,period; interval,fˈatra.,fatra.,Remove machine punctuation artifact and normalize broad MSA IPA,/fatra/,fatra
208,REPAIR,رجال,men,rdʒˈaːl,ryal,Machine candidate omits the initial short vowel and hint is unusable,/ridʒaːl/,rijāl
209,REPAIR,نسوة,women; group of women,nˈiswa,nayayswa,Machine hint is unusable; normalize standard MSA form,/niswa/,niswa
210,REPAIR,أعمال,works; businesses; actions,ʔʕmˈaːl,ʔ‘mal,Machine candidate omits the initial short vowel; normalize ʿayn and vowel length,/ʔaʕmaːl/,ʾaʿmāl
211,REPAIR,مشكلة,problem; issue,mˈuʃkilˌa,mohohshkayayla,Machine hint is unusable; normalize standard MSA form,/muʃkila/,mushkila
212,REPAIR,حالة,state; condition; case,ħˈaːla,hala,Normalize broad IPA and preserve ḥ plus vowel length,/ħaːla/,ḥāla
213,REPAIR,حزب,party; political party; group,ħˈizb,hayayzb,Machine hint is unusable; normalize standard MSA form,/ħizb/,ḥizb
214,REPAIR,مليون,million,mallˈijjuːn,mallayayyyohohn,Machine candidate is lexically incorrect for مِلْيُون,/miljuːn/,milyūn
215,REPAIR,حصل,happened/occurred; obtained/got; collected (depending on form),ħˈas̪-al,has̪-al,Workbook gloss spans حَصَلَ and Form II حَصَّلَ; machine consonant quality is also wrong,/ħasˤala/ / /ħasˤsˤala/,ḥaṣala / ḥaṣṣala
216,REPAIR,يشعر,feels; senses,jʃʕr,ysh‘r,Machine candidate omits lexical short vowels,/jaʃʕur/,yashʿur
