front,frequency,reason
pollacks,0,no_kaikki_entry
disproportionner,0,no_kaikki_entry
ferlage,0,no_kaikki_entry
kneeboard,0,no_kaikki_entry
néréis,0,no_kaikki_entry
doulas,0,no_kaikki_entry
désoccultant,0,no_kaikki_entry
rapeurs,0,no_kaikki_entry
sérigraphiés,0,no_kaikki_entry
conneau,0,no_kaikki_entry
historier,0,no_kaikki_entry
attentionner,0,no_kaikki_entry
psychomètre,0,no_kaikki_entry
cryogénisée,0,no_kaikki_entry
mutiné,0,lexique_kaikki_pos_mismatch
co-produit,0,no_kaikki_entry
mazzinien,0,lexique_kaikki_pos_mismatch
vilipendé,0,lexique_kaikki_pos_mismatch
carnatique,0,no_kaikki_entry
poissons-clown,0,no_kaikki_entry
relocalisé,0,lexique_kaikki_pos_mismatch
neuroprotection,0,no_kaikki_entry
susindiquée,0,no_kaikki_entry
enquêté,0,lexique_kaikki_pos_mismatch
révolutionnariste,0,no_kaikki_entry
métaphoriser,0,no_kaikki_entry
naitrais,0,lexique_kaikki_pos_mismatch
pogotte,0,no_kaikki_entry
inuksuk,0,no_kaikki_entry
cinéphilique,0,no_kaikki_entry
khédival,0,no_kaikki_entry
nightclub,0,no_kaikki_entry
cytochrome,0,no_kaikki_entry
vingt,0,lexique_kaikki_pos_mismatch
téléfaxer,0,no_kaikki_entry
poufiasse,0,no_kaikki_entry
wushu,0,no_kaikki_entry
confusionné,0,no_kaikki_entry
waus,0,no_kaikki_entry
overclocker,0,no_kaikki_entry
anti-féministe,0,no_kaikki_entry
hydro-électrique,0.035,no_safe_learner_meaning
trabe,0,no_kaikki_entry
lacanien,0,no_kaikki_entry
cara,0,lexique_kaikki_pos_mismatch
trottinement,0,no_kaikki_entry
auroral,0,no_kaikki_entry
rééducateur,0,no_kaikki_entry
aye-aye,0,no_kaikki_entry
glapissant,0,lexique_kaikki_pos_mismatch
réassigner,0,no_kaikki_entry
enrobé,0,lexique_kaikki_pos_mismatch
trésorier-payeur,0,no_kaikki_entry
jogger,0,no_kaikki_entry
cato,0,no_kaikki_entry
choises,0,no_kaikki_entry
redater,0,no_kaikki_entry
tweetes,0,lexique_kaikki_pos_mismatch
apparaitrait,0,lexique_kaikki_pos_mismatch
denter,0,no_kaikki_entry
abusé,0,lexique_kaikki_pos_mismatch
désenliser,0,no_kaikki_entry
national-socialistes,0,no_kaikki_entry
denti,0,no_kaikki_entry
charreton,0,no_kaikki_entry
sheltie,0,no_kaikki_entry
annulé,0,lexique_kaikki_pos_mismatch
mûe,0,no_kaikki_entry
éclatage,0,no_kaikki_entry
cacheton,0,no_kaikki_entry
regambade,0,no_kaikki_entry
attrapoire,0,no_kaikki_entry
plaidable,0,no_kaikki_entry
titularisé,0,lexique_kaikki_pos_mismatch
pétro-dollar,0,no_kaikki_entry
rétrosternal,0,no_kaikki_entry
jamme,0,no_kaikki_entry
ostéo-cartilagineuse,0,no_kaikki_entry
désactivée,0,lexique_kaikki_pos_mismatch
né,0,lexique_kaikki_pos_mismatch
comice,0.047,no_safe_learner_meaning
damage,0,no_kaikki_entry
pilonneur,0,no_kaikki_entry
croqueur,0,no_kaikki_entry
blacklistée,0,no_kaikki_entry
pneumonectomie,0,no_kaikki_entry
vidéo-clip,0,no_kaikki_entry
planqué,0,lexique_kaikki_pos_mismatch
gentilhommes,0.051,no_safe_learner_meaning
contremaitres,0.028,no_safe_learner_meaning
twerkes,0,no_kaikki_entry
chisel,0,no_kaikki_entry
ethnolinguistique,0,lexique_kaikki_pos_mismatch
bran,0,no_kaikki_entry
collimater,0,no_kaikki_entry
chirai,0,no_kaikki_entry
priorisation,0,no_kaikki_entry
spumeux,0,no_kaikki_entry
millefeuille,0.098,no_safe_learner_meaning
charactères,0,no_kaikki_entry
anarcho-syndicalisme,0.003,no_safe_learner_meaning
demi-vérité,0,no_kaikki_entry
sous-employer,0,no_kaikki_entry
autofécondé,0,no_kaikki_entry
extroverti,0.009000000000000001,no_safe_learner_meaning
érodé,0,lexique_kaikki_pos_mismatch
inspiré,0,lexique_kaikki_pos_mismatch
tragopan,0,no_kaikki_entry
andes,0,lexique_kaikki_pos_mismatch
crissants,0,no_kaikki_entry
bassette,0,lexique_kaikki_pos_mismatch
recoffre,0,no_kaikki_entry
styloïde,0,lexique_kaikki_pos_mismatch
kick,0,no_kaikki_entry
durcisseur,0,lexique_kaikki_pos_mismatch
humidié,0,no_kaikki_entry
rapsodie,0.009,no_safe_learner_meaning
jauni,0,lexique_kaikki_pos_mismatch
lu,0,lexique_kaikki_pos_mismatch
colostomie,0,no_kaikki_entry
broque,0,no_kaikki_entry
récidivant,0,lexique_kaikki_pos_mismatch
avante,0,no_kaikki_entry
trollé,0,lexique_kaikki_pos_mismatch
pommader,0,no_kaikki_entry
buguer,0,lexique_kaikki_pos_mismatch
hémiptère,0,no_kaikki_entry
retapisser,0,no_kaikki_entry
lengua,0,no_kaikki_entry
dessouchage,0,no_kaikki_entry
accèdera,0,lexique_kaikki_pos_mismatch
reboulonner,0,no_kaikki_entry
demi-queue,0,no_kaikki_entry
coudé,0,lexique_kaikki_pos_mismatch
highland,0,no_kaikki_entry
surnageant,0,lexique_kaikki_pos_mismatch
foil,0,no_kaikki_entry
aliné,0,no_kaikki_entry
soûlant,0,lexique_kaikki_pos_mismatch
intersubjectif,0,no_kaikki_entry
encourir,1.5229999999999997,no_safe_learner_meaning
bléomycine,0,no_kaikki_entry
foiron,0,no_kaikki_entry
anti-douleur,0,no_kaikki_entry
qqch,0.063,no_safe_learner_meaning
charpenté,0,lexique_kaikki_pos_mismatch
déb,0,no_kaikki_entry
basocellulaire,0,lexique_kaikki_pos_mismatch
postillonneur,0,no_kaikki_entry
recongeler,0,no_kaikki_entry
anter,0,no_kaikki_entry
clomifène,0,no_kaikki_entry
exsanguino-transfusion,0,no_kaikki_entry
réemprunter,0,no_kaikki_entry
renumériser,0,no_kaikki_entry
larguage,0.06,no_safe_learner_meaning
chuchottements,0,no_kaikki_entry
code-clé,0,no_kaikki_entry
colombina,0,no_kaikki_entry
égalitariste,0,lexique_kaikki_pos_mismatch
sous-équipé,0,no_kaikki_entry
lèche-culs,0.123,no_safe_learner_meaning
picoleur,0,no_kaikki_entry
tétraodon,0,no_kaikki_entry
charybde,0,lexique_kaikki_pos_mismatch
congrégationaliste,0,no_kaikki_entry
dénudé,0,lexique_kaikki_pos_mismatch
gratouiller,0.225,no_safe_learner_meaning
accélèreront,0,lexique_kaikki_pos_mismatch
dactylographié,0,lexique_kaikki_pos_mismatch
déthéiné,0,no_kaikki_entry
night-club,0,no_kaikki_entry
transformiste,0,lexique_kaikki_pos_mismatch
trainerez,0,lexique_kaikki_pos_mismatch
tab,0,no_kaikki_entry
refouiller,0,no_kaikki_entry
bonisseur,0,no_kaikki_entry
anglo-portugais,0,no_kaikki_entry
tisonné,0,lexique_kaikki_pos_mismatch
highway,0,no_kaikki_entry
siens,0.025,no_safe_learner_meaning
psychosexuel,0,no_kaikki_entry
boulghour,0,no_kaikki_entry
redoser,0,no_kaikki_entry
malnutri,0,no_kaikki_entry
damassé,0,lexique_kaikki_pos_mismatch
toffee,0,no_kaikki_entry
affligé,0,lexique_kaikki_pos_mismatch
désaxé,0,lexique_kaikki_pos_mismatch
perceptuel,0,no_kaikki_entry
schlinguer,0.5880000000000001,no_safe_learner_meaning
rabouin,0,no_kaikki_entry
marshmallow,0,no_kaikki_entry
voulu,0,lexique_kaikki_pos_mismatch
anaplasique,0,no_kaikki_entry
caplan,0,no_kaikki_entry
tsarevna,0,no_kaikki_entry
bombinette,0,no_kaikki_entry
cirrus,0,no_kaikki_entry
téléporteurs,0.446,no_safe_learner_meaning
trimballer,2.9279999999999995,no_safe_learner_meaning
briefer,0,no_kaikki_entry
murin,0,lexique_kaikki_pos_mismatch
rhabillage,0,no_kaikki_entry
batterais,0,lexique_kaikki_pos_mismatch
massasauga,0,no_kaikki_entry
pogneront,0,lexique_kaikki_pos_mismatch
constitué,0,lexique_kaikki_pos_mismatch
tyrrhénienne,0,lexique_kaikki_pos_mismatch
rabibochage,0,no_kaikki_entry
affronté,0,lexique_kaikki_pos_mismatch
siphonnement,0,no_kaikki_entry
arc-bouter,0.043,no_safe_learner_meaning
hammerless,0,no_kaikki_entry
syllabus,0,no_kaikki_entry
chanstiquer,0,no_kaikki_entry
black-bass,0,no_kaikki_entry
redéménager,0,no_kaikki_entry
méchaniques,0,no_kaikki_entry
emboîtage,0,no_kaikki_entry
dorsale,0,lexique_kaikki_pos_mismatch
lépidoptériste,0,no_kaikki_entry
débauché,0,lexique_kaikki_pos_mismatch
sous-liste,0,no_kaikki_entry
surpuissance,0,no_kaikki_entry
buck,0,no_kaikki_entry
refoutre,0,no_kaikki_entry
retransformer,0,no_kaikki_entry
ajouté,0,lexique_kaikki_pos_mismatch
histocompatible,0,no_kaikki_entry
immunologue,0,no_kaikki_entry
bardolino,0,no_kaikki_entry
psychochirurgien,0,no_kaikki_entry
cloueur,0,no_kaikki_entry
checklist,0,no_kaikki_entry
aspartame,0,no_kaikki_entry
ripping,0,no_kaikki_entry
alya,0,no_kaikki_entry
shogi,0,no_kaikki_entry
bonnir,0,no_kaikki_entry
ex-prêtre,0,no_kaikki_entry
hologrammatique,0,lexique_kaikki_pos_mismatch
effe,0.013,no_safe_learner_meaning
synovial,0,no_kaikki_entry
soldé,0,lexique_kaikki_pos_mismatch
détesté,0,lexique_kaikki_pos_mismatch
chiricahua,0,no_kaikki_entry
emmêlé,0,lexique_kaikki_pos_mismatch
statine,0,no_kaikki_entry
peyotl,0,no_kaikki_entry
tamisier,0,no_kaikki_entry
arrêtables,0.003,no_safe_learner_meaning
patriarchie,0,no_kaikki_entry
kina,0,no_kaikki_entry
