rank,status,note,proposed_target,proposed_english,proposed_pos
551,REPAIR,"سوچ is both the noun thought/thinking and the verb stem/imperative 'think!'. 'Content word' is not a POS.",سوچ,"thought; thinking; think! (stem/imperative of سوچنا)",noun / verb stem / imperative
552,REPAIR,"دین means religion/faith. Adjective POS is not needed for the standard learner entry.",دین,"religion; faith",noun
553,PASS,,,,
554,PASS,,,,
555,REPAIR,"سکا is a masculine singular perfect/modal form meaning could/was able to. Noun POS is incorrect.",سکا,"could; was able to (masculine singular form)",verb form
556,REPAIR,"ملی is commonly the feminine singular perfect form of ملنا meaning got/received/met, while مِلّی/millī can mean national in a different reading. Noun POS is incorrect.",ملی,"got; received; met (feminine singular form of ملنا); national (different vocalization/context)",verb form / adjective
557,REPAIR,"برآمد is both a noun meaning export and a participial/adjectival form meaning recovered/retrieved. Adjective-only POS is incomplete.",برآمد,"export; exported; recovered; retrieved",noun / adjective-participle
558,REPAIR,"شکل centrally means shape/form/appearance and also face. The current entry omits shape/form.",شکل,"shape; form; appearance; look; face",noun
559,REPAIR,"دباؤ is the noun pressure/stress/influence and the same spelling can be the imperative 'press!' from دبانا. The current noun/verb POS is plausible but the verb meaning is missing.",دباؤ,"pressure; stress; influence; press! (imperative, context-dependent)",noun / imperative verb form
560,REPAIR,"رابطہ means contact/connection/link/relation. 'Colon (:)' is spurious dictionary contamination for this Urdu learner entry.",رابطہ,"contact; connection; link; relation",noun
561,PASS,,,,
562,PASS,,,,
563,PASS,,,,
564,PASS,,,,
565,PASS,,,,
566,PASS,,,,
567,REPAIR,"منظور means approved/accepted/granted/sanctioned and is also a common given name. 'Considered; desired' are not appropriate core glosses.",منظور,"approved; accepted; granted; sanctioned; Manzoor (given name, context-dependent)",adjective / name
568,PASS,,,,
569,PASS,,,,
570,REPAIR,"قبول centrally means acceptance/approval/assent and is used in قبول کرنا 'to accept'. 'Compliance' is secondary and should not lead the entry.",قبول,"acceptance; approval; assent; accepted (in compounds/context)",noun / adjective element
571,REPAIR,"نیچے means below/under/down and functions as a locative adverb/postpositional element. 'Closed-class' is too vague.",نیچے,"below; under; down; underneath",locative adverb / postpositional element
572,PASS,,,,
573,REPAIR,"محض means merely/only/purely and functions as an adverb/particle. 'Closed-class' is too vague.",محض,"merely; only; purely",adverb / particle
574,REPAIR,"روزہ means a fast, especially the Islamic religious fast. 'Daily; starvation; the month of Ramadan' is incorrect/misleading; Ramadan is رمضان.",روزہ,"fast; religious fast; fasting observance",noun
575,REPAIR,"مریض is both a noun 'patient/sick person' and an adjective 'ill/sick'. Noun-only POS is incomplete.",مریض,"patient; sick person; ill; sick; ailing",noun / adjective
576,PASS,,,,
577,REPAIR,"گھنٹے is an inflected form of گھنٹہ and must explicitly give hour/hours rather than only inflection labels.",گھنٹے,"hours; hour (oblique/vocative singular, context-dependent)",noun
578,PASS,,,,
579,REPAIR,"رن is the English loan noun 'run', especially in cricket/sports. 'Content word' is not a POS.",رن,"run (especially in cricket/sports)",noun
580,PASS,,,,
581,PASS,,,,
582,REPAIR,"تحریر centrally means writing/text/composition. 'Manumission' is an Arabic-derived specialized sense and is misleading in a general Urdu learner entry.",تحریر,"writing; text; composition; written piece; correspondence",noun
583,PASS,,,,
584,REPAIR,"سچ is the noun truth and also commonly functions as 'true' in predicative/adjectival use. Noun-only treatment is incomplete.",سچ,"truth; true",noun / adjective
585,PASS,,,,
586,PASS,,,,
587,PASS,,,,
588,PASS,,,,
589,PASS,,,,
590,PASS,,,,
591,REPAIR,"مسجد means mosque/place of Muslim prayer. 'Synagogue' is incorrect and must be removed.",مسجد,"mosque; Muslim prayer hall/place of prayer",noun
592,REPAIR,"بچہ centrally means child/kid/young one. 'Stupid' is not a normal direct meaning and should not lead or appear unqualified.",بچہ,"child; kid; young one; offspring",noun
593,REPAIR,"اعتماد is a noun meaning trust/confidence/reliance/belief. Adverb POS is incorrect.",اعتماد,"trust; confidence; reliance; belief",noun
594,PASS,,,,
595,PASS,,,,
596,PASS,,,,
597,REPAIR,"اپ here represents the English loan 'up' and can function as a loan/prefix element in compounds. 'Content word' is not a POS.",اپ,"up (English loan/transliteration); up-/upgrade-type compound element",loanword / prefix element
598,PASS,,,,
599,PASS,,,,
600,REPAIR,"خواجہ is a title/noun meaning master/lord/dignitary and a common honorific/name element. 'Eunuch' is not the direct standalone meaning; that sense belongs to compounds such as خواجہ سرا.",خواجہ,"Khwaja; master; lord; dignitary; honorific/title",noun / title / name
