rank,target,english,level,ipa_candidate,learner_hint_candidate,source_sha256
1,مجھے کتاب چاہیے۔,I need the book.,A,mˌʊɟʰeː kɪtˈaːb cˈaːhjeː,mohohgyʰay kayaytab cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
2,مجھے کتاب نہیں چاہیے۔,I don't need the book.,B,mˌʊɟʰeː kɪtˈaːb nahˈiːn cˈaːhjeː,mohohgyʰay kayaytab nahayayn cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
3,کیا آپ کو کتاب چاہیے؟,Do you need the book?,B,kjˈaː ˌaːp kˈoː kɪtˈaːb cˈaːhjeː,kya ap koh kayaytab cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
4,ہمیں کتاب چاہیے۔,We need the book.,A,hˈʌmẽː kɪtˈaːb cˈaːhjeː,hʌmẽ kayaytab cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
5,کتاب کہاں ہے؟,Where is the book?,A,kɪtˈaːb kˈʌhãː hɛ,kayaytab kʌhã hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
6,کیا کتاب یہاں ہے؟,Is the book here?,A,kjˈaː kɪtˈaːb jˈʌhãː hɛ,kya kayaytab yʌhã hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
7,براہِ کرم کتاب لے آئیے۔,Please bring the book.,A,bˌəraːhˈeː kˈʌrəm kɪtˈaːb lˈeː ˈaːjeː,bohohhrahay kʌrohohhm kayaytab lay ayay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
8,براہِ کرم مجھے کتاب دیجیے۔,Please give me the book.,B,bˌəraːhˈeː kˈʌrəm mˌʊɟʰeː kɪtˈaːb diɟˈiːeː,bohohhrahay kʌrohohhm mohohgyʰay kayaytab dayaygyayayay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
9,میرے پاس کتاب ہے۔,I have the book.,A,mˈeːreː pˈaːs kɪtˈaːb hɛ,mayray pas kayaytab hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
10,کیا آپ کے پاس کتاب ہے؟,Do you have the book?,B,kjˈaː ˌaːp keː pˈaːs kɪtˈaːb hɛ,kya ap kay pas kayaytab hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
11,مجھے قلم چاہیے۔,I need the pen.,A,mˌʊɟʰeː qˈʌləm cˈaːhjeː,mohohgyʰay qʌlohohhm cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
12,مجھے قلم نہیں چاہیے۔,I don't need the pen.,B,mˌʊɟʰeː qˈʌləm nahˈiːn cˈaːhjeː,mohohgyʰay qʌlohohhm nahayayn cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
