rank,status,note,proposed_target,proposed_english
751,PASS,,,
752,REPAIR,"French typography requires a space before the question mark.",Devons-nous nous lever tôt demain matin ?,Do we have to get up early tomorrow morning?
753,PASS,,,
754,PASS,,,
755,REPAIR,"Que dis-tu de... means 'How about...?', not specifically 'Do you feel like...'.",Que dis-tu de sortir faire une promenade ?,How about going out for a walk?
756,PASS,,,
757,PASS,,,
758,PASS,,,
759,PASS,,,
760,REPAIR,"Standard punctuation requires a comma before the c'est clause.","Tout ce que je peux faire, c'est faire de mon mieux.",All I can do is do my best.
761,REPAIR,"me nourrir means feed/support myself, not specifically buy food.","Tout ce dont j'ai besoin, c'est d'assez d'argent pour me nourrir.",All I need is enough money to feed myself.
762,REPAIR,"English adds 'just', absent from French.","Tout ce dont j'ai besoin, c'est d'un peu plus de temps.",All I need is a little more time.
763,REPAIR,"le faire means 'do it', not 'do that'.","Tout ce que je veux, c'est une autre chance de le faire.",All I want is another chance to do it.
764,PASS,,,
765,PASS,,,
766,PASS,,,
767,PASS,,,
768,PASS,,,
769,REPAIR,"In standard French after Tout ce que tu as à faire, c'est, the infinitive does not take de.","Tout ce que tu as à faire, c'est appuyer sur ce bouton.",All you have to do is push this button.
770,REPAIR,"In standard French after c'est here, remove de before the infinitive.","Tout ce que tu as à faire, c'est nous rejoindre.",All you have to do is join us.
771,REPAIR,"In standard French after c'est here, remove de before the infinitive.","Tout ce que tu as à faire, c'est la rencontrer.",All you have to do is meet her.
772,REPAIR,"In standard French after c'est here, remove de; faire de ton mieux directly means do your best.","Tout ce que tu as à faire, c'est faire de ton mieux.",All you have to do is do your best.
773,REPAIR,"In standard French after c'est here, remove de before the infinitive.","Tout ce que tu as à faire, c'est laver les assiettes.",All you have to do is wash the dishes.
774,REPAIR,"Remove nonstandard de after c'est; noir sur blanc means explicitly/in writing, which English currently drops.","Tout ce que vous avez à faire, c'est l'écrire noir sur blanc.",All you have to do is put it in writing.
775,REPAIR,"vous faire confiance is ambiguous between trusting yourselves and one another; make reciprocal meaning explicit for learners.","Tout ce que vous avez à faire, c'est vous faire confiance les uns aux autres.",All you need to do is trust each other.
776,REPAIR,"franchement means frankly/openly; English 'frank enough' adds an 'enough' construction not present in French.",Les Américains disent franchement ce qu'ils pensent.,Americans openly say what they think.
777,PASS,,,
778,PASS,,,
779,PASS,,,
780,PASS,,,
781,PASS,,,
782,PASS,,,
783,PASS,,,
784,PASS,,,
785,PASS,,,
786,PASS,,,
787,PASS,,,
788,PASS,,,
789,PASS,,,
790,PASS,,,
791,PASS,,,
792,PASS,,,
793,PASS,,,
794,REPAIR,"French is an if-clause ('If you hurry...'), while English turns it into an imperative coordination.",Si tu te dépêches tu peux encore attraper ton train.,If you hurry, you can still catch your train.
795,PASS,,,
796,REPAIR,"Direct learner translation is 'I really appreciate your help'; English 'I am much obliged' is unnecessarily formal/indirect.",J'apprécie beaucoup votre aide.,I really appreciate your help.
797,PASS,,,
798,PASS,,,
799,PASS,,,
800,PASS,,,
