rank,status,note,proposed_target,proposed_english,proposed_pos
751,PASS,,,,
752,PASS,,,,
753,PASS,,,,
754,REPAIR,"Obliger centrally means oblige/require/compel/force. 'To help/aid' is an older politeness/favor sense, and 'have to' is usually expressed through être obligé de rather than bare obliger.",obliger,to oblige; to require; to compel; to force; to do a favor for (older/polite use); to have to (être obligé de),verb
755,PASS,,,,
756,PASS,,,,
757,PASS,,,,
758,PASS,,,,
759,PASS,,,,
760,PASS,,,,
761,REPAIR,Ordinary remark/state sense omitted.,,to notice; to observe; to remark/state,
762,PASS,,,,
763,PASS,,,,
764,PASS,,,,
765,PASS,,,,
766,PASS,,,,
767,PASS,,,,
768,REPAIR,"Charger has core everyday meanings load and charge (including a battery/device), which are missing or narrowed to a firearm. It can also entrust/assign in constructions.",charger,to load; to charge; to charge a battery/device; to load a firearm; to entrust/assign; to overact (context-dependent),verb
769,REPAIR,Or is both the noun gold and the conjunction/discourse connector 'now/yet/however/whereas'. Conjunction POS is listed but no conjunction meaning is provided.,or,gold; now; yet; however; whereas (formal/written connector),noun / conjunction
770,REPAIR,Blague simply means joke/prank; 'sly joke' is unnecessarily narrow.,blague,joke; prank,noun
771,REPAIR,Étrange means strange/odd/unusual. 'Foreign' is not the normal modern learner meaning; that is étranger/étrangère.,étrange,strange; odd; unusual,adjective
772,REPAIR,"Dépêcher means dispatch/send, but its overwhelmingly common learner use is se dépêcher = hurry. That reflexive construction is missing.",dépêcher,to dispatch; to send; to hurry (se dépêcher),verb
773,PASS,,,,
774,PASS,,,,
775,REPAIR,Chaud means hot as well as warm; omitting 'hot' is a basic learner error.,chaud,"hot; warm; heat/warmth (noun use, context-dependent)",adjective / noun
776,REPAIR,Parole centrally means speech/word and also one's word/promise; in the plural paroles means words/lyrics. The current 'swear to God!' gloss is not an appropriate core definition.,parole,word; speech; one's word/promise; right to speak; words/lyrics (plural),noun
777,REPAIR,Parier means bet/wager. The 'mate/couple' sense is obsolete/rare and should not lead a modern learner entry.,parier,to bet; to wager,verb
778,PASS,,,,
779,PASS,,,,
780,PASS,,,,
781,PASS,,,,
782,PASS,,,,
783,REPAIR,Plusieurs functions both as an indefinite determiner and independently as a pronoun ('several [of them]'). Adjective-only POS is incomplete.,plusieurs,several; several of them/people/things,indefinite determiner / pronoun
784,PASS,,,,
785,PASS,,,,
786,PASS,,,,
787,PASS,,,,
788,REPAIR,"The surname is irrelevant. But means goal/aim/objective/purpose and, in sports, a goal; those core meanings should be cleanly presented.",but,goal; aim; objective; purpose,noun
789,PASS,,,,
790,PASS,,,,
791,REPAIR,"Signe is the noun sign/gesture/indication, but the same common spelling is also a finite/imperative form of signer ('signs; sign!').",signe,"sign; gesture; indication; signs; sign! (forms of signer, context-dependent)",noun / finite verb form / imperative form
792,PASS,,,,
793,PASS,,,,
794,REPAIR,'Draft constitution' is an overly specific dictionary artifact. Projet should teach project/plan/proposal/draft.,projet,project; plan; proposal; draft,noun
795,PASS,,,,
796,PASS,,,,
797,PASS,,,,
798,REPAIR,Libérer means release and also free/liberate; the current one-word gloss is unnecessarily narrow.,libérer,to free; to release; to liberate,verb
799,REPAIR,Pute is vulgar/offensive. It means prostitute/whore and is also used as an insult or intensifier; register must be explicit rather than presenting misogynistic English slurs as neutral synonyms.,pute,prostitute; whore; insulting term for a woman; fucking (intensifier) — vulgar/offensive,noun / intensifier (vulgar/offensive)
800,PASS,,,,
