rank,level,target,english,attribution,words,contributor
1,A,مجھے کتاب چاہیے۔,I need the book.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
2,B,مجھے کتاب نہیں چاہیے۔,I don't need the book.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
3,B,کیا آپ کو کتاب چاہیے؟,Do you need the book?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
4,A,ہمیں کتاب چاہیے۔,We need the book.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
5,A,کتاب کہاں ہے؟,Where is the book?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
6,A,کیا کتاب یہاں ہے؟,Is the book here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
7,A,براہِ کرم کتاب لے آئیے۔,Please bring the book.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
8,B,براہِ کرم مجھے کتاب دیجیے۔,Please give me the book.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
9,A,میرے پاس کتاب ہے۔,I have the book.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
10,B,کیا آپ کے پاس کتاب ہے؟,Do you have the book?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
11,A,مجھے قلم چاہیے۔,I need the pen.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
12,B,مجھے قلم نہیں چاہیے۔,I don't need the pen.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
13,B,کیا آپ کو قلم چاہیے؟,Do you need the pen?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
14,A,ہمیں قلم چاہیے۔,We need the pen.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
15,A,قلم کہاں ہے؟,Where is the pen?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
16,A,کیا قلم یہاں ہے؟,Is the pen here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
17,A,براہِ کرم قلم لے آئیے۔,Please bring the pen.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
18,B,براہِ کرم مجھے قلم دیجیے۔,Please give me the pen.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
19,A,میرے پاس قلم ہے۔,I have the pen.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
20,B,کیا آپ کے پاس قلم ہے؟,Do you have the pen?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
21,A,مجھے پنسل چاہیے۔,I need the pencil.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
22,B,مجھے پنسل نہیں چاہیے۔,I don't need the pencil.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
23,B,کیا آپ کو پنسل چاہیے؟,Do you need the pencil?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
24,A,ہمیں پنسل چاہیے۔,We need the pencil.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
25,A,پنسل کہاں ہے؟,Where is the pencil?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
26,A,کیا پنسل یہاں ہے؟,Is the pencil here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
27,A,براہِ کرم پنسل لے آئیے۔,Please bring the pencil.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
28,B,براہِ کرم مجھے پنسل دیجیے۔,Please give me the pencil.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
29,A,میرے پاس پنسل ہے۔,I have the pencil.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
30,B,کیا آپ کے پاس پنسل ہے؟,Do you have the pencil?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
31,A,مجھے کاپی چاہیے۔,I need the notebook.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
32,B,مجھے کاپی نہیں چاہیے۔,I don't need the notebook.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
33,B,کیا آپ کو کاپی چاہیے؟,Do you need the notebook?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
34,A,ہمیں کاپی چاہیے۔,We need the notebook.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
35,A,کاپی کہاں ہے؟,Where is the notebook?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
36,A,کیا کاپی یہاں ہے؟,Is the notebook here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
37,A,براہِ کرم کاپی لے آئیے۔,Please bring the notebook.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
38,B,براہِ کرم مجھے کاپی دیجیے۔,Please give me the notebook.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
39,A,میرے پاس کاپی ہے۔,I have the notebook.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
40,B,کیا آپ کے پاس کاپی ہے؟,Do you have the notebook?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
41,A,مجھے لغت چاہیے۔,I need the dictionary.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
42,B,مجھے لغت نہیں چاہیے۔,I don't need the dictionary.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
43,B,کیا آپ کو لغت چاہیے؟,Do you need the dictionary?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
44,A,ہمیں لغت چاہیے۔,We need the dictionary.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
