rank,front,meaning,pos,frequency,cle_wordnet,cle_closed_class,readurdu_entry,kaikki_entry,semantic_source,source,legacy_crosscheck,kaikki_crosscheck,freedict_crosscheck,meaning_selection
1,کے,"of; belonging to (genitive, masculine plural/oblique)",particle,743949,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,oblique/vocative masculine singular; direct/oblique/vocative masculine plural,,explicit_high_risk_review
2,میں,I; in; into (depending on context),postp|pron,582882,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"in; between, among",,explicit_high_risk_review
3,کی,"of; belonging to (genitive, feminine singular)",particle,575545,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,feminine of کا (kā),,explicit_high_risk_review
4,ہے,is; is/exists (third-person singular present of ہونا),particle|verb,466908,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"vocative particle: O!; third-person singular present indicative of ہونا (honā, “to be”)",,explicit_high_risk_review
5,اور,and; more; other,adv|conj|noun,413788,True,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,and; more; other,,explicit_high_risk_review
6,سے,from; with; by; than,postp,368155,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"indicates means or agency; indicates passage of time; indicates origin, beginning",,explicit_high_risk_review
7,کا,"of; belonging to (genitive, masculine singular)",particle,306103,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"part of, from; worth, useful; made of, consisting of",,explicit_high_risk_review
8,کو,to; for; marks dative/accusative objects,postp,281922,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"in, at the time of; marks the dative case: to",,explicit_high_risk_review
9,نے,ergative postposition used with many perfective transitive clauses,adv|postp,254385,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,no; The marker of the ergative case with perfective-aspect transitive verbs,,explicit_high_risk_review
10,اس,this/that; him/her/it (oblique singular),det|pron,244017,True,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"that; this; third-person singular objective personal pronoun: him, (oblique case) her, (oblique case) it",,explicit_high_risk_review
11,کہ,that; saying/having said (depending on construction),conj|particle|pron,237419,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,or; that,,explicit_high_risk_review
12,ہیں,are (plural/honorific present of ہونا),intj|verb,217948,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"what! why! oh!; first/third-person plural present indicative of ہونا (honā): (we, they) are",,explicit_high_risk_review
13,پر,on; at; upon; but/yet (depending on use),adj|conj|noun|postp,207921,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,at; on; but,,explicit_high_risk_review
14,کر,do; having done; verb stem/conjunctive form of کرنا,verb,173407,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,stem; second-person singular present imperative,,explicit_high_risk_review
15,ہو,be; become (form of ہونا),verb,145669,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,stem; second-person plural present indicative; second-person plural present subjunctive,,explicit_high_risk_review
16,بھی,also; too; even,adv,140157,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"too, also, as well",,explicit_high_risk_review
17,ایک,one; a; an,adj|num,129851,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,one,,explicit_high_risk_review
18,یہ,this; these; he/she/it/they (proximal),det|pron,128103,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"these (direct case); this, these (proximal demonstrative determiner); this; he; she; it; they (proximal third person personal pronoun)",,explicit_high_risk_review
19,نہیں,no; not,adv|particle,115341,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"don't; no, not, nay (indicative negation)",,explicit_high_risk_review
20,ان,"those; them; these (oblique plural, depending on context)",det|prefix|pron|suffix,110463,True,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,that; this; forms feminine equivalents,,explicit_high_risk_review
21,کیا,what?; did/done (depending on context),particle|pron|verb,108414,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,initial interrogative particle; masculine singular perfect indicative; masculine singular perfective participle,,explicit_high_risk_review
22,تو,then; so; you (informal),conj|pron,88137,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,so; then,,explicit_high_risk_review
23,وہ,that; those; he/she/it/they (distal),det|pron,83613,True,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"that, those (distal demonstrative pronoun); that, those (distal demonstrative determiner); he, she, it, they (distal third person subjective personal pronoun)",,explicit_high_risk_review
24,لئے,for; taken (context-dependent; often in کے لئے 'for'),verb,66765,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,masculine plural perfect indicative; masculine plural perfective participle,,explicit_high_risk_review
25,تھا,was (masculine singular),verb,61762,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,masculine singular imperfect indicative of ہونا (honā),,explicit_high_risk_review
26,گیا,"Gaya (a city in Bihar, India); masculine singular perfect adjectival of جانا (jānā): went, left",noun|verb,57360,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"Gaya (a city in Bihar, India); masculine singular perfect adjectival of جانا (jānā): went, left",,kaikki
27,جو,who; which; that (relative pronoun),noun,57041,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,whatever; whichever; who; whoever,,explicit_high_risk_review
28,و,and,character|conj,56038,True,True,False,True,Kaikki/Wiktextract,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,and,,explicit_high_risk_review
29,گا,will (masculine singular future marker),closed-class,49586,False,True,True,False,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,,,explicit_high_risk_review
30,ہی,only; just; emphatic particle,particle,48594,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,emphatic particle,,explicit_high_risk_review
