rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
101,REPAIR,Que veux-tu ?,What do you want?,kə vˈøtˈy ?,kohohh veuty ?,Remove artificial stresses; veux-tu is /vø ty/ with no liaison consonant.,/kə vø ty/,kuh veu tü
102,REPAIR,Qu'avons-nous ici ?,What have we here?,kavˈɔ̃nuz isˈi ?,kavohnnohohz ayaysayay ?,Machine incorrectly inserts /z/ after inversion subject nous before ici. Qu'avons-nous is /kavɔ̃ nu/; no liaison from nous to the adverb ici.,/kavɔ̃ nu isi/,kah-vohn noo ee-see (vohn nasal)
103,REPAIR,Que ferais-tu ?,What would you do?,kə fəʁˈɛtˈy ?,kohohh fohohhrayty ?,Remove artificial stresses; ferais-tu is /fəʁɛ ty/.,/kə fəʁɛ ty/,kuh fuh-reh tü
104,REPAIR,Qu'aimerais-tu ?,What would you like?,kɛmʁˈɛtˈy ?,kaymrayty ?,Remove artificial stresses; qu'aimerais-tu is /kɛmʁɛ ty/.,/kɛmʁɛ ty/,kem-reh tü
105,REPAIR,Que dirais-tu ?,What would you say?,kə diʁˈɛtˈy ?,kohohh dayayrayty ?,Remove artificial stresses; dirais-tu is /diʁɛ ty/.,/kə diʁɛ ty/,kuh dee-reh tü
106,REPAIR,Quand pouvons-nous manger ?,When can we eat?,kɑ̃ puvˈɔ̃nu mɑ̃ʒˈe ?,kan pohohvohnnohoh manzhay ?,Remove artificial stresses; pouvons-nous is /puvɔ̃ nu/ and both quand/manger contain nasal vowels.,/kɑ̃ puvɔ̃ nu mɑ̃ʒe/,kahn poo-vohn noo mahn-zhay (nasal vowels)
107,REPAIR,Quand êtes-vous venus ?,When did you come?,kɑ̃t ˈɛtvu vənˈy ?,kant aytvohoh vohohhny ?,Keep standard /t/ liaison in quand êtes and normalize êtes-vous /ɛt vu/; remove stresses and distinguish French /y/ in venus.,/kɑ̃ tɛt vu vəny/,kahn tet voo vuh-nü (kahn nasal)
108,REPAIR,Quand mangeons-nous ?,When do we eat?,kɑ̃ mɑ̃ʒˈɔ̃nˈu ?,kan manzhohnnohoh ?,Remove artificial stresses; mangeons-nous is /mɑ̃ʒɔ̃ nu/ without extra consonant.,/kɑ̃ mɑ̃ʒɔ̃ nu/,kahn mahn-zhohn noo (nasal vowels)
109,REPAIR,Où es-tu aujourd'hui ?,Where are you today?,u ɛty oʒuʁdyˈi ?,ohoh ayty ohzhohohrdyayay ?,Remove artificial stress; aujourd'hui requires /ɥ/: /oʒuʁdɥi/.,/u ɛ ty oʒuʁdɥi/,oo eh tü oh-zhoor-dwee
110,REPAIR,Où as-tu mangé ?,Where did you eat?,u atˈy mɑ̃ʒˈe ?,ohoh aty manzhay ?,As-tu is /a ty/; remove artificial stresses and mark nasal vowel in mangé.,/u a ty mɑ̃ʒe/,oo ah tü mahn-zhay (mahn nasal)
111,REPAIR,Où vous êtes-vous rendu ?,Where did you go?,u vuz ɛtvu ʁɑ̃dˈy ?,ohoh vohohz aytvohoh randy ?,Keep mandatory liaison in vous êtes: /vu zɛt/; inversion êtes-vous is /ɛt vu/. Remove artificial stress and distinguish /y/.,/u vu zɛt vu ʁɑ̃dy/,oo voo zet voo rahn-dü (rahn nasal)
112,REPAIR,Où travailles-tu ?,Where do you work?,u tʁavˈajtˈy ?,ohoh travayty ?,Remove artificial stresses; travailles-tu is /tʁavaj ty/.,/u tʁavaj ty/,oo trah-vahy tü
113,REPAIR,Qui peut m'aider ?,Who can help me?,ki pˈø mɛdˈe ?,kayay peu mayday ?,M'aider is /mede/, not /mɛde/; remove artificial stresses.,/ki pø mede/,kee peu may-day
114,REPAIR,Qui as-tu appelé ?,Who did you call?,ki atˈy aplˈe ?,kayay aty aplay ?,As-tu is /a ty/; remove artificial stresses and learner corruption.,/ki a ty aple/,kee ah tü ah-play
115,REPAIR,Pourquoi sommes-nous ici ?,Why are we here?,puʁkwˌa sˈɔmnuz isˈi ?,pohohrkwa sohmnohohz ayaysayay ?,Machine incorrectly inserts /z/ after inversion subject nous before ici. Sommes-nous is /sɔm nu/.,/puʁkwa sɔm nu isi/,poor-kwa som noo ee-see
116,REPAIR,Pourquoi es-tu ici ?,Why are you here?,puʁkwˌa ɛty isˈi ?,pohohrkwa ayty ayaysayay ?,Remove artificial stresses; learner hint is corrupted.,/puʁkwa ɛ ty isi/,poor-kwa eh tü ee-see
117,REPAIR,Pourquoi es-tu à la maison ?,Why are you home?,puʁkwˌa ɛty a la- mɛzˈɔ̃ ?,pohohrkwa ayty a la- mayzohn ?,Remove artificial stresses/machine hyphen; maison ends in nasal /ɔ̃/.,/puʁkwa ɛ ty a la mɛzɔ̃/,poor-kwa eh tü ah lah meh-zohn (zohn nasal)
118,REPAIR,Pourquoi as-tu appelé ?,Why did you call?,puʁkwˌa atˈy aplˈe ?,pohohrkwa aty aplay ?,As-tu is /a ty/; remove artificial stresses.,/puʁkwa a ty aple/,poor-kwa ah tü ah-play
119,REPAIR,Pourquoi es-tu venu ?,Why did you come?,puʁkwˌa ɛty vənˈy ?,pohohrkwa ayty vohohhny ?,Remove artificial stresses; distinguish French /y/ in venu.,/puʁkwa ɛ ty vəny/,poor-kwa eh tü vuh-nü
120,REPAIR,Voudriez-vous m'excuser ?,Would you excuse me?,vudʁiˈevu mɛkskyzˈe ?,vohohdrayayayvohoh maykskyzay ?,Voudriez-vous is /vudʁije vu/ with /j/ glide and no /z/ liaison; m'excuser is /mɛkskyze/. Remove stress artifacts.,/vudʁije vu mɛkskyze/,voo-dree-yay voo meks-kü-zay
121,REPAIR,Fais ce que je dis.,Do what I say.,fˈɛ sə- kə ʒə- dˈi.,fay sohohh- kohohh zhohohh- dayay.,Remove artificial stresses and machine hyphens; cue /ɛ/ accurately.,/fɛ sə kə ʒə di/,feh suh kuh zhuh dee
122,REPAIR,Fais ce que tu peux.,Do what you can.,fˈɛ sə- kə ty pˈø.,fay sohohh- kohohh ty peu.,Remove artificial stresses/hyphen; distinguish /y/.,/fɛ sə kə ty pø/,feh suh kuh tü peu
123,REPAIR,Fais ce que tu aimes.,Do what you like.,fˈɛ sə- kə ty ˈɛm.,fay sohohh- kohohh ty aym.,Remove artificial stresses/hyphen; cue /ɛ/ in fais/aimes.,/fɛ sə kə ty ɛm/,feh suh kuh tü em
124,REPAIR,Fais ce que tu veux.,Do what you want.,fˈɛ sə- kə ty vˈø.,fay sohohh- kohohh ty veu.,Remove artificial stresses/hyphen; distinguish /y/.,/fɛ sə kə ty vø/,feh suh kuh tü veu
125,REPAIR,Pars quand tu veux.,Go when you want.,paʁ kɑ̃ ty vˈø.,par kan ty veu.,Remove artificial stress; quand is nasal and /y/ needs a clear cue.,/paʁ kɑ̃ ty vø/,par kahn tü veu (kahn nasal)
126,REPAIR,Je peux venir demain.,I can come tomorrow.,ʒə- pˈø vənˈiʁ dəmˈɛ̃.,zhohohh- peu vohohhnayayr dohohhmayayn.,Remove machine hyphen/artificial stresses; learner hint is corrupted and demain is nasal.,/ʒə pø vəniʁ dəmɛ̃/,zhuh peu vuh-neer duh-mehn (final nasal)
127,REPAIR,Je peux t'aider.,I can help you.,ʒə- pˈø tɛdˈe.,zhohohh- peu tayday.,T'aider is /tede/, not /tɛde/; remove machine hyphen/artificial stresses.,/ʒə pø tede/,zhuh peu tay-day
128,REPAIR,Je peux vous comprendre.,I can understand you.,ʒə- pˈø vu kɔ̃pʁˈɑ̃dʁ.,zhohohh- peu vohoh kohnprandr.,Remove machine hyphen/artificial stresses; nasal vowels should be clear.,/ʒə pø vu kɔ̃pʁɑ̃dʁ/,zhuh peu voo kohn-prahn-dr (nasal vowels)
