rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
51,REPAIR,مجھے نقشہ چاہیے۔,I need the map.,mˌʊɟʰeː nˈaqʃa cˈaːhjeː,mohohgyʰay naqsha cahyay,Normalize نقشہ final vowel and standard sentence frame.,/mʊd͡ʒʰeː nəqʃaː t͡ʃaːɦijeː/,mujhay nuq-shaa chaa-hi-yay
52,REPAIR,مجھے نقشہ نہیں چاہیے۔,I don't need the map.,mˌʊɟʰeː nˈaqʃa nahˈiːn cˈaːhjeː,mohohgyʰay naqsha nahayayn cahyay,Normalize نقشہ, nasal نہیں, and چاہیے.,/mʊd͡ʒʰeː nəqʃaː nəɦĩː t͡ʃaːɦijeː/,mujhay nuq-shaa nuh-heen chaa-hi-yay
53,REPAIR,کیا آپ کو نقشہ چاہیے؟,Do you need the map?,kjˈaː ˌaːp kˈoː nˈaqʃa cˈaːhjeː,kya ap koh naqsha cahyay,Normalize interrogative کیا, نقشہ, and چاہیے.,/kjaː aːp koː nəqʃaː t͡ʃaːɦijeː/,kyaa aap ko nuq-shaa chaa-hi-yay
54,REPAIR,ہمیں نقشہ چاہیے۔,We need the map.,hˈʌmẽː nˈaqʃa cˈaːhjeː,hʌmẽ naqsha cahyay,Normalize ہمیں nasal vowel, نقشہ, and چاہیے.,/ɦəmẽː nəqʃaː t͡ʃaːɦijeː/,humein nuq-shaa chaa-hi-yay
55,REPAIR,نقشہ کہاں ہے؟,Where is the map?,nˈaqʃa kˈʌhãː hɛ,naqsha kʌhã hay,Normalize نقشہ, کہاں, and ہے.,/nəqʃaː kəɦãː ɦɛː/,nuq-shaa kahaan hai
56,REPAIR,کیا نقشہ یہاں ہے؟,Is the map here?,kjˈaː nˈaqʃa jˈʌhãː hɛ,kya naqsha yʌhã hay,Normalize interrogative کیا, نقشہ, یہاں, and ہے.,/kjaː nəqʃaː jəɦãː ɦɛː/,kyaa nuq-shaa yahaan hai
57,REPAIR,براہِ کرم نقشہ لے آئیے۔,Please bring the map.,bˌəraːhˈeː kˈʌrəm nˈaqʃa lˈeː ˈaːjeː,bohohhrahay kʌrohohhm naqsha lay ayay,Normalize polite phrase, نقشہ, and آئیے glide.,/bəɾaːɦe kəɾəm nəqʃaː leː aːɪjeː/,baraah-e-karam nuq-shaa lay aa-i-yay
58,REPAIR,براہِ کرم مجھے نقشہ دیجیے۔,Please give me the map.,bˌəraːhˈeː kˈʌrəm mˌʊɟʰeː nˈaqʃa diɟˈiːeː,bohohhrahay kʌrohohhm mohohgyʰay naqsha dayaygyayayay,Normalize Urdu affricates, نقشہ, and polite دیجیے.,/bəɾaːɦe kəɾəm mʊd͡ʒʰeː nəqʃaː d̪iːd͡ʒijeː/,baraah-e-karam mujhay nuq-shaa dee-ji-yay
59,REPAIR,میرے پاس نقشہ ہے۔,I have the map.,mˈeːreː pˈaːs nˈaqʃa hɛ,mayray pas naqsha hay,Normalize Urdu rhotic, نقشہ, and ہے.,/meːɾeː paːs nəqʃaː ɦɛː/,may-ray paas nuq-shaa hai
60,REPAIR,کیا آپ کے پاس نقشہ ہے؟,Do you have the map?,kjˈaː ˌaːp keː pˈaːs nˈaqʃa hɛ,kya ap kay pas naqsha hay,Normalize interrogative کیا, نقشہ, and ہے.,/kjaː aːp keː paːs nəqʃaː ɦɛː/,kyaa aap kay paas nuq-shaa hai
61,REPAIR,مجھے ٹکٹ چاہیے۔,I need the ticket.,mˌʊɟʰeː ʈˈɪkɪʈ cˈaːhjeː,mohohgyʰay tayaykayayt cahyay,Normalize loanword ٹکٹ to /ʈɪkəʈ/ and standard sentence frame.,/mʊd͡ʒʰeː ʈɪkəʈ t͡ʃaːɦijeː/,mujhay ti-kut chaa-hi-yay
62,REPAIR,مجھے ٹکٹ نہیں چاہیے۔,I don't need the ticket.,mˌʊɟʰeː ʈˈɪkɪʈ nahˈiːn cˈaːhjeː,mohohgyʰay tayaykayayt nahayayn cahyay,Normalize ٹکٹ, nasal نہیں, and چاہیے.,/mʊd͡ʒʰeː ʈɪkəʈ nəɦĩː t͡ʃaːɦijeː/,mujhay ti-kut nuh-heen chaa-hi-yay
