file,row,front,rank,meaning,pos,severity,flags,back_preview
arabic_top1000.csv,3,من,3,"from (مِنْ); who; whom; whoever (مَنْ) Part of speech: preposition (مِنْ) / interrogative, relative, or conditional pronoun (مَنْ) Sources: - Al-Said (2023), Table 4 — existing rank 3; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo / Quranic Arabic Corpus grammar recheck — second-pass educator review (2026-08-13)","preposition (مِنْ) / interrogative, relative, or conditional pronoun (مَنْ) Sources: - Al-Said (2023), Table 4 — existing rank 3; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo / Quranic Arabic Corpus grammar recheck — second-pass educator review (2026-08-13)",review,overbundled_meaning_5plus_senses;very_long_meaning,"Rank: 3 |  | Meaning: from (مِنْ); who; whom; whoever (مَنْ) | Part of speech: preposition (مِنْ) / interrogative, relative, or conditional pronoun (مَنْ) | Sources: | - Al-Said (2023), Table 4 — existing rank 3; rank/order preserved | - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only | - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden | - Arabic Language Academy in Cairo / Quranic Arabic Corpus grammar recheck — s"
arabic_top1000.csv,10,ما,10,"not; what; that which; whatever (conditional) Part of speech: negative particle / interrogative, relative, or conditional pronoun / subordinating particle (ما المصدرية), depending on use Sources: - Al-Said (2023), Table 4 — existing rank 10; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo / Quranic Arabic Corpus grammar recheck — second-pass educator review (2026-08-13)","negative particle / interrogative, relative, or conditional pronoun / subordinating particle (ما المصدرية), depending on use Sources: - Al-Said (2023), Table 4 — existing rank 10; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo / Quranic Arabic Corpus grammar recheck — second-pass educator review (2026-08-13)",review,overbundled_meaning_5plus_senses;very_long_meaning,"Rank: 10 |  | Meaning: not; what; that which; whatever (conditional) | Part of speech: negative particle / interrogative, relative, or conditional pronoun / subordinating particle (ما المصدرية), depending on use | Sources: | - Al-Said (2023), Table 4 — existing rank 10; rank/order preserved | - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only | - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden | - Arabic Language Ac"
arabic_top1000.csv,56,حتى,56,"until; up to; even; so that Part of speech: particle / preposition / conjunction Sources: - Al-Said (2023), Table 4 — existing rank 56; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo, Al-Mu’jam Al-Wasit / grammar recheck — second-pass educator review (2026-08-13)","particle / preposition / conjunction Sources: - Al-Said (2023), Table 4 — existing rank 56; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo, Al-Mu’jam Al-Wasit / grammar recheck — second-pass educator review (2026-08-13)",review,overbundled_meaning_5plus_senses;very_long_meaning,"Rank: 56 |  | Meaning: until; up to; even; so that | Part of speech: particle / preposition / conjunction | Sources: | - Al-Said (2023), Table 4 — existing rank 56; rank/order preserved | - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only | - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden | - Arabic Language Academy in Cairo, Al-Mu’jam Al-Wasit / grammar recheck — second-pass educator review (2026-08-13)"
arabic_top1000.csv,62,أجل,62,"term; appointed time; deadline/lifespan; for the sake of/because of (أَجْل); yes/indeed (أَجَلْ) Part of speech: noun / adverbial-causal noun / response particle Sources: - Al-Said (2023), Table 4 — existing rank 62; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo / Quranic Arabic Corpus grammar recheck — second-pass educator review (2026-08-13)","noun / adverbial-causal noun / response particle Sources: - Al-Said (2023), Table 4 — existing rank 62; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo / Quranic Arabic Corpus grammar recheck — second-pass educator review (2026-08-13)",review,overbundled_meaning_5plus_senses;very_long_meaning,"Rank: 62 |  | Meaning: term; appointed time; deadline/lifespan; for the sake of/because of (أَجْل); yes/indeed (أَجَلْ) | Part of speech: noun / adverbial-causal noun / response particle | Sources: | - Al-Said (2023), Table 4 — existing rank 62; rank/order preserved | - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only | - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden | - Arabic Language Academy in Cairo / Quranic "
arabic_top1000.csv,63,قبل,63,"before; prior to; earlier Part of speech: temporal/spatial adverbial noun (ظرف زمان أو مكان) Sources: - Al-Said (2023), Table 4 — existing rank 63; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo, Al-Mu’jam Al-Wasit / grammar recheck — second-pass educator review (2026-08-13)","temporal/spatial adverbial noun (ظرف زمان أو مكان) Sources: - Al-Said (2023), Table 4 — existing rank 63; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo, Al-Mu’jam Al-Wasit / grammar recheck — second-pass educator review (2026-08-13)",review,overbundled_meaning_5plus_senses;very_long_meaning,"Rank: 63 |  | Meaning: before; prior to; earlier | Part of speech: temporal/spatial adverbial noun (ظرف زمان أو مكان) | Sources: | - Al-Said (2023), Table 4 — existing rank 63; rank/order preserved | - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only | - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden | - Arabic Language Academy in Cairo, Al-Mu’jam Al-Wasit / grammar recheck — second-pass educator review (2026-08-13"
arabic_top1000.csv,94,فعل,94,"act; action; verb (grammar); did; performed Part of speech: noun / perfect / past verb (فِعْل / فَعَلَ) Sources: - Al-Said (2023), Table 4 — existing rank 94; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo, Al-Mu’jam Al-Wasit / grammar recheck — second-pass educator review (2026-08-13)","noun / perfect / past verb (فِعْل / فَعَلَ) Sources: - Al-Said (2023), Table 4 — existing rank 94; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo, Al-Mu’jam Al-Wasit / grammar recheck — second-pass educator review (2026-08-13)",review,overbundled_meaning_5plus_senses;very_long_meaning,"Rank: 94 |  | Meaning: act; action; verb (grammar); did; performed | Part of speech: noun / perfect / past verb (فِعْل / فَعَلَ) | Sources: | - Al-Said (2023), Table 4 — existing rank 94; rank/order preserved | - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only | - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden | - Arabic Language Academy in Cairo, Al-Mu’jam Al-Wasit / grammar recheck — second-pass educator review "
arabic_top1000.csv,109,هيا,109,"come on!; let’s go! Part of speech: exhortative particle / expression (كلمة حثّ) Sources: - Al-Said (2023), Table 4 — existing rank 109; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass educator review (2026-08-13)","exhortative particle / expression (كلمة حثّ) Sources: - Al-Said (2023), Table 4 — existing rank 109; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass educator review (2026-08-13)",review,overbundled_meaning_5plus_senses;very_long_meaning,"Rank: 109 |  | Meaning: come on!; let’s go! | Part of speech: exhortative particle / expression (كلمة حثّ) | Sources: | - Al-Said (2023), Table 4 — existing rank 109; rank/order preserved | - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only | - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden | - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass educator review (2026-08-13)"
arabic_top1000.csv,151,جانب,151,"side; aspect; flank Part of speech: noun Sources: - Al-Said (2023), Table 4 — existing rank 151; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass educator review (2026-08-13)","noun Sources: - Al-Said (2023), Table 4 — existing rank 151; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass educator review (2026-08-13)",review,overbundled_meaning_5plus_senses;very_long_meaning,"Rank: 151 |  | Meaning: side; aspect; flank | Part of speech: noun | Sources: | - Al-Said (2023), Table 4 — existing rank 151; rank/order preserved | - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only | - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden | - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass educator review (2026-08-13)"
arabic_top1000.csv,189,قدم,189,"foot; antiquity/oldness; presented/offered (depending on vocalization/form) Part of speech: noun / perfect-past verb Sources: - Al-Said (2023), Table 4 — existing rank 189; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass educator review (2026-08-13)","noun / perfect-past verb Sources: - Al-Said (2023), Table 4 — existing rank 189; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass educator review (2026-08-13)",review,overbundled_meaning_5plus_senses;very_long_meaning,"Rank: 189 |  | Meaning: foot; antiquity/oldness; presented/offered (depending on vocalization/form) | Part of speech: noun / perfect-past verb | Sources: | - Al-Said (2023), Table 4 — existing rank 189; rank/order preserved | - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only | - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden | - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass educator review"
arabic_top1000.csv,194,لذا,194,"therefore; thus; for that reason Part of speech: prepositional/adverbial expression (لِ + ذا) Sources: - Al-Said (2023), Table 4 — existing rank 194; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass educator review (2026-08-13)","prepositional/adverbial expression (لِ + ذا) Sources: - Al-Said (2023), Table 4 — existing rank 194; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass educator review (2026-08-13)",review,overbundled_meaning_5plus_senses;very_long_meaning,"Rank: 194 |  | Meaning: therefore; thus; for that reason | Part of speech: prepositional/adverbial expression (لِ + ذا) | Sources: | - Al-Said (2023), Table 4 — existing rank 194; rank/order preserved | - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only | - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden | - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass educator review (2026-08-13)"
arabic_top1000.csv,221,هم,221,"they; concern; worry (هُمْ / هَمّ) Part of speech: personal pronoun / noun Sources: - Al-Said (2023), Table 4 — existing rank 221; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass educator review (2026-08-13)","personal pronoun / noun Sources: - Al-Said (2023), Table 4 — existing rank 221; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass educator review (2026-08-13)",review,overbundled_meaning_5plus_senses;very_long_meaning,"Rank: 221 |  | Meaning: they; concern; worry (هُمْ / هَمّ) | Part of speech: personal pronoun / noun | Sources: | - Al-Said (2023), Table 4 — existing rank 221; rank/order preserved | - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only | - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden | - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass educator review (2026-08-13)"
arabic_top1000.csv,231,كم,231,"how many?; how much?; many/a great many (interrogative or declarative كَمْ) Part of speech: quantitative noun; interrogative or declarative (اسم مبني) Sources: - Al-Said (2023), Table 4 — existing rank 231; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass educator review (2026-08-13)","quantitative noun; interrogative or declarative (اسم مبني) Sources: - Al-Said (2023), Table 4 — existing rank 231; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass educator review (2026-08-13)",review,overbundled_meaning_5plus_senses;very_long_meaning,"Rank: 231 |  | Meaning: how many?; how much?; many/a great many (interrogative or declarative كَمْ) | Part of speech: quantitative noun; interrogative or declarative (اسم مبني) | Sources: | - Al-Said (2023), Table 4 — existing rank 231; rank/order preserved | - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only | - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden | - Arabic Language Academy in Cairo / Quranic Arabic Co"
arabic_top1000.csv,234,حسب,234,"according to; enough/sufficient; calculated/count(ed); considered/thought (depending on vocalization/use) Part of speech: noun / adverbial-relational expression / perfect-past verb Sources: - Al-Said (2023), Table 4 — existing rank 234; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass educator review (2026-08-13)","noun / adverbial-relational expression / perfect-past verb Sources: - Al-Said (2023), Table 4 — existing rank 234; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass educator review (2026-08-13)",review,overbundled_meaning_5plus_senses;very_long_meaning,"Rank: 234 |  | Meaning: according to; enough/sufficient; calculated/count(ed); considered/thought (depending on vocalization/use) | Part of speech: noun / adverbial-relational expression / perfect-past verb | Sources: | - Al-Said (2023), Table 4 — existing rank 234; rank/order preserved | - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only | - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden | - Arabic Language Academ"
arabic_top1000.csv,243,يعد,243,"counts/enumerates; prepares; is considered (يَعُدّ / يُعِدّ / يُعَدّ) Part of speech: imperfect verb; active or passive depending on vocalization Sources: - Al-Said (2023), Table 4 — existing rank 243; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass educator review (2026-08-13)","imperfect verb; active or passive depending on vocalization Sources: - Al-Said (2023), Table 4 — existing rank 243; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass educator review (2026-08-13)",review,overbundled_meaning_5plus_senses;very_long_meaning,"Rank: 243 |  | Meaning: counts/enumerates; prepares; is considered (يَعُدّ / يُعِدّ / يُعَدّ) | Part of speech: imperfect verb; active or passive depending on vocalization | Sources: | - Al-Said (2023), Table 4 — existing rank 243; rank/order preserved | - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only | - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden | - Arabic Language Academy in Cairo / Quranic Arabic Corpus "
arabic_top1000.csv,248,فقد,248,"lost; loss/absence; so/then + already/may (فَقَدَ / فَقْد / فَ + قَدْ) Part of speech: perfect-past verb / noun / conjunction + particle sequence Sources: - Al-Said (2023), Table 4 — existing rank 248; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass educator review (2026-08-13)","perfect-past verb / noun / conjunction + particle sequence Sources: - Al-Said (2023), Table 4 — existing rank 248; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass educator review (2026-08-13)",review,overbundled_meaning_5plus_senses;very_long_meaning,"Rank: 248 |  | Meaning: lost; loss/absence; so/then + already/may (فَقَدَ / فَقْد / فَ + قَدْ) | Part of speech: perfect-past verb / noun / conjunction + particle sequence | Sources: | - Al-Said (2023), Table 4 — existing rank 248; rank/order preserved | - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only | - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden | - Arabic Language Academy in Cairo / Quranic Arabic Corpus "
arabic_top1000.csv,250,ألف,250,"thousand; authored/composed/compiled (أَلْف / أَلَّفَ) Part of speech: numeral/noun / perfect-past verb Sources: - Al-Said (2023), Table 4 — existing rank 250; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass educator review (2026-08-13)","numeral/noun / perfect-past verb Sources: - Al-Said (2023), Table 4 — existing rank 250; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass educator review (2026-08-13)",review,overbundled_meaning_5plus_senses;very_long_meaning,"Rank: 250 |  | Meaning: thousand; authored/composed/compiled (أَلْف / أَلَّفَ) | Part of speech: numeral/noun / perfect-past verb | Sources: | - Al-Said (2023), Table 4 — existing rank 250; rank/order preserved | - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only | - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden | - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass educator review (2026-08-13)"
arabic_top1000.csv,320,حسن,320,"good; fine; goodness; beauty; became good/beautiful (حَسَن / حُسْن / حَسُنَ) Part of speech: adjective / noun / perfect-past verb Sources: - Al-Said (2023), Table 4 — existing rank 320; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass educator review (2026-08-13)","adjective / noun / perfect-past verb Sources: - Al-Said (2023), Table 4 — existing rank 320; rank/order preserved - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass educator review (2026-08-13)",review,overbundled_meaning_5plus_senses;very_long_meaning,"Rank: 320 |  | Meaning: good; fine; goodness; beauty; became good/beautiful (حَسَن / حُسْن / حَسُنَ) | Part of speech: adjective / noun / perfect-past verb | Sources: | - Al-Said (2023), Table 4 — existing rank 320; rank/order preserved | - CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only | - Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden | - Arabic Language Academy in Cairo / Quranic Arabic Corpus — second-pass ed"
