rank,front,meaning,frequency_evidence,frequency_source,evidence_tier,iwn_en_english_ids,iwn_en_direct_sense_count,selected_direct_sense_count,indowordnet_lemma,kaikki_meaning,readurdu_meaning,word2word_meaning,external_selector_score,semantic_basis
1001,بہی,stub; ticket stub,140157,CLE Urdu top-5000 frequency list,A_direct_iwn_en,6433820,1,1,False,quince,n. quince | Platts:,Also; as; known; ?,0,IWN-En Direct manual link (single direct sense)
1002,مطابق,accordingly,19398,CLE Urdu top-5000 frequency list,A_direct_iwn_en,63396,4,1,False,,according to (کے مطابق),According; date; table; intruder; release,2,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
1003,والی,governor,18238,CLE Urdu top-5000 frequency list,A_direct_iwn_en,9989441,1,1,False,,the one who/that (feminine suffix),brewing; handkerchief; bold; Am; War,0,IWN-En Direct manual link (single direct sense)
1004,پہر,hour; time of day,17870,CLE Urdu top-5000 frequency list,A_direct_iwn_en,15029190,1,1,True,unit of time equalling three hours,n. unit of time equalling three hours | Platts:,hopefully; raid; afternoon; set; ISI,2,IWN-En Direct manual link (single direct sense)
1005,ای,Lakshmi,16230,CLE Urdu top-5000 frequency list,A_direct_iwn_en,9390400,1,1,False,,the English letter E (in acronyms),e-mail; recognize; BQE; blanket; faster,0,IWN-En Direct manual link (single direct sense)
1006,دونوں,both(a),13393,CLE Urdu top-5000 frequency list,A_direct_iwn_en,2344813,1,1,True,,,both; deceiving; divided; oppressed; issues,1,IWN-En Direct manual link (single direct sense)
1007,امریکی,American,13287,CLE Urdu top-5000 frequency list,A_direct_iwn_en,9596557|3011995,2,2,False,,American,American; U.S; breathe; citizen; Army,2,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
1008,کرتا,kurta,13089,CLE Urdu top-5000 frequency list,A_direct_iwn_en,3589186,1,1,True,,does (masculine of کرنا); kurta (shirt),works; does; PLAYS; MUSIC; uses,1,IWN-En Direct manual link (single direct sense)
1009,بتایا,reported,12431,CLE Urdu top-5000 frequency list,A_direct_iwn_en,495830,1,1,False,,"told, informed (of بتانا)",told; Has; Raptor; cleared; blow,2,IWN-En Direct manual link (single direct sense)
1010,پولیس,mayor; city manager,12285,CLE Urdu top-5000 frequency list,A_direct_iwn_en,10150149,1,1,True,,police,police; Police; cop; policeman; cops,0,IWN-En Direct manual link (single direct sense)
1011,میچ,match,10866,CLE Urdu top-5000 frequency list,A_direct_iwn_en,7368771,1,1,False,,match (sports),be; coincidence; ZIP; 6; match,2,IWN-En Direct manual link (single direct sense)
1012,علاوہ,other,10312,CLE Urdu top-5000 frequency list,A_direct_iwn_en,2140352,3,1,False,,"besides, in addition to (کے علاوہ)",except; plus; perish; apart; Everyone,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1013,ٹیسٹ,test; mental test; mental testing; psychometric test,9559,CLE Urdu top-5000 frequency list,A_direct_iwn_en,992713,1,1,False,,,test; practice; Missed; ASVAB; CONTINUE,1,IWN-En Direct manual link (single direct sense)
1014,آئے,came (plural),9322,CLE Urdu top-5000 frequency list,B_two_source_fallback,,0,0,True,,came (plural),come; came; COME; HAVE; forgot,2,IndoWordNet Urdu lemma + ReadUrdu/word2word agreement
1015,عالمی,global; planetary; world(a); worldwide; world-wide,9318,CLE Urdu top-5000 frequency list,A_direct_iwn_en,1626667,3,1,False,,"global, international",World; War; global; Her; Second,2,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
1016,حوالے,devotion,9300,CLE Urdu top-5000 frequency list,A_direct_iwn_en,1028510,1,1,False,,"plural direct of حَوَالَہ (havāla — reference, citing)",hand; regards; over; obliged; fact,1,IWN-En Direct manual link (single direct sense)
1017,کرتی,kurta,8665,CLE Urdu top-5000 frequency list,A_direct_iwn_en,3589186,1,1,True,,does (feminine of کرنا),much; love; talks; unite; Friends,0,IWN-En Direct manual link (single direct sense)
1018,ایسی,thus; thusly; so,8556,CLE Urdu top-5000 frequency list,A_direct_iwn_en,122268,1,1,False,,direct/oblique/vocative feminine singular/plural of,such; repeat; Something; wasn; unclaimed,0,IWN-En Direct manual link (single direct sense)
1019,تعمیر,architecture,8317,CLE Urdu top-5000 frequency list,A_direct_iwn_en,6043371,4,1,True,,"construction, building",build; built; rebuild; BUILT; REBUILD,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1020,پابندی,limitation; restriction,7664,CLE Urdu top-5000 frequency list,A_direct_iwn_en,796615,4,1,True,,"restriction, curtailment; custom, tradition",banned; punctual; Drink; drinking; particular,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1021,ایس,S; letter s,7301,CLE Urdu top-5000 frequency list,A_direct_iwn_en,6741312,1,1,False,,the English letter S (in acronyms),ISI; SUV; GPS; hopefully; raid,1,IWN-En Direct manual link (single direct sense)
1022,مل,flour mill; plant; works; industrial plant; liquor; spirits; booze; hard drink; hard liquor; John Barleycorn; strong drink,7226,CLE Urdu top-5000 frequency list,A_direct_iwn_en,3332785|3912097|7794774,3,3,False,,"s.m. Dirt, filth; dust; impurity; impure matter; excrement; refuse; sediment; dregs; scum; alloy or dross (of…",got; meet; MEET; found; Nice,0,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
1023,اعلان,announcement; proclamation; annunciation; declaration,6976,CLE Urdu top-5000 frequency list,A_direct_iwn_en,6635639,2,1,False,,"announcement, declaration",proclaim; martyr; announced; backstabbing; trail,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1024,تحت,combined; concerted; conjunct; conjunctive; cooperative; united; claim,6919,CLE Urdu top-5000 frequency list,A_direct_iwn_en,2188337|6639344,2,2,False,,(in A. phrases taḥtu),under; command; 9000; rpms; BKA,0,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
1025,امدادی,dependent; assisted; aided,6748,CLE Urdu top-5000 frequency list,A_direct_iwn_en,763186|2434201,2,2,False,,,THERE-THERE; RESCUE; COMING; rescue; S,0,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
1026,تکنیکی,technical; technological,6529,CLE Urdu top-5000 frequency list,A_direct_iwn_en,2894943|2894375,2,2,True,,,technical; technically; finish; thoroughly; longer,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
