rank,front,meaning,kaikki_entry,kaikki_semantic_agreement,kaikki_overlap_terms,omw_entry,omw_semantic_agreement,omw_overlap_terms,wordfreq_attested,calima_exact,status
1005,ثاني,second; next,False,False,,False,False,,True,True,explicit_review_required
1018,شبكي,net-like; network,False,False,,False,False,,True,True,explicit_review_required
1039,مسلسل,serial; sequence,True,False,,False,False,,True,True,explicit_review_required
1041,مدون,record; entry; document,False,False,,True,False,,True,True,explicit_review_required
1052,تحميل,burdening; loading; shipment,True,False,,False,False,,True,True,explicit_review_required
1070,مخالف,divergent; violating,True,False,,True,False,,True,True,explicit_review_required
1072,قرني,centenary,False,False,,False,False,,True,True,explicit_review_required
1082,شب,youth,True,False,,True,False,,True,True,explicit_review_required
1085,جمهوري,multitude; public,True,False,,False,False,,True,True,explicit_review_required
1091,تبليغ,conveyance; notification; informing,True,False,,False,False,,True,True,explicit_review_required
1092,أ,A; 1st,True,False,,True,False,,True,True,explicit_review_required
1105,أمني,security; safety,False,False,,False,False,,True,True,explicit_review_required
1110,قائم,remaining; existing,True,False,,False,False,,True,True,explicit_review_required
1118,ختر,betray; deceive,False,False,,True,False,,False,True,explicit_review_required
1127,أمارة,sign; indication,False,False,,True,False,,True,True,explicit_review_required
1131,تواصل,continuity; continuation,True,False,,False,False,,True,True,explicit_review_required
1134,سبت,basket,False,False,,True,False,,True,True,explicit_review_required
1139,إطلاق,firing,True,False,,True,False,,True,True,explicit_review_required
1143,د,D; 4th; Dr.; (minute); (dinar); (dirham),True,False,,False,False,,True,True,explicit_review_required
1155,تكليف,cost; expense; charge,True,False,,True,False,,True,True,explicit_review_required
1157,ديموقراطي,democratic,False,False,,False,False,,True,True,explicit_review_required
1176,مغربي,of; from the Maghrib (northwest Africa),True,False,,False,False,,True,True,explicit_review_required
1177,تعرض,be exposed to; encounter,True,False,,False,False,,True,True,explicit_review_required
1178,لوحة,painting; picture,True,False,,True,False,,True,True,explicit_review_required
1182,أليس,valiant,True,False,,False,False,,True,True,explicit_review_required
1186,ه,H; (Hijrah); 5th,True,False,,False,False,,True,True,explicit_review_required
1219,مكافحة,confrontation; battle,True,False,,False,False,,True,True,explicit_review_required
1233,مشير,indicative; indicating,False,False,,True,False,,True,True,explicit_review_required
1237,نقاش,debate; argument; controversy,True,False,,True,False,,True,True,explicit_review_required
1245,بي,B,False,False,,True,False,,True,True,explicit_review_required
1255,فئة,faction; party,True,False,,True,False,,True,True,explicit_review_required
1273,شامل,comprehensive; general; complete; mass,False,False,,False,False,,True,True,explicit_review_required
1285,ديوان,office; agency; anthology,True,False,,False,False,,True,True,explicit_review_required
1296,خاطر,mind; feeling; wish,True,False,,True,False,,True,True,explicit_review_required
1297,خيار,good; better; best,True,False,,True,False,,True,True,explicit_review_required
1299,أون,calm; serenity,False,False,,True,False,,True,True,explicit_review_required
1302,متواجد,present; available,False,False,,False,False,,True,True,explicit_review_required
1307,رشد,integrity; forthrightness,True,False,,True,False,,True,True,explicit_review_required
1310,كبري,land; earth,False,False,,False,False,,True,True,explicit_review_required
1325,أزياء,fashion; clothes; uniforms,False,False,,False,False,,True,True,explicit_review_required
1327,تعزيز,praise; pride,False,False,,True,False,,True,True,explicit_review_required
1328,نبوي,prophetic; of the Prophet,False,False,,False,False,,True,True,explicit_review_required
1332,عملة,workers,True,False,,True,False,,True,True,explicit_review_required
1337,لاين,be lenient with; be kind to,False,False,,False,False,,True,True,explicit_review_required
1347,تهنئة,congratulations,True,False,,False,False,,True,True,explicit_review_required
1358,فعاليات,events,False,False,,False,False,,True,True,explicit_review_required
1361,تداول,alternation; circulation,True,False,,True,False,,True,True,explicit_review_required
1374,ست,lady; miss,True,False,,False,False,,True,True,explicit_review_required
1378,إرسال,transmission; broadcast,True,False,,True,False,,True,True,explicit_review_required
1380,ألقى,be arrested,True,False,,True,False,,True,True,explicit_review_required
1383,قائل,saying,True,False,,False,False,,True,True,explicit_review_required
1385,حصري,escrow,True,False,,False,False,,True,True,explicit_review_required
1396,مؤكد,certain; guaranteed,False,False,,False,False,,True,True,explicit_review_required
1400,ع,('ayn); 16th; (Arab),True,False,,False,False,,True,True,explicit_review_required
1402,بديل,substitute; alternate,True,False,,True,False,,True,True,explicit_review_required
1403,بطاقة,energy; power; potential,True,False,,True,False,,True,True,explicit_review_required
1415,نفسي,mental; spiritual; psychological,True,False,,False,False,,True,True,explicit_review_required
1423,إصدار,export; issuance,True,False,,True,False,,True,True,explicit_review_required
1426,تنفيذي,executive,False,False,,False,False,,True,True,explicit_review_required
1429,زكى,augment; nominate; recommend,True,False,,True,False,,True,True,explicit_review_required
1435,حفاظ,preservation; guarding,True,False,,False,False,,True,True,explicit_review_required
