rank,status,note,proposed_target,proposed_english
851,REPAIR,"Standard spelling is التي, not التى.",هناك بعض الأشياء التي من الصعب ترجمتها.,There are some things that are difficult to translate.
852,PASS,,,
853,REPAIR,"English explicitly says people; make the Arabic equally explicit.",كان هناك ثلاثة أشخاص ينتظرون أمامي.,There were three people waiting in front of me.
854,PASS,,,
855,PASS,,,
856,REPAIR,"Missing hamza in أستطع.",لسوء الحظ، كنت مشغولًا بالأمس ولم أستطع فعل ذلك.,"Unfortunately, I was busy yesterday and couldn't do that."
857,PASS,,,
858,REPAIR,"ثلاثة من الكناري is awkward; use ثلاثة طيور كناري.",عندنا كلب وقط وثلاثة طيور كناري.,"We have a dog, a cat and three canaries."
859,REPAIR,"After لم use نرَ, not نرى; English is also missing 'of' in 'a lot of tourists'.",لم نرَ الكثير من السياح بالقرب من هنا مؤخرًا.,We haven't seen a lot of tourists around here lately.
860,REPAIR,"Arabic says very expensive, not necessarily too expensive.",كلما وجدت شيئًا يعجبني، وجدته غاليًا جدًا.,"Whenever I find something I like, it's very expensive."
861,REPAIR,"Verb is يبدو, not يبدوا.",لا يبدو أنك تعرف ما سيحصل.,You don't seem to know what's going to happen.
862,REPAIR,"Current ما كان عليك فعله can read as 'what you had to do'; intended meaning is something you should not have done.",تبدو وكأنك فعلت شيئًا لم يكن عليك فعله.,You look like you've been doing something you shouldn't.
863,PASS,,,
864,REPAIR,"Arabic means 'we will follow you'; use an uncontracted natural equivalent that remains in the audited C-band.",أيها الناس، امضوا قدمًا. سنتبعكم.,You people go on ahead. We will follow you.
865,PASS,,,
866,REPAIR,"English adds 'please', absent from Arabic.",أيمكنك أن تخبرني متى يغادر القطار؟,Can you tell me what time the train leaves?
867,PASS,,,
868,REPAIR,"Use an explicit natural help request in both languages while preserving the audited C-band.",هل يمكنك أن تقدم لي بعض المساعدة في المطبخ؟,Can you give me some help in the kitchen?
869,PASS,,,
870,REPAIR,"تعلّمني means teach me, not tell me; Arabic has the washing machine, not explicitly 'this'.",أيمكنك أن تعلّمني كيف أستخدم الغسّالة؟,Could you teach me how to use the washing machine?
871,REPAIR,"الأن is misspelled; correct form is الآن.",هل تريدني حقًا أن أذهب إلى هناك الآن؟,Do you really want me to go there right now?
872,PASS,,,
873,PASS,,,
874,PASS,,,
875,PASS,,,
876,PASS,,,
877,PASS,,,
878,PASS,,,
879,PASS,,,
880,PASS,,,
881,PASS,,,
882,PASS,,,
883,REPAIR,"English adds the intensifier 'so', absent from Arabic.",لماذا خلدت للنوم مبكرًا الليلة الماضية؟,Why did you go to sleep early last night?
884,PASS,,,
885,REPAIR,"الأولاد means boys; English 'guys' is broader/colloquial.",لماذا تهتم البنات بما يفكّر الأولاد لهذه الدرجة؟,Why do girls care so much about what boys think?
886,REPAIR,"Arabic is direct 'Do you want'; English uses softer 'Would you like'.",هل تريد أن تذهب إلى حديقة الحيوان بعد ظهر هذا اليوم؟,Do you want to go to the zoo this afternoon?
887,PASS,,,
888,PASS,,,
889,PASS,,,
890,PASS,,,
891,REPAIR,"Missing hamzas in أعتقد أننا.",لا أعتقد أننا نملك الوقت الكافي لفعل ذلك.,I don't think we have enough time to do that.
892,REPAIR,"Current بين و بينك is malformed and omits the first party; use بيني وبينك.",لا أريد أن تكون بيني وبينك أي صلة.,I don't want to have anything to do with you.
893,REPAIR,"Bare لم is ambiguous for why; use لماذا.",أريد أن أعرف لماذا كنت مضطرًا للقيام بذلك.,I want to know why I needed to do that.
894,PASS,,,
895,PASS,,,
896,REPAIR,"Arabic past لم يؤذن لي means 'I wasn't allowed'; English present 'I'm not allowed' mismatches tense.",لم يؤذن لي بإطلاعك على ما تريد معرفته.,I wasn't allowed to tell you what you want to know.
897,REPAIR,"Question punctuation is wrong, الشيء is misspelled, and the conditional is better expressed directly.",لو كنت مكانك، لفعلت الشيء نفسه.,"If I were you, I would do the same."
898,REPAIR,"Express the idiom 'the decision is in your hands' as the natural equivalent 'it is up to you to make the decision', preserving C-band progression.",الأمر متروك لك الآن لاتخاذ القرار.,It is up to you to make the decision now.
899,REPAIR,"Normalize عليّ and learner-facing wording.",أخبرني الطبيب أن عليّ شرب المزيد من الماء.,My doctor told me that I should drink more water.
900,PASS,,,
