rank,front,en,fr,ur,definition_en,example_ar,example_en,front_in_example,english_gloss_example_support,flags,status
6,بِالنِّسْبَةِ لِـ,for / regarding / relative to,pour / en ce qui concerne / par rapport à,کے بارے میں / کے لحاظ سے,Prepositional phrase used to express a viewpoint or a relationship to something else.,بِالنِّسْبَةِ لِي، هَذَا جَيِّدٌ.,"For me (In my view), this is good.",True,False,english_gloss_not_visible_in_example_translation,explicit_review_required
14,مِنْ قِبَلِ,by / on the part of,par / de la part de,کی طرف سے / کے ذریعے,"Prepositional phrase indicating the source or agent of an action, often used in formal contexts.",هَذَا القَرَارُ مِنْ قِبَلِ المُدِيرِ.,This decision is by the manager.,True,False,english_gloss_not_visible_in_example_translation,explicit_review_required
36,مِنْ نَاحِيَتِي,from my side / as for me,de mon côté / pour ma part,میری طرف سے,Phrase used to express one's own position or willingness in a situation.,مِنْ نَاحِيَتِي، أَنَا مُوَافِقٌ.,"As for me, I agree.",True,False,english_gloss_not_visible_in_example_translation,explicit_review_required
100,فِي نِهَايَةِ المَطَافِ,in the end / after all,finalement / après tout,آخرکار / قصہ مختصر,"(Duplicate, using 'ala ayyi hal' instead). In any case.",عَلَى أَيِّ حَالٍ، سَنَرَى.,"In any case, we will see.",False,False,front_not_instantiated_in_example|english_gloss_not_visible_in_example_translation,explicit_review_required
116,مِنْ آوِنَةٍ لِأُخْرَى,from time to time / occasionally,de temps en temps,کبھی کبھار / وقت بہ وقت,"(Duplicate, using 'ala fatarat' instead). At intervals.",نَلْتَقِي عَلَى فَتَرَاتٍ.,We meet at intervals.,False,False,front_not_instantiated_in_example|english_gloss_not_visible_in_example_translation,explicit_review_required
159,بِمَحْضِ تَقْدِيرِ الإِدَارَةِ,at the sole discretion of the management,à la seule discrétion de la direction,انتظامیہ کی اپنی صوابدید پر,Formal phrase indicating that a decision lies entirely with the governing body of an organization.,القَرَارُ يَعُودُ لِبَحْضِ تَقْدِيرِ الإِدَارَةِ.,The decision is at the sole discretion of the management.,False,True,front_not_instantiated_in_example,explicit_review_required
193,بِمَحْضِ تَقْدِيرِ الخَبِيرِ,at the expert's sole discretion,à la seule discrétion de l'expert,ماہر کی اپنی صوابدید پر,Phrase indicating that the final technical judgment rests entirely with a qualified professional.,النَّتِيجَةُ تَعُودُ لِبَحْضِ تَقْدِيرِ الخَبِيرِ.,The result is at the expert's sole discretion.,False,True,front_not_instantiated_in_example,explicit_review_required
197,بِمَا لَا يَدَعُ مَجَالاً لِلانْفِصَالِ,inseparable / leaving no room for separation,inséparable / ne laissant aucune place à la séparation,جس میں علیحدگی کی کوئی گنجائش نہ ہو,"Phrase used to describe two concepts, entities, or people that are so tightly bound that they cannot be considered apart.",الحَقِيقَةُ وَالعَدْلُ مُرْتَبِطَانِ بِمَا لَا يَدَعُ مَجَالاً لِلانْفِصَالِ.,Truth and justice are linked inseparably.,True,False,english_gloss_not_visible_in_example_translation,explicit_review_required
205,بِمَحْضِ تَقْدِيرِ الجُمْهُورِ,at the public's sole discretion / up to the audience,à la seule discrétion du public / au jugement du public,عوام کی اپنی صوابدید پر,Phrase indicating that the success or final judgment of something depends entirely on how the general public evaluates it.,النَّجَاحُ يَعُودُ لِبَحْضِ تَقْدِيرِ الجُمْهُورِ.,Success is at the public's sole discretion.,False,True,front_not_instantiated_in_example,explicit_review_required
228,بِمَحْضِ تَقْدِيرِكَ الشَّخْصِيِّ,at your own personal discretion,à votre seule discrétion personnelle,آپ کی اپنی ذاتی صوابدید پر,Phrase emphasizing that the decision rests entirely with the individual's own judgment and feelings.,الأَمْرُ يَعُودُ لِبَحْضِ تَقْدِيرِكَ الشَّخْصِيِّ.,The matter is at your own personal discretion.,False,True,front_not_instantiated_in_example,explicit_review_required
250,بِمَحْضِ تَقْدِيرِكَ الأَكَادِيمِيِّ,at your own academic discretion / based on your scholarly judgment,à votre seule discrétion académique,آپ کی اپنی علمی صوابدید پر,Phrase indicating that the final decision in an educational or research context rests entirely with the listener's scholarly evaluation.,القَرَارُ يَعُودُ لِبَحْضِ تَقْدِيرِكَ الأَكَادِيمِيِّ.,The decision is at your own academic discretion.,False,True,front_not_instantiated_in_example,explicit_review_required
311,بِمَحْضِ تَقْدِيرِكَ الشَّخْصِيِّ المَحْضِ,at your own absolute personal discretion,à ta seule discrétion personnelle absolue,آپ کی اپنی بالکل خالص ذاتی صوابدید پر,(Triple emphatic). Emphasizes that no one else can influence the decision; it belongs only to the individual listener.,الأَمْرُ يَعُودُ لِبَحْضِ تَقْدِيرِكَ الشَّخْصِيِّ المَحْضِ.,The matter rests at your own absolute personal discretion.,False,True,front_not_instantiated_in_example,explicit_review_required
398,بِمَا لَا يَدَعُ مَجَالاً لِلانْحِرَافِ السُّلُوكِىِّ,virtuous / correct / leaving no room for behavioral deviation,vertueux / correct / ne laissant aucune place à la déviation comportementale,جس میں اخلاقی بگاڑ (انحراف) کی کوئی گنجائش نہ ہو,Phrase used to describe an education system or a social environment that guides people so perfectly they stay on the right path.,صُمِّمَ المَنْهَجُ بِمَا لَا يَدَعُ مَجَالاً لِلانْحِرَافِ السُّلُوكِيِّ.,The curriculum was designed leaving no room for behavioral deviation.,False,True,front_not_instantiated_in_example,explicit_review_required
