rank,front,normalized_front,en,fr,ur,definition_en,example_ar,example_en,root,related,front_token_count,front_calima_coverage,front_unanalyzed_tokens,example_token_count,example_calima_coverage,example_unanalyzed_tokens,flags,status
1,لَا سِيَّمَا,لا سيما,especially / particularly,surtout / notamment,خاص طور پر,Compound phrase used to emphasize a specific member or aspect of a group.,أُحِبُّ الفَوَاكِهَ، لَا سِيَّمَا التُّفَّاحَ.,"I love fruits, especially apples.",— (multiword expression; no single lexical root),"خُصُوصًا, سِيَّمَا",2,1.000,,5,1.000,,,structurally_verified
2,عَمَّا قَرِيبٍ,عما قريب,soon / shortly,bientôt / sous peu,جلد ہی,Temporal phrase indicating that an action will occur in the near future.,سَنَلْتَقِي عَمَّا قَرِيبٍ.,We will meet soon.,— (multiword expression; no single lexical root),"قَرِيبًا, بَعْدَ قَلِيلٍ",2,1.000,,3,1.000,,,structurally_verified
3,لَيْسَ فَقَطْ,ليس فقط,not only,pas seulement,نہ صرف,Correlative phrase often followed by 'bal' (but rather) to indicate multiple aspects.,لَيْسَ فَقَطْ هَذَا.,Not only this.,— (multiword expression; no single lexical root),"لَيْسَ حَسْبُ, لَيْسَ فَحَسْبُ",2,1.000,,3,1.000,,,structurally_verified
4,بِغَضِّ النَّظَرِ,بغض النظر,regardless of / irrespective of,indépendamment de / sans tenir compte de,قطع نظر,Prepositional phrase used to dismiss a factor as irrelevant to the main point.,بِغَضِّ النَّظَرِ عَنِ الثَّمَنِ.,Regardless of the price.,— (multiword expression; no single lexical root),"دُونَ اعْتِبَارٍ, مَعَ ذَلِكَ",2,1.000,,4,1.000,,,structurally_verified
5,عَلَى أَيِّ حَالٍ,على أي حال,anyway / in any case,de toute façon / en tout cas,بہر حال,Phrase used to dismiss previous details and move to a summary or a new point.,عَلَى أَيِّ حَالٍ، سَنَذْهَبُ.,"In any case, we will go.",— (multiword expression; no single lexical root),"بِأَيِّ حَالٍ, مَعَ ذَلِكَ",3,1.000,,4,1.000,,,structurally_verified
6,بِالنِّسْبَةِ لِـ,بالنسبة ل,for / regarding / relative to,pour / en ce qui concerne / par rapport à,کے بارے میں / کے لحاظ سے,Prepositional phrase used to express a viewpoint or a relationship to something else.,بِالنِّسْبَةِ لِي، هَذَا جَيِّدٌ.,"For me (In my view), this is good.",— (multiword expression; no single lexical root),"بِخُصُوصِ, حِيَالَ",2,1.000,,4,1.000,,,structurally_verified
7,مَنْ ذَا,من ذا,who is it that / who,qui est-ce qui / qui,کون ہے وہ جو,Emphatic interrogative pronoun used to ask about a person's identity or actions.,مَنْ ذَا الَّذِي يَشْفَعُ عِنْدَهُ؟,Who is it that can intercede with Him?,— (multiword expression; no single lexical root),مَنْ، مَنْ هُوَ,2,1.000,,5,1.000,,,structurally_verified
8,عَلَى أَنَّ,على أن,provided that / although,à condition que / bien que,اس شرط پر کہ / باوجود یہ کہ,Conjunction used to set a condition or to introduce a contrasting fact.,سَأُسَاعِدُكَ، عَلَى أَنَّ تَعْدِلَ.,"I will help you, provided that you be just.",— (multiword expression; no single lexical root),"بِشَرْطِ أَنَّ, مَعَ أَنَّ",2,1.000,,4,1.000,,,structurally_verified
9,لَا بَأْسَ,لا بأس,no problem / it is fine / okay,pas de problème / c'est bien,کوئی بات نہیں / ٹھیک ہے,"Phrase used to express agreement, reassurance, or that something is acceptable.",لَا بَأْسَ، سَأَفْعَلُ ذَلِكَ.,"No problem, I will do that.",— (multiword expression; no single lexical root),"مَعْلِيش, طَيِّب",2,1.000,,4,1.000,,,structurally_verified
10,أَمَّا بَعْدُ,أما بعد,furthermore / now then (formal transition),par ailleurs / et maintenant,حمد و ثنا کے بعد,Formal transition phrase used in speeches and letters after the introduction to move to the main subject.,السَّلَامُ عَلَيْكُمْ، أَمَّا بَعْدُ...,Peace be upon you; now then...,— (multiword expression; no single lexical root),"وَبَعْدُ, ثُمَّ",2,1.000,,4,1.000,,,structurally_verified
11,لَيْسَ هُنَاكَ,ليس هناك,there is no / there is not,il n'y a pas,وہاں نہیں ہے / نہیں ہے,Phrase used to negate the existence of something in a particular place or situation.,لَيْسَ هُنَاكَ شَيْءٌ.,There is nothing.,— (multiword expression; no single lexical root),"مَا مِنْ, لَا يُوجَدُ",2,1.000,,3,1.000,,,structurally_verified
12,عَلَى الفَوْرِ,على الفور,immediately / instantly,tout de suite / instantanément,فوراً,Adverbial phrase indicating that an action occurs without any wait or delay.,تَعَالَ عَلَى الفَوْرِ.,Come immediately.,— (multiword expression; no single lexical root),"حَالًا, فَوْرًا",2,1.000,,3,1.000,,,structurally_verified
13,إِلَى حَدٍّ مَا,إلى حد ما,to some extent / somewhat,dans une certaine mesure / un peu,کسی حد تک,"Phrase used to qualify a statement, indicating that it is partially true or limited in degree.",هُوَ صَعْبٌ إِلَى حَدٍّ مَا.,It is somewhat difficult.,— (multiword expression; no single lexical root),"نَوْعًا مَا, جُزْئِيًّا",3,1.000,,5,1.000,,,structurally_verified
14,مِنْ قِبَلِ,من قبل,by / on the part of,par / de la part de,کی طرف سے / کے ذریعے,"Prepositional phrase indicating the source or agent of an action, often used in formal contexts.",هَذَا القَرَارُ مِنْ قِبَلِ المُدِيرِ.,This decision is by the manager.,— (multiword expression; no single lexical root),"مِنْ طَرَفِ, بِوَاسِطَةِ",2,1.000,,5,1.000,,,structurally_verified
15,بِشَكْلٍ عَامٍّ,بشكل عام,generally / in general,en général / généralement,عام طور پر,Adverbial phrase used to indicate that a statement applies to most cases or the whole group.,بِشَكْلٍ عَامٍّ، الطَّقْسُ حَارٌ.,"In general, the weather is hot.",— (multiword expression; no single lexical root),"عُمُومًا, إِجْمَالًا",2,1.000,,4,1.000,,,structurally_verified
16,بِنَاءً عَلَى,بناء على,based on / according to,sur la base de / selon,کی بنیاد پر,Phrase indicating the foundation or reason for a conclusion or action.,بِنَاءً عَلَى طَلَبِكَ.,Based on your request.,— (multiword expression; no single lexical root),"اِسْتِنَادًا إِلَى, حَسْبَ",2,1.000,,3,1.000,,,structurally_verified
17,مِنْ نَاحِيَةٍ أُخْرَى,من ناحية أخرى,on the other hand,d'autre part / par contre,دوسری طرف,Phrase used to introduce a contrasting point or a different perspective on a subject.,هُوَ ذَكِيٌّ، وَمِنْ نَاحِيَةٍ أُخْرَى هُوَ كَسُولٌ.,"He is smart, and on the other hand, he is lazy.",— (multiword expression; no single lexical root),"بِالمُقَابِلِ, بَيْنَمَا",3,1.000,,7,1.000,,,structurally_verified
18,عَلَى مَدَارِ,على مدار,throughout / over the course of,tout au long de / au cours de,کے دوران / پورے,Phrase indicating the duration or extent of an action over time or space.,عَلَى مَدَارِ السَّنَةِ.,Throughout the year.,— (multiword expression; no single lexical root),"طِوَالَ, خِلَالَ",2,1.000,,3,1.000,,,structurally_verified
19,لَا شَكَّ أَنَّ,لا شك أن,no doubt that / undoubtedly,sans doute que / indubitablement,اس میں کوئی شک نہیں کہ,Phrase used to express certainty about a statement.,لَا شَكَّ أَنَّ الصِّدْقَ مَنْجَاةٌ.,No doubt that honesty is salvation.,— (multiword expression; no single lexical root),"بِدُونِ شَكٍّ, يَقِينًا",3,1.000,,5,1.000,,,structurally_verified
20,مِنَ المُفْتَرَضِ أَنْ,من المفترض أن,supposed to / presumably,censé / supposé que,فرض کیا جاتا ہے کہ / ہونا چاہیے کہ,Phrase indicating an expectation or a theoretical assumption about an action.,مِنَ المُفْتَرَضِ أَنْ نَصِلَ الآنَ.,We are supposed to arrive now.,— (multiword expression; no single lexical root),"مِنَ المُتَوَقَّعِ أَنْ, يُفْتَرَضُ أَنْ",3,1.000,,5,1.000,,,structurally_verified
21,لِأَقْصَى حَدٍّ,لأقصى حد,to the maximum extent / as much as possible,au maximum / autant que possible,زیادہ سے زیادہ,Phrase indicating the highest limit or degree of something.,اِسْتَمْتَعْتُ لِأَقْصَى حَدٍّ.,I enjoyed myself to the maximum extent.,— (multiword expression; no single lexical root),"لِلْغَايَةِ, كَثِيرًا جِدًّا",2,1.000,,3,1.000,,,structurally_verified
