rank,target,english,level,ipa_candidate,learner_hint_candidate,source_sha256
1,هل أنت جاهز؟,Are you ready?,A,hˈal ʔˈanta dʒˈaːhiz,hal ʔanta yahayayz,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
2,هل نستطيع أن نذهب؟,Can we go?,A,hˈal nstt̪ˈi.ːʕ ʔn nðhb,hal nstt̪ayay.‘ ʔn ndhhb,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
3,هل يمكنك القدوم؟,Can you come?,A,hˈal jmkˈunnakˌa ʔalqˈaduːm,hal ymkohohnnaka ʔalqadohohm,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
4,هل اتصلت؟,Did you call?,A,hˈal ˈats̪lt,hal ats̪lt,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
5,هل تفهم؟,Do you understand?,A,hˈal tˈafahhˌum,hal tafahhohohm,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
6,كيف حالك؟,How are you?,A,kˈajfa ħˈaːlik,kayfa halayayk,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
7,أين نحن؟,Where are we?,A,ʔˈajna nˈaħnu,ʔayna nahnohoh,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
8,أين أنت؟,Where are you?,A,ʔˈajna ʔˈanta,ʔayna ʔanta,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
9,من أنت؟,Who are you?,A,mˈin ʔˈanta,mayayn ʔanta,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
10,ها نحن ذا,Here we are!,A,hˈaː nˈaħnu ðˈaː,ha nahnohoh dha,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
11,اتصل بي غدًا.,Call me tomorrow.,A,ˈitːas̪ˌal bˈiː ɣˈadan.,ayaytas̪al bayay ghadan.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
12,ها قد وصلنا.,Here we are.,A,hˈaː qˈad ws̪lnaː.,ha qad ws̪lna.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
13,سآكل هنا.,I will eat here.,A,sʔaːkl hˈunaː.,sʔakl hohohna.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
14,أحبك.,I like you.,A,ʔˈaħabːkˌa.,ʔahabka.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
15,أحتاج وقتا.,I need time.,A,ʔħtˈaːdʒ wqtaː.,ʔhtay wqta.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
16,أحتاج إليك.,I need you.,A,ʔħtˈaːdʒ ʔlˈiːka.,ʔhtay ʔlayayka.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
17,أريدك.,I want you.,A,ʔrˈiːdka.,ʔrayaydka.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
