rank,status,target,english,issue,proposed_target,proposed_english
51,PASS,أعرفه.,I know him.,,,
52,PASS,أنا أحب الفرنسية,I like French.,,,
53,PASS,أحب ضوء الشموع.,I like candlelight.,,,
54,PASS,أحبُ الجزر,I like carrots.,,,
55,PASS,أحب القلاع.,I like castles.,,,
56,PASS,أحب الشوكولاتة.,I like chocolate.,,,
57,REPAIR,احب البنات,I like girls.,Missing initial hamza.,أحب البنات.,I like girls.
58,REPAIR,هذا يعجبني.,I like it.,Demonstrative mismatch: هذا refers to this.,هذا يعجبني.,I like this.
59,PASS,أحب موسيقى الجاز.,I like jazz.,,,
60,PASS,أحب الأفلام.,I like movies.,,,
61,REPAIR,أحب الرز,I like rice.,Use standard MSA الأرز rather than colloquial/regional الرز.,أحب الأرز.,I like rice.
62,PASS,أحب الرياضة.,I like sports.,,,
63,PASS,أحب كرة المضرب.,I like tennis.,,,
64,PASS,أعيش هنا.,I live here.,,,
65,PASS,أنا أحبك.,I love you.,,,
66,PASS,اشتقت إليك.,I miss you.,,,
67,REPAIR,اشتقت لك.,I missed you.,Colloquial preposition in an MSA workbook; direct normalization would duplicate row 66.,افتقدتك.,I missed you.
68,REPAIR,اعتقد خلاف ذلك.,I think otherwise.,Missing initial hamza.,أعتقد خلاف ذلك.,I think otherwise.
69,PASS,أعتقد ذلك.,I think so.,,,
70,PASS,أثق بك.,I trust you.,,,
71,PASS,أفهم كل شيء,I understand everything.,,,
72,PASS,أريد المزيد,I want more.,,,
73,PASS,أريد مخلّلًا.,I want pickles.,,,
74,REPAIR,أُريد الإنتقام.,I want vengeance.,Incorrect hamza spelling in الانتقام and unnecessary inconsistent vocalization.,أريد الانتقام.,I want vengeance.
75,REPAIR,لم أَكُنْ هُناكْ.,I wasn't there.,Incorrect final vocalization and inconsistent unnecessary diacritics.,لم أكن هناك.,I wasn't there.
76,PASS,سأتصل بك.,I'll call you.,,,
77,PASS,دَعني أذهب.,Let me go.,,,
78,PASS,الناس يحبونني.,People like me.,,,
79,REPAIR,"إفعل شيئاً, رجاءً.",Please do something.,Incorrect imperative hamza plus Latin comma and nonstandard tanwin placement.,"افعل شيئًا، رجاءً.",Please do something.
80,PASS,سامحني من فضلك.,Please forgive me.,,,
81,REPAIR,تفضّل البيت بيتك.,Please help yourself.,Idiomatic mismatch: البيت بيتك means make yourself at home.,"تفضّل، البيت بيتك.",Make yourself at home.
82,REPAIR,ساعدو أنفسكم من فضلكم.,Please help yourselves.,Misspelled plural imperative and literal calque; not the English hospitality idiom.,"تفضلوا، البيت بيتكم.",Make yourselves at home.
83,REPAIR,"قُل شيئاً, رجاءً.",Please say something.,Latin comma and nonstandard tanwin spelling.,"قل شيئًا، رجاءً.",Please say something.
84,REPAIR,أراك غداً.,See you tomorrow.,Normalize standard MSA tanwin spelling.,أراك غدًا.,See you tomorrow.
85,PASS,"متأسف، إنه خطأي.","Sorry, my mistake.",,,
86,REPAIR,"رجاء، ارفع صوتك.","Speak louder, please.",Normalize رجاءً and punctuation/order for standard written Arabic.,"ارفع صوتك، رجاءً.","Speak louder, please."
87,PASS,خذ وقتك.,Take your time.,,,
88,REPAIR,"شكرا يا رفاق.","Thank you, guys.",Normalize standard tanwin spelling.,"شكرًا يا رفاق.","Thank you, guys."
89,PASS,انتظرني.,Wait for me.,,,
90,PASS,نحن مسرورون.,We are happy.,,,
91,PASS,إننا جائعون.,We are hungry.,,,
92,PASS,نحن رجال.,We are men.,,,
93,PASS,نحن معلمون.,We are teachers.,,,
94,PASS,نحن نعرفه,We know him.,,,
95,REPAIR,نحن نحتاج إلي المطر.,We need rain.,Incorrect spelling of preposition إلى.,نحن نحتاج إلى المطر.,We need rain.
96,PASS,نحتاج الماء,We need water.,,,
97,PASS,هل لي أن أساعدك؟,Can I help you?,,,
98,PASS,هل يمكنك أن تساعدني؟,Can you help me?,,,
99,PASS,أيمكنك مساعدتي؟,Could you help me?,,,
100,PASS,هل تعرفني؟,Do you know me?,,,
