rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
1,REPAIR,مجھے کتاب چاہیے۔,I need the book.,mˌʊɟʰeː kɪtˈaːb cˈaːhjeː,mohohgyʰay kayaytab cahyay,Normalize Urdu affricates/dentals and چاہیے with /ɦi/ sequence; remove artificial stress.,/mʊd͡ʒʰeː kɪt̪aːb t͡ʃaːɦijeː/,mujhay kitaab chaa-hi-yay
2,REPAIR,مجھے کتاب نہیں چاہیے۔,I don't need the book.,mˌʊɟʰeː kɪtˈaːb nahˈiːn cˈaːhjeː,mohohgyʰay kayaytab nahayayn cahyay,Normalize نہیں as nasal /nəɦĩː/ and Urdu consonants; remove artificial stress.,/mʊd͡ʒʰeː kɪt̪aːb nəɦĩː t͡ʃaːɦijeː/,mujhay kitaab nuh-heen chaa-hi-yay
3,REPAIR,کیا آپ کو کتاب چاہیے؟,Do you need the book?,kjˈaː ˌaːp kˈoː kɪtˈaːb cˈaːhjeː,kya ap koh kayaytab cahyay,Interrogative کیا is /kjaː/ here; normalize dental /t̪/ and چاہیے.,/kjaː aːp koː kɪt̪aːb t͡ʃaːɦijeː/,kyaa aap ko kitaab chaa-hi-yay
4,REPAIR,ہمیں کتاب چاہیے۔,We need the book.,hˈʌmẽː kɪtˈaːb cˈaːhjeː,hʌmẽ kayaytab cahyay,Normalize ہمیں nasal vowel, dental /t̪/, and چاہیے.,/ɦəmẽː kɪt̪aːb t͡ʃaːɦijeː/,humein kitaab chaa-hi-yay
5,REPAIR,کتاب کہاں ہے؟,Where is the book?,kɪtˈaːb kˈʌhãː hɛ,kayaytab kʌhã hay,Use dental /t̪/, Urdu /ɦ/, nasal کہاں, and standard ہے /ɦɛː/.,/kɪt̪aːb kəɦãː ɦɛː/,kitaab kahaan hai
6,REPAIR,کیا کتاب یہاں ہے؟,Is the book here?,kjˈaː kɪtˈaːb jˈʌhãː hɛ,kya kayaytab yʌhã hay,Normalize interrogative /kjaː/, یہاں with /ɦ/ and nasal vowel, and ہے.,/kjaː kɪt̪aːb jəɦãː ɦɛː/,kyaa kitaab yahaan hai
7,REPAIR,براہِ کرم کتاب لے آئیے۔,Please bring the book.,bˌəraːhˈeː kˈʌrəm kɪtˈaːb lˈeː ˈaːjeː,bohohhrahay kʌrohohhm kayaytab lay ayay,Normalize براہِ کرم, dental /t̪/, and polite آئیے with /ɪj/ glide.,/bəɾaːɦe kəɾəm kɪt̪aːb leː aːɪjeː/,baraah-e-karam kitaab lay aa-i-yay
8,REPAIR,براہِ کرم مجھے کتاب دیجیے۔,Please give me the book.,bˌəraːhˈeː kˈʌrəm mˌʊɟʰeː kɪtˈaːb diɟˈiːeː,bohohhrahay kʌrohohhm mohohgyʰay kayaytab dayaygyayayay,Normalize Urdu affricate /d͡ʒ/, dental /d̪ t̪/, and polite دیجیے /d̪iːd͡ʒijeː/.,/bəɾaːɦe kəɾəm mʊd͡ʒʰeː kɪt̪aːb d̪iːd͡ʒijeː/,baraah-e-karam mujhay kitaab dee-ji-yay
9,REPAIR,میرے پاس کتاب ہے۔,I have the book.,mˈeːreː pˈaːs kɪtˈaːb hɛ,mayray pas kayaytab hay,Normalize Urdu rhotic, dental /t̪/, and standard ہے /ɦɛː/.,/meːɾeː paːs kɪt̪aːb ɦɛː/,may-ray paas kitaab hai
10,REPAIR,کیا آپ کے پاس کتاب ہے؟,Do you have the book?,kjˈaː ˌaːp keː pˈaːs kɪtˈaːb hɛ,kya ap kay pas kayaytab hay,Normalize interrogative /kjaː/, dental /t̪/, and standard ہے.,/kjaː aːp keː paːs kɪt̪aːb ɦɛː/,kyaa aap kay paas kitaab hai
11,REPAIR,مجھے قلم چاہیے۔,I need the pen.,mˌʊɟʰeː qˈʌləm cˈaːhjeː,mohohgyʰay qʌlohohhm cahyay,Normalize مجھے /d͡ʒʰ/, قلم /qələm/, and چاہیے.,/mʊd͡ʒʰeː qələm t͡ʃaːɦijeː/,mujhay qalam chaa-hi-yay
12,REPAIR,مجھے قلم نہیں چاہیے۔,I don't need the pen.,mˌʊɟʰeː qˈʌləm nahˈiːn cˈaːhjeː,mohohgyʰay qʌlohohhm nahayayn cahyay,Normalize قلم, nasal نہیں, and چاہیے.,/mʊd͡ʒʰeː qələm nəɦĩː t͡ʃaːɦijeː/,mujhay qalam nuh-heen chaa-hi-yay
13,REPAIR,کیا آپ کو قلم چاہیے؟,Do you need the pen?,kjˈaː ˌaːp kˈoː qˈʌləm cˈaːhjeː,kya ap koh qʌlohohhm cahyay,Normalize interrogative کیا, قلم, and چاہیے.,/kjaː aːp koː qələm t͡ʃaːɦijeː/,kyaa aap ko qalam chaa-hi-yay
