rank,target,english,pos,ipa_candidate,learner_hint_candidate,source_sha256
1,في,in; at,preposition,fˈiː,fayay,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
2,أن,that; to (subordinator: أَنْ / أَنَّ),particle,ʔn,ʔn,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
3,من,from (مِنْ); who; whom; whoever (مَنْ),"preposition (مِنْ) / interrogative, relative, or conditional pronoun (مَنْ)",mˈin,mayayn,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
4,على,on; upon; over,preposition,ʕˈalaː,‘ala,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
5,لا,no; not,particle,lˈaː,la,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
6,إلى,to; toward,preposition,ʔˈilaː,ʔayayla,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
7,هذا,this (masculine singular),demonstrative,hˈaːðaː,hadha,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
8,كان,was; were; be (past form of كان),perfect / past verb,kˈaːn,kan,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
9,إن,if (إِنْ); indeed; certainly (إِنَّ),particle,ʔˈin,ʔayayn,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
10,ما,not; what; that which; whatever (conditional),"negative particle / interrogative, relative, or conditional pronoun / subordinating particle (ما المصدرية), depending on use",mˈaː,ma,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
11,له,to him; for him; he has,preposition + attached pronoun (لِ + هُ),lh,lh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
12,أنا,I,pronoun,ˈana,ana,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
13,عن,about; from; away from,preposition,ʕˈan,‘an,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
14,ذلك,that (masculine singular),demonstrative,ðˈaːlikˌa,dhalayayka,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
