Front,Back
لَا سِيَّمَا,"Translations:
EN: especially / particularly
FR: surtout / notamment
UR: خاص طور پر

Definition:
(EN) Compound phrase used to emphasize a specific member or aspect of a group.

Example: أُحِبُّ الفَوَاكِهَ، لَا سِيَّمَا التُّفَّاحَ.

Translation: I love fruits, especially apples.

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: خُصُوصًا, سِيَّمَا"
عَمَّا قَرِيبٍ,"Translations:
EN: soon / shortly
FR: bientôt / sous peu
UR: جلد ہی

Definition:
(EN) Temporal phrase indicating that an action will occur in the near future.

Example: سَنَلْتَقِي عَمَّا قَرِيبٍ.

Translation: We will meet soon.

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: قَرِيبًا, بَعْدَ قَلِيلٍ"
لَيْسَ فَقَطْ,"Translations:
EN: not only
FR: pas seulement
UR: نہ صرف

Definition:
(EN) Correlative phrase often followed by 'bal' (but rather) to indicate multiple aspects.

Example: لَيْسَ فَقَطْ هَذَا.

Translation: Not only this.

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: لَيْسَ حَسْبُ, لَيْسَ فَحَسْبُ"
بِغَضِّ النَّظَرِ,"Translations:
EN: regardless of / irrespective of
FR: indépendamment de / sans tenir compte de
UR: قطع نظر

Definition:
(EN) Prepositional phrase used to dismiss a factor as irrelevant to the main point.

Example: بِغَضِّ النَّظَرِ عَنِ الثَّمَنِ.

Translation: Regardless of the price.

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: دُونَ اعْتِبَارٍ, مَعَ ذَلِكَ"
عَلَى أَيِّ حَالٍ,"Translations:
EN: anyway / in any case
FR: de toute façon / en tout cas
UR: بہر حال

Definition:
(EN) Phrase used to dismiss previous details and move to a summary or a new point.

Example: عَلَى أَيِّ حَالٍ، سَنَذْهَبُ.

Translation: In any case, we will go.

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: بِأَيِّ حَالٍ, مَعَ ذَلِكَ"
بِالنِّسْبَةِ لِـ,"Translations:
EN: for / regarding / relative to
FR: pour / en ce qui concerne / par rapport à
UR: کے بارے میں / کے لحاظ سے

Definition:
(EN) Prepositional phrase used to express a viewpoint or a relationship to something else.

Example: بِالنِّسْبَةِ لِي، هَذَا جَيِّدٌ.

Translation: For me (In my view), this is good.

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: بِخُصُوصِ, حِيَالَ"
مَنْ ذَا,"Translations:
EN: who is it that / who
FR: qui est-ce qui / qui
UR: کون ہے وہ جو

Definition:
(EN) Emphatic interrogative pronoun used to ask about a person's identity or actions.

Example: مَنْ ذَا الَّذِي يَشْفَعُ عِنْدَهُ؟

Translation: Who is it that can intercede with Him?

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: مَنْ، مَنْ هُوَ"
عَلَى أَنَّ,"Translations:
EN: provided that / although
FR: à condition que / bien que
UR: اس شرط پر کہ / باوجود یہ کہ

Definition:
(EN) Conjunction used to set a condition or to introduce a contrasting fact.

Example: سَأُسَاعِدُكَ، عَلَى أَنَّ تَعْدِلَ.

Translation: I will help you, provided that you be just.

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: بِشَرْطِ أَنَّ, مَعَ أَنَّ"
لَا بَأْسَ,"Translations:
EN: no problem / it is fine / okay
FR: pas de problème / c'est bien
UR: کوئی بات نہیں / ٹھیک ہے

Definition:
(EN) Phrase used to express agreement, reassurance, or that something is acceptable.

Example: لَا بَأْسَ، سَأَفْعَلُ ذَلِكَ.

Translation: No problem, I will do that.

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: مَعْلِيش, طَيِّب"
أَمَّا بَعْدُ,"Translations:
EN: furthermore / now then (formal transition)
FR: par ailleurs / et maintenant
UR: حمد و ثنا کے بعد

Definition:
(EN) Formal transition phrase used in speeches and letters after the introduction to move to the main subject.

Example: السَّلَامُ عَلَيْكُمْ، أَمَّا بَعْدُ...

Translation: Peace be upon you; now then...

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: وَبَعْدُ, ثُمَّ"
لَيْسَ هُنَاكَ,"Translations:
EN: there is no / there is not
FR: il n'y a pas
UR: وہاں نہیں ہے / نہیں ہے

Definition:
(EN) Phrase used to negate the existence of something in a particular place or situation.

Example: لَيْسَ هُنَاكَ شَيْءٌ.

Translation: There is nothing.

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: مَا مِنْ, لَا يُوجَدُ"
عَلَى الفَوْرِ,"Translations:
EN: immediately / instantly
FR: tout de suite / instantanément
UR: فوراً

Definition:
(EN) Adverbial phrase indicating that an action occurs without any wait or delay.

Example: تَعَالَ عَلَى الفَوْرِ.

Translation: Come immediately.

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: حَالًا, فَوْرًا"
إِلَى حَدٍّ مَا,"Translations:
EN: to some extent / somewhat
FR: dans une certaine mesure / un peu
UR: کسی حد تک

Definition:
(EN) Phrase used to qualify a statement, indicating that it is partially true or limited in degree.

Example: هُوَ صَعْبٌ إِلَى حَدٍّ مَا.

Translation: It is somewhat difficult.

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: نَوْعًا مَا, جُزْئِيًّا"
مِنْ قِبَلِ,"Translations:
EN: by / on the part of
FR: par / de la part de
UR: کی طرف سے / کے ذریعے

Definition:
(EN) Prepositional phrase indicating the source or agent of an action, often used in formal contexts.

Example: هَذَا القَرَارُ مِنْ قِبَلِ المُدِيرِ.

Translation: This decision is by the manager.

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: مِنْ طَرَفِ, بِوَاسِطَةِ"
بِشَكْلٍ عَامٍّ,"Translations:
EN: generally / in general
FR: en général / généralement
UR: عام طور پر

Definition:
(EN) Adverbial phrase used to indicate that a statement applies to most cases or the whole group.

Example: بِشَكْلٍ عَامٍّ، الطَّقْسُ حَارٌ.

Translation: In general, the weather is hot.

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: عُمُومًا, إِجْمَالًا"
بِنَاءً عَلَى,"Translations:
EN: based on / according to
FR: sur la base de / selon
UR: کی بنیاد پر

Definition:
(EN) Phrase indicating the foundation or reason for a conclusion or action.

Example: بِنَاءً عَلَى طَلَبِكَ.

Translation: Based on your request.

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: اِسْتِنَادًا إِلَى, حَسْبَ"
مِنْ نَاحِيَةٍ أُخْرَى,"Translations:
EN: on the other hand
FR: d'autre part / par contre
UR: دوسری طرف

Definition:
(EN) Phrase used to introduce a contrasting point or a different perspective on a subject.

Example: هُوَ ذَكِيٌّ، وَمِنْ نَاحِيَةٍ أُخْرَى هُوَ كَسُولٌ.

Translation: He is smart, and on the other hand, he is lazy.

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: بِالمُقَابِلِ, بَيْنَمَا"
عَلَى مَدَارِ,"Translations:
EN: throughout / over the course of
FR: tout au long de / au cours de
UR: کے دوران / پورے

Definition:
(EN) Phrase indicating the duration or extent of an action over time or space.

Example: عَلَى مَدَارِ السَّنَةِ.

Translation: Throughout the year.

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: طِوَالَ, خِلَالَ"
لَا شَكَّ أَنَّ,"Translations:
EN: no doubt that / undoubtedly
FR: sans doute que / indubitablement
UR: اس میں کوئی شک نہیں کہ

Definition:
(EN) Phrase used to express certainty about a statement.

Example: لَا شَكَّ أَنَّ الصِّدْقَ مَنْجَاةٌ.

Translation: No doubt that honesty is salvation.

Root: — (multiword expression; no single lexical root)

Related / near-equivalents: بِدُونِ شَكٍّ, يَقِينًا"
